snapshot_id,project_id,state,district,stage,probability,target
SNAP-000062-1,SIH26017-PRJ-000062,Jharkhand,Paschimi Singhbhum,Survey & Measurement,0.018765466287732124,False
SNAP-000062-2,SIH26017-PRJ-000062,Jharkhand,Paschimi Singhbhum,Draft Declaration,0.034496307373046875,False
SNAP-000062-3,SIH26017-PRJ-000062,Jharkhand,Paschimi Singhbhum,Final Declaration (Sec 19),0.03475462272763252,False
SNAP-000063-1,SIH26017-PRJ-000063,Rajasthan,Udaipur,Final Declaration (Sec 19),0.3148176074028015,
SNAP-000063-2,SIH26017-PRJ-000063,Rajasthan,Udaipur,Compensation Disbursement,0.22166533768177032,
SNAP-000064-1,SIH26017-PRJ-000064,West Bengal,Purulia,Survey & Measurement,0.6896153092384338,
SNAP-000064-2,SIH26017-PRJ-000064,West Bengal,Purulia,Final Declaration (Sec 19),0.6454157829284668,
SNAP-000064-3,SIH26017-PRJ-000064,West Bengal,Purulia,Compensation Disbursement,0.3402218818664551,
SNAP-000065-1,SIH26017-PRJ-000065,Bihar,Patna,Compensation Disbursement,0.4653690755367279,
SNAP-000066-1,SIH26017-PRJ-000066,Madhya Pradesh,Indore,Award Declaration (Sec 23),0.005064838100224733,False
SNAP-000067-1,SIH26017-PRJ-000067,Gujarat,Rajkot,Final Declaration (Sec 19),0.009910150431096554,False
SNAP-000068-1,SIH26017-PRJ-000068,Assam,Kamrup,Preliminary Notification (Sec 11),0.9573939442634583,True
SNAP-000069-1,SIH26017-PRJ-000069,Tamil Nadu,Chennai,Compensation Disbursement,0.06316420435905457,False
SNAP-000070-1,SIH26017-PRJ-000070,Uttar Pradesh,Varanasi,Award Declaration (Sec 23),0.007709321100264788,
SNAP-000071-1,SIH26017-PRJ-000071,Gujarat,Vadodara,Final Declaration (Sec 19),0.040378499776124954,False
SNAP-000071-2,SIH26017-PRJ-000071,Gujarat,Vadodara,Compensation Disbursement,0.09260189533233643,False
SNAP-000071-3,SIH26017-PRJ-000071,Gujarat,Vadodara,Compensation Disbursement,0.09646233171224594,False
SNAP-000072-1,SIH26017-PRJ-000072,Rajasthan,Jaipur,Social Impact Assessment (SIA),0.07317372411489487,
SNAP-000072-2,SIH26017-PRJ-000072,Rajasthan,Jaipur,Social Impact Assessment (SIA),0.24902233481407166,
SNAP-000073-1,SIH26017-PRJ-000073,Assam,Kamrup,Social Impact Assessment (SIA),0.4653644859790802,
SNAP-000073-2,SIH26017-PRJ-000073,Assam,Kamrup,Final Declaration (Sec 19),0.576900064945221,
SNAP-000074-1,SIH26017-PRJ-000074,Uttar Pradesh,Gautam Buddh Nagar,Survey & Measurement,0.35613393783569336,False
SNAP-000074-2,SIH26017-PRJ-000074,Uttar Pradesh,Gautam Buddh Nagar,Award Declaration (Sec 23),0.23796910047531128,False
SNAP-000075-1,SIH26017-PRJ-000075,Tamil Nadu,Chennai,Compensation Disbursement,0.007967978715896606,False
SNAP-000076-1,SIH26017-PRJ-000076,West Bengal,Purba Bardhaman,Compensation Disbursement,0.008947658352553844,False
SNAP-000077-1,SIH26017-PRJ-000077,Odisha,Kalahandi,Draft Declaration,0.05228786915540695,False
SNAP-000077-2,SIH26017-PRJ-000077,Odisha,Kalahandi,Compensation Disbursement,0.041136324405670166,False
SNAP-000078-1,SIH26017-PRJ-000078,Rajasthan,Alwar,Survey & Measurement,0.057347461581230164,
SNAP-000078-2,SIH26017-PRJ-000078,Rajasthan,Alwar,Final Declaration (Sec 19),0.08637381345033646,
SNAP-000078-3,SIH26017-PRJ-000078,Rajasthan,Alwar,Final Declaration (Sec 19),0.04740714654326439,
SNAP-000079-1,SIH26017-PRJ-000079,Gujarat,Rajkot,Award Declaration (Sec 23),0.8870678544044495,
SNAP-000080-1,SIH26017-PRJ-000080,Jharkhand,Dhanbad,Draft Declaration,0.10526808351278305,
SNAP-000081-1,SIH26017-PRJ-000081,Odisha,Kalahandi,Draft Declaration,0.04863327741622925,False
SNAP-000081-2,SIH26017-PRJ-000081,Odisha,Kalahandi,Compensation Disbursement,0.034877948462963104,False
SNAP-000082-1,SIH26017-PRJ-000082,Karnataka,Ballari,Social Impact Assessment (SIA),0.0023740387987345457,
SNAP-000082-2,SIH26017-PRJ-000082,Karnataka,Ballari,Survey & Measurement,0.002505890093743801,
SNAP-000083-1,SIH26017-PRJ-000083,Chhattisgarh,Bastar,Social Impact Assessment (SIA),0.007829348556697369,False
SNAP-000084-1,SIH26017-PRJ-000084,Karnataka,Ballari,Final Declaration (Sec 19),0.0056947022676467896,False
SNAP-000085-1,SIH26017-PRJ-000085,Madhya Pradesh,Jabalpur,Survey & Measurement,0.006895300932228565,False
SNAP-000086-1,SIH26017-PRJ-000086,Bihar,Muzaffarpur,Draft Declaration,0.004217882640659809,False
SNAP-000086-2,SIH26017-PRJ-000086,Bihar,Muzaffarpur,Compensation Disbursement,0.00439330842345953,False
SNAP-000087-1,SIH26017-PRJ-000087,Bihar,Gaya,Social Impact Assessment (SIA),0.13176919519901276,
SNAP-000088-1,SIH26017-PRJ-000088,West Bengal,Kolkata,Final Declaration (Sec 19),0.010585724376142025,False
SNAP-000088-2,SIH26017-PRJ-000088,West Bengal,Kolkata,Compensation Disbursement,0.012592850252985954,False
SNAP-000088-3,SIH26017-PRJ-000088,West Bengal,Kolkata,Compensation Disbursement,0.018162831664085388,False
SNAP-000089-1,SIH26017-PRJ-000089,Tamil Nadu,Madurai,Draft Declaration,0.9441651701927185,True
SNAP-000090-1,SIH26017-PRJ-000090,Telangana,Hyderabad,Final Declaration (Sec 19),0.0032674509566277266,False
SNAP-000091-1,SIH26017-PRJ-000091,West Bengal,Howrah,Social Impact Assessment (SIA),0.018040798604488373,
SNAP-000091-2,SIH26017-PRJ-000091,West Bengal,Howrah,Survey & Measurement,0.008826368488371372,
SNAP-000092-1,SIH26017-PRJ-000092,Madhya Pradesh,Jabalpur,Compensation Disbursement,0.0024829404428601265,False
SNAP-000093-1,SIH26017-PRJ-000093,Odisha,Cuttack,Social Impact Assessment (SIA),0.17805160582065582,
SNAP-000093-2,SIH26017-PRJ-000093,Odisha,Cuttack,Survey & Measurement,0.409043550491333,
SNAP-000093-3,SIH26017-PRJ-000093,Odisha,Cuttack,Survey & Measurement,0.47173383831977844,
SNAP-000094-1,SIH26017-PRJ-000094,Maharashtra,Pune,Social Impact Assessment (SIA),0.8051447868347168,
SNAP-000094-2,SIH26017-PRJ-000094,Maharashtra,Pune,Survey & Measurement,0.9077622294425964,
SNAP-000094-3,SIH26017-PRJ-000094,Maharashtra,Pune,Final Declaration (Sec 19),0.8932439684867859,
SNAP-000095-1,SIH26017-PRJ-000095,Jharkhand,Paschimi Singhbhum,Draft Declaration,0.732846200466156,
SNAP-000096-1,SIH26017-PRJ-000096,Chhattisgarh,Bastar,Survey & Measurement,0.016527796164155006,False
SNAP-000096-2,SIH26017-PRJ-000096,Chhattisgarh,Bastar,Compensation Disbursement,0.012326209805905819,False
SNAP-000096-3,SIH26017-PRJ-000096,Chhattisgarh,Bastar,Possession,0.04352005943655968,False
SNAP-000097-1,SIH26017-PRJ-000097,Gujarat,Rajkot,Social Impact Assessment (SIA),0.1257951557636261,
SNAP-000098-1,SIH26017-PRJ-000098,Telangana,Karimnagar,Final Declaration (Sec 19),0.007609541993588209,False
SNAP-000098-2,SIH26017-PRJ-000098,Telangana,Karimnagar,Award Declaration (Sec 23),0.008652443997561932,False
SNAP-000099-1,SIH26017-PRJ-000099,Madhya Pradesh,Jabalpur,Social Impact Assessment (SIA),0.01520124264061451,False
SNAP-000099-2,SIH26017-PRJ-000099,Madhya Pradesh,Jabalpur,Draft Declaration,0.022773051634430885,False
SNAP-000099-3,SIH26017-PRJ-000099,Madhya Pradesh,Jabalpur,Award Declaration (Sec 23),0.026986021548509598,False
SNAP-000100-1,SIH26017-PRJ-000100,Assam,Dibrugarh,Social Impact Assessment (SIA),0.007045927923172712,
SNAP-000100-2,SIH26017-PRJ-000100,Assam,Dibrugarh,Social Impact Assessment (SIA),0.011601145379245281,
SNAP-000100-3,SIH26017-PRJ-000100,Assam,Dibrugarh,Social Impact Assessment (SIA),0.008223013952374458,
SNAP-000101-1,SIH26017-PRJ-000101,Bihar,Muzaffarpur,Award Declaration (Sec 23),0.8898144364356995,True
SNAP-000101-2,SIH26017-PRJ-000101,Bihar,Muzaffarpur,Possession,0.949486494064331,True
SNAP-000102-1,SIH26017-PRJ-000102,Kerala,Thiruvananthapuram,Compensation Disbursement,0.5967054963111877,
SNAP-000103-1,SIH26017-PRJ-000103,Madhya Pradesh,Indore,Preliminary Notification (Sec 11),0.013489008881151676,
SNAP-000103-2,SIH26017-PRJ-000103,Madhya Pradesh,Indore,Preliminary Notification (Sec 11),0.009167036041617393,
SNAP-000104-1,SIH26017-PRJ-000104,Karnataka,Mysuru,Draft Declaration,0.014036102220416069,
SNAP-000104-2,SIH26017-PRJ-000104,Karnataka,Mysuru,Final Declaration (Sec 19),0.02106742188334465,
SNAP-000105-1,SIH26017-PRJ-000105,West Bengal,Purulia,Survey & Measurement,0.0863189622759819,
SNAP-000105-2,SIH26017-PRJ-000105,West Bengal,Purulia,Award Declaration (Sec 23),0.4342835545539856,
SNAP-000106-1,SIH26017-PRJ-000106,Odisha,Khordha,Survey & Measurement,0.03521628677845001,False
SNAP-000106-2,SIH26017-PRJ-000106,Odisha,Khordha,Compensation Disbursement,0.07557491213083267,False
SNAP-000107-1,SIH26017-PRJ-000107,Gujarat,Ahmedabad,Award Declaration (Sec 23),0.02246369607746601,
SNAP-000108-1,SIH26017-PRJ-000108,Chhattisgarh,Bastar,Survey & Measurement,0.1947411149740219,
SNAP-000109-1,SIH26017-PRJ-000109,Madhya Pradesh,Chhindwara,Survey & Measurement,0.009438518434762955,False
SNAP-000110-1,SIH26017-PRJ-000110,Chhattisgarh,Durg,Final Declaration (Sec 19),0.22465378046035767,
SNAP-000111-1,SIH26017-PRJ-000111,Uttar Pradesh,Gautam Buddh Nagar,Compensation Disbursement,0.0018397524254396558,False
SNAP-000112-1,SIH26017-PRJ-000112,Madhya Pradesh,Bhopal,Survey & Measurement,0.031763914972543716,False
SNAP-000113-1,SIH26017-PRJ-000113,Rajasthan,Udaipur,Social Impact Assessment (SIA),0.7079808115959167,
SNAP-000114-1,SIH26017-PRJ-000114,Madhya Pradesh,Indore,Final Declaration (Sec 19),0.12653058767318726,False
SNAP-000115-1,SIH26017-PRJ-000115,Assam,Kamrup,Preliminary Notification (Sec 11),0.09649990499019623,False
SNAP-000116-1,SIH26017-PRJ-000116,Telangana,Warangal,Survey & Measurement,0.005336157511919737,False
SNAP-000116-2,SIH26017-PRJ-000116,Telangana,Warangal,Final Declaration (Sec 19),0.003643933217972517,False
SNAP-000116-3,SIH26017-PRJ-000116,Telangana,Warangal,Compensation Disbursement,0.003491751616820693,False
SNAP-000117-1,SIH26017-PRJ-000117,Bihar,Muzaffarpur,Survey & Measurement,0.002023342065513134,
SNAP-000117-2,SIH26017-PRJ-000117,Bihar,Muzaffarpur,Award Declaration (Sec 23),0.0029206823091953993,
SNAP-000117-3,SIH26017-PRJ-000117,Bihar,Muzaffarpur,Compensation Disbursement,0.001726632472127676,
SNAP-000118-1,SIH26017-PRJ-000118,Telangana,Karimnagar,Award Declaration (Sec 23),0.09086325019598007,False
SNAP-000118-2,SIH26017-PRJ-000118,Telangana,Karimnagar,Compensation Disbursement,0.15159578621387482,False
SNAP-000119-1,SIH26017-PRJ-000119,Madhya Pradesh,Chhindwara,Draft Declaration,0.007113601081073284,False
SNAP-000120-1,SIH26017-PRJ-000120,Jharkhand,Ranchi,Final Declaration (Sec 19),0.09795884042978287,
SNAP-000121-1,SIH26017-PRJ-000121,Jharkhand,Dhanbad,Social Impact Assessment (SIA),0.4864494204521179,
SNAP-000122-1,SIH26017-PRJ-000122,Bihar,Muzaffarpur,Social Impact Assessment (SIA),0.010460790246725082,
SNAP-000122-2,SIH26017-PRJ-000122,Bihar,Muzaffarpur,Social Impact Assessment (SIA),0.0066781011410057545,
SNAP-000122-3,SIH26017-PRJ-000122,Bihar,Muzaffarpur,Social Impact Assessment (SIA),0.012536287307739258,
SNAP-000123-1,SIH26017-PRJ-000123,Tamil Nadu,Tiruchirappalli,Award Declaration (Sec 23),0.2682430148124695,
SNAP-000124-1,SIH26017-PRJ-000124,Tamil Nadu,Madurai,Final Declaration (Sec 19),0.1554771214723587,
SNAP-000124-2,SIH26017-PRJ-000124,Tamil Nadu,Madurai,Compensation Disbursement,0.14940525591373444,
SNAP-000125-1,SIH26017-PRJ-000125,Karnataka,Ballari,Possession,0.18688899278640747,
SNAP-000126-1,SIH26017-PRJ-000126,Karnataka,Ballari,Survey & Measurement,0.0077857947908341885,False
SNAP-000126-2,SIH26017-PRJ-000126,Karnataka,Ballari,Award Declaration (Sec 23),0.005642924923449755,False
SNAP-000127-1,SIH26017-PRJ-000127,Jharkhand,Ranchi,Social Impact Assessment (SIA),0.1115085706114769,
SNAP-000128-1,SIH26017-PRJ-000128,Kerala,Thiruvananthapuram,Survey & Measurement,0.003809950314462185,
SNAP-000129-1,SIH26017-PRJ-000129,Kerala,Thiruvananthapuram,Preliminary Notification (Sec 11),0.008182764984667301,
SNAP-000130-1,SIH26017-PRJ-000130,Madhya Pradesh,Jabalpur,Social Impact Assessment (SIA),0.006735077127814293,False
SNAP-000131-1,SIH26017-PRJ-000131,Karnataka,Belagavi,Award Declaration (Sec 23),0.011880350299179554,
SNAP-000132-1,SIH26017-PRJ-000132,Madhya Pradesh,Chhindwara,Social Impact Assessment (SIA),0.007962744683027267,False
SNAP-000133-1,SIH26017-PRJ-000133,Madhya Pradesh,Bhopal,Preliminary Notification (Sec 11),0.8666854500770569,False
SNAP-000134-1,SIH26017-PRJ-000134,Madhya Pradesh,Chhindwara,Final Declaration (Sec 19),0.06987490504980087,False
SNAP-000134-2,SIH26017-PRJ-000134,Madhya Pradesh,Chhindwara,Compensation Disbursement,0.05218157917261124,False
SNAP-000135-1,SIH26017-PRJ-000135,Odisha,Khordha,Social Impact Assessment (SIA),0.36130011081695557,
SNAP-000136-1,SIH26017-PRJ-000136,Uttar Pradesh,Gautam Buddh Nagar,Draft Declaration,0.02254307083785534,False
SNAP-000136-2,SIH26017-PRJ-000136,Uttar Pradesh,Gautam Buddh Nagar,Compensation Disbursement,0.018391646444797516,False
SNAP-000137-1,SIH26017-PRJ-000137,Chhattisgarh,Raipur,Final Declaration (Sec 19),0.0037762331776320934,False
SNAP-000137-2,SIH26017-PRJ-000137,Chhattisgarh,Raipur,Compensation Disbursement,0.010811276733875275,False
SNAP-000138-1,SIH26017-PRJ-000138,Madhya Pradesh,Chhindwara,Compensation Disbursement,0.01248074509203434,False
SNAP-000139-1,SIH26017-PRJ-000139,Rajasthan,Udaipur,Survey & Measurement,0.002206673612818122,
SNAP-000140-1,SIH26017-PRJ-000140,Uttar Pradesh,Agra,Possession,0.013637431897222996,
SNAP-000141-1,SIH26017-PRJ-000141,Jharkhand,Paschimi Singhbhum,Award Declaration (Sec 23),0.2095911204814911,False
SNAP-000142-1,SIH26017-PRJ-000142,Assam,Dibrugarh,Preliminary Notification (Sec 11),0.4209152162075043,False
SNAP-000143-1,SIH26017-PRJ-000143,Telangana,Karimnagar,Final Declaration (Sec 19),0.009388522244989872,False
SNAP-000143-2,SIH26017-PRJ-000143,Telangana,Karimnagar,Compensation Disbursement,0.005532138980925083,False
SNAP-000144-1,SIH26017-PRJ-000144,Madhya Pradesh,Jabalpur,Compensation Disbursement,0.009238370694220066,False
SNAP-000145-1,SIH26017-PRJ-000145,West Bengal,Howrah,Final Declaration (Sec 19),0.7583144307136536,
SNAP-000146-1,SIH26017-PRJ-000146,Rajasthan,Udaipur,Social Impact Assessment (SIA),0.03489406779408455,
SNAP-000147-1,SIH26017-PRJ-000147,West Bengal,Purulia,Draft Declaration,0.02645580656826496,False
SNAP-000147-2,SIH26017-PRJ-000147,West Bengal,Purulia,Compensation Disbursement,0.016228027641773224,False
SNAP-000148-1,SIH26017-PRJ-000148,Madhya Pradesh,Indore,Preliminary Notification (Sec 11),0.004237595479935408,False
SNAP-000149-1,SIH26017-PRJ-000149,Kerala,Ernakulam,Survey & Measurement,0.29874852299690247,
SNAP-000150-1,SIH26017-PRJ-000150,Gujarat,Vadodara,Survey & Measurement,0.8819957971572876,
