feature,mean_absolute_shap
categorical__land_type_required_Government-Wasteland,0.006377349
categorical__project_type_Urban Water Supply/Sewerage,0.0061145634
categorical__land_type_required_Forest,0.0061099646
categorical__project_type_National Highway,0.005531374
categorical__political_sensitivity_index_Low,0.005266954
numeric__percent_stages_completed_as_of_snapshot,0.0051487545
categorical__state_Gujarat,0.00508557
categorical__next_stage_name_at_snapshot_Possession,0.0046400675
categorical__district_Kolkata,0.0044849664
categorical__current_stage_name_Social Impact Assessment (SIA),0.0041588293
numeric__missingindicator_agency_historical_completion_rate,0.0038351815
categorical__next_stage_name_at_snapshot_Compensation Disbursement,0.0032261037
categorical__project_geometry_type_Linear,0.0032119409
categorical__state_Telangana,0.0
categorical__state_Uttar Pradesh,0.0
categorical__state_West Bengal,0.0
categorical__district_Alwar,0.0
categorical__district_Ahmedabad,0.0
categorical__district_Agra,0.0
categorical__state_Kerala,0.0
categorical__state_Karnataka,0.0
categorical__state_Jharkhand,0.0
categorical__state_Chhattisgarh,0.0
categorical__state_Assam,0.0
numeric__missingindicator_consent_percent_obtained,0.0
numeric__missingindicator_project_type_historical_delay_rate,0.0
numeric__next_stage_at_snapshot,0.0
numeric__approvals_pending_count_as_of_snapshot,0.0
numeric__consent_percent_obtained,0.0
numeric__current_stage_number,0.0
categorical__state_Tamil Nadu,0.0
categorical__state_Rajasthan,0.0
categorical__state_Odisha,0.0
categorical__state_Maharashtra,0.0
categorical__state_Madhya Pradesh,0.0
categorical__district_Cuttack,0.0
categorical__district_Bhopal,0.0
categorical__district_Ballari,0.0
categorical__district_Belagavi,0.0
categorical__district_Bastar,0.0
categorical__district_Paschimi Singhbhum,0.0
categorical__district_Nashik,0.0
categorical__district_Nagpur,0.0
categorical__district_Patna,0.0
categorical__district_Raipur,0.0
categorical__district_Rajkot,0.0
categorical__district_Purba Bardhaman,0.0
categorical__district_Pune,0.0
categorical__district_Sundargarh,0.0
categorical__district_Dhanbad,0.0
categorical__district_Dibrugarh,0.0
categorical__district_Durg,0.0
categorical__district_Ernakulam,0.0
categorical__district_Chennai,0.0
categorical__district_Chhatrapati Sambhajinagar,0.0
categorical__district_Bengaluru Rural,0.0
categorical__district_Howrah,0.0
categorical__district_Hyderabad,0.0
categorical__district_Jabalpur,0.0
categorical__district_Indore,0.0
categorical__district_Jodhpur,0.0
categorical__district_Kalahandi,0.0
categorical__district_Kamrup,0.0
categorical__district_Jaipur,0.0
categorical__district_Karimnagar,0.0
categorical__district_Khordha,0.0
categorical__district_Lucknow,0.0
categorical__district_Madurai,0.0
categorical__district_Muzaffarpur,0.0
categorical__district_Gautam Buddh Nagar,0.0
categorical__district_Gaya,0.0
categorical__district_Chhindwara,0.0
categorical__implementing_agency_State Industrial Dev. Corp,0.0
categorical__implementing_agency_POWERGRID/State Transco,0.0
categorical__implementing_agency_NHAI,0.0
categorical__implementing_agency_Indian Railways,0.0
categorical__implementing_agency_Airports Authority of India,0.0
categorical__project_type_Urban Metro Rail,0.0
categorical__project_type_State Highway,0.0
categorical__project_type_Special Economic Zone,0.0
categorical__project_type_Mining Project,0.0
categorical__project_type_Renewable Energy Park,0.0
categorical__project_type_Railway Line/Doubling,0.0
categorical__project_type_Power Transmission Line,0.0
categorical__project_type_Industrial Corridor,0.0
categorical__project_type_Irrigation Canal/Dam,0.0
categorical__district_Varanasi,0.0
categorical__district_Warangal,0.0
categorical__district_Purulia,0.0
categorical__district_Ranchi,0.0
categorical__district_Vadodara,0.0
categorical__district_Udaipur,0.0
categorical__district_Thiruvananthapuram,0.0
categorical__district_Tiruchirappalli,0.0
categorical__district_Surat,0.0
categorical__project_geometry_type_Point,0.0
"categorical__applicable_land_acquisition_act_Railways Act, 1989",0.0
categorical__project_geometry_type_Area,0.0
categorical__implementing_agency_State SEZ Authority,0.0
categorical__implementing_agency_State Water/Municipal Board,0.0
categorical__implementing_agency_State Irrigation Dept,0.0
categorical__implementing_agency_State Metro Rail Corp,0.0
categorical__implementing_agency_State Mining Corp,0.0
categorical__implementing_agency_State PWD,0.0
categorical__critical_approval_pending_flag_as_of_snapshot_True,0.0
categorical__critical_approval_pending_flag_as_of_snapshot_False,0.0
categorical__current_stage_name_Survey & Measurement,0.0
categorical__current_stage_name_Preliminary Notification (Sec 11),0.0
categorical__current_stage_name_Mutation & Handover,0.0
categorical__current_stage_name_Possession,0.0
categorical__current_stage_name_Final Declaration (Sec 19),0.0
categorical__current_stage_name_Draft Declaration,0.0
categorical__land_type_required_Mixed,0.0
categorical__tribal_area_flag_True,0.0
categorical__tribal_area_flag_False,0.0
categorical__implementing_agency_State Renewable Energy Agency,0.0
"categorical__applicable_land_acquisition_act_National Highways Act, 1956",0.0
"categorical__applicable_land_acquisition_act_Coal Bearing Areas Acquisition Act, 1957",0.0
categorical__compensation_dispute_flag_as_of_snapshot_False,0.0
categorical__compensation_dispute_flag_as_of_snapshot_True,0.0
categorical__local_body_resolution_status_Not Sought,0.0
categorical__rr_plan_approved_flag_as_of_snapshot_False,0.0
categorical__rr_plan_approved_flag_as_of_snapshot_True,0.0
categorical__political_sensitivity_index_High,0.0
categorical__stay_order_active_flag_as_of_snapshot_True,0.0
categorical__stay_order_active_flag_as_of_snapshot_False,0.0
categorical__high_court_or_above_case_flag_as_of_snapshot_True,0.0
categorical__high_court_or_above_case_flag_as_of_snapshot_False,0.0
categorical__local_body_resolution_status_Supportive,0.0
categorical__funds_availability_status_as_of_snapshot_Adequate,0.0
categorical__next_stage_name_at_snapshot_Final Declaration (Sec 19),0.0
categorical__next_stage_name_at_snapshot_Draft Declaration,0.0
categorical__next_stage_name_at_snapshot_Mutation & Handover,0.0
categorical__next_stage_name_at_snapshot_Preliminary Notification (Sec 11),0.0
categorical__next_stage_name_at_snapshot_Social Impact Assessment (SIA),0.0
categorical__next_stage_name_at_snapshot_Survey & Measurement,0.0
