feature,importance
categorical__state_Karnataka,0.0002738018662871821
categorical__district_Karimnagar,0.0002411188827812796
categorical__project_type_Mining Project,0.00023888850609779546
categorical__current_stage_name_Final Declaration (Sec 19),0.0002164392067600856
categorical__district_Indore,0.00021288054232015434
categorical__state_Telangana,0.0001915323305770003
categorical__next_stage_name_at_snapshot_Draft Declaration,0.0001856399634179203
categorical__implementing_agency_Airports Authority of India,0.00017705456002405933
categorical__district_Chennai,0.00015063174554035973
categorical__state_Maharashtra,0.00013774503790236293
categorical__state_Tamil Nadu,0.00013663344601751745
categorical__district_Paschimi Singhbhum,0.00013527156662171972
categorical__current_stage_name_Social Impact Assessment (SIA),0.00013343658536444917
categorical__current_stage_name_Preliminary Notification (Sec 11),0.00010024254197513432
categorical__district_Purba Bardhaman,9.19751856935829e-05
categorical__district_Jabalpur,9.091605874762351e-05
categorical__district_Warangal,7.921477134921015e-05
categorical__project_type_Urban Metro Rail,7.17751151942745e-05
categorical__district_Belagavi,6.906142898579378e-05
categorical__district_Gaya,1.0999316338751865e-18
categorical__district_Gautam Buddh Nagar,1.0327330057260932e-18
categorical__local_body_resolution_status_Not Sought,3.1689951753419274e-19
categorical__district_Chhindwara,1.7557472614560064e-19
categorical__district_Ernakulam,0.0
categorical__district_Hyderabad,0.0
categorical__district_Dibrugarh,0.0
categorical__district_Tiruchirappalli,0.0
categorical__district_Udaipur,0.0
categorical__district_Vadodara,0.0
categorical__district_Varanasi,0.0
categorical__district_Rajkot,0.0
categorical__district_Raipur,0.0
categorical__district_Ranchi,0.0
categorical__district_Surat,0.0
categorical__district_Kolkata,0.0
categorical__district_Jaipur,0.0
categorical__district_Madurai,0.0
categorical__district_Lucknow,0.0
categorical__district_Nagpur,0.0
categorical__district_Nashik,0.0
categorical__district_Patna,0.0
categorical__district_Pune,0.0
categorical__district_Jodhpur,0.0
categorical__district_Kalahandi,0.0
categorical__district_Chhatrapati Sambhajinagar,0.0
categorical__district_Ballari,0.0
categorical__state_Jharkhand,0.0
categorical__district_Alwar,0.0
categorical__district_Ahmedabad,0.0
categorical__district_Agra,0.0
categorical__district_Dhanbad,0.0
categorical__district_Cuttack,0.0
categorical__district_Howrah,0.0
categorical__district_Bengaluru Rural,0.0
categorical__implementing_agency_State Metro Rail Corp,0.0
categorical__current_stage_name_Mutation & Handover,0.0
categorical__next_stage_name_at_snapshot_Mutation & Handover,0.0
categorical__next_stage_name_at_snapshot_Preliminary Notification (Sec 11),0.0
