snapshot_id,project_id,snapshot_date,state,district,project_type,implementing_agency,project_geometry_type,applicable_land_acquisition_act,total_land_required_hectares,number_of_villages_affected,estimated_project_cost_inr_crore,land_type_required,tribal_area_flag,project_sanction_date,planned_land_acquisition_completion_date,planned_land_acquisition_duration_days,days_since_sanction_at_snapshot,current_stage_number,current_stage_name,percent_stages_completed_as_of_snapshot,cumulative_stage_delay_days_as_of_snapshot,approvals_required_count,approvals_approved_count_as_of_snapshot,approvals_pending_count_as_of_snapshot,critical_approval_pending_flag_as_of_snapshot,percent_compensation_disbursed_as_of_snapshot,compensation_dispute_flag_as_of_snapshot,active_legal_cases_count_as_of_snapshot,stay_order_active_flag_as_of_snapshot,high_court_or_above_case_flag_as_of_snapshot,percent_land_clear_title,percent_land_disputed_ownership,consent_percent_obtained,land_record_digitization_status,number_of_displaced_families,percent_families_resettled_as_of_snapshot,rr_plan_approved_flag_as_of_snapshot,rr_grievance_backlog_as_of_snapshot,public_hearing_objections_count,political_sensitivity_index,local_body_resolution_status,officer_turnover_count_as_of_snapshot,funds_availability_status_as_of_snapshot,budget_utilization_percent_as_of_snapshot,e_governance_system_used_flag,state_historical_avg_delay_days,agency_historical_completion_rate,project_type_historical_delay_rate,next_stage_at_snapshot,next_stage_name_at_snapshot,heuristic_risk_score,risk_tier,project_latitude,project_longitude,recommended_split,target_is_delayed_beyond_6mo,target_land_acquisition_delay_category_final,target_land_acquisition_delay_days_final,target_known_flag,target_next_stage_delay_flag,target_next_stage_delay_days,target_next_stage_known_flag
SNAP-000008-2,SIH26017-PRJ-000008,2020-12-20,Bihar,Muzaffarpur,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",7.97,1,150.64,Homestead-Residential,False,2019-12-31,2020-11-11,316,355,3,Survey & Measurement,33.3,13,3,3,0,False,0.0,False,0,False,False,77.6,22.8,,Fully Digitized,4,0.0,True,0,8,Low,Neutral,2,Insufficient,20.3,True,20.4,72.0,36.0,4,Draft Declaration,21.5,Low,26.08314,85.53281,train,,,,True,True,,True
SNAP-000009-1,SIH26017-PRJ-000009,2026-05-13,Karnataka,Belagavi,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",3816.27,96,19676.63,Agricultural,False,2024-02-27,2027-05-22,1180,806,5,Final Declaration (Sec 19),44.4,309,4,4,0,False,4.4,False,2,True,True,58.0,39.1,49.4,Not Digitized,295,0.9,True,24,55,Medium,Opposing,2,Insufficient,32.0,False,55.6,41.7,95.8,5,Final Declaration (Sec 19),69.9,High,15.90689,74.6931,train,,,,False,True,118.0,True
SNAP-000010-1,SIH26017-PRJ-000010,2023-04-14,Uttar Pradesh,Varanasi,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1318.27,36,3975.8,Forest,False,2016-07-28,2023-02-13,2391,2451,9,Mutation & Handover,88.9,1483,7,7,0,False,67.9,False,0,False,False,75.1,26.4,,Partially Digitized,458,69.8,True,55,26,Medium,Opposing,10,Adequate,56.0,False,31.6,33.3,77.8,9,Mutation & Handover,33.3,Medium,25.18995,82.98788,test,False,Minor Delay (<=6mo),178.0,True,True,178.0,True
SNAP-000011-1,SIH26017-PRJ-000011,2022-06-22,Jharkhand,Ranchi,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",25.18,1,1729.3,Homestead-Residential,False,2018-07-14,2028-05-08,3586,1439,5,Final Declaration (Sec 19),44.4,580,4,4,0,False,5.6,True,1,False,True,73.3,31.8,,Not Digitized,7,1.0,True,1,10,Low,Opposing,3,Insufficient,41.8,False,69.5,72.4,41.4,5,Final Declaration (Sec 19),48.5,Medium,23.33931,85.46683,train,,,,False,True,480.0,True
SNAP-000012-1,SIH26017-PRJ-000012,2017-11-04,Tamil Nadu,Chennai,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",9.96,5,1651.17,Forest,False,2016-09-16,2019-09-16,1095,414,5,Final Declaration (Sec 19),44.4,73,6,6,0,False,0.0,False,0,False,False,77.8,27.6,,Not Digitized,1,0.0,True,0,15,Low,Opposing,2,Insufficient,45.5,False,,100.0,0.0,5,Final Declaration (Sec 19),28.4,Low,13.23453,80.29761,test,False,On-Time,11.0,True,False,-4.0,True
SNAP-000012-2,SIH26017-PRJ-000012,2018-09-25,Tamil Nadu,Chennai,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",9.96,5,1651.17,Forest,False,2016-09-16,2019-09-16,1095,739,7,Compensation Disbursement,66.7,103,6,6,0,False,55.6,False,0,False,False,76.1,27.9,,Not Digitized,1,21.9,True,0,15,Low,Opposing,1,Adequate,75.0,False,27.0,71.4,28.6,7,Compensation Disbursement,14.5,Low,13.23453,80.29761,test,False,On-Time,11.0,True,True,168.0,True
SNAP-000013-1,SIH26017-PRJ-000013,2025-02-07,Telangana,Warangal,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",724.18,14,1955.1,Government-Wasteland,False,2022-08-10,2024-12-18,861,912,5,Final Declaration (Sec 19),55.6,360,4,4,0,False,6.6,False,0,False,False,80.9,17.2,,Not Digitized,57,1.0,True,3,12,Low,Neutral,4,Delayed,54.9,False,31.3,52.6,68.4,6,Award Declaration (Sec 23),25.1,Low,18.0253,79.49119,train,,,,True,True,,True
SNAP-000014-1,SIH26017-PRJ-000014,2021-09-22,West Bengal,Purba Bardhaman,National Highway,NHAI,Linear,"National Highways Act, 1956",223.15,8,5962.23,Agricultural,False,2021-03-07,2024-06-30,1211,199,2,Social Impact Assessment (SIA),11.1,10,5,3,2,True,0.0,False,0,False,False,79.2,22.0,,Fully Digitized,18,0.0,False,1,14,Medium,Supportive,1,Insufficient,19.5,True,45.8,66.7,61.9,2,Social Impact Assessment (SIA),26.6,Low,23.13032,87.92417,train,False,On-Time,6.0,True,True,126.0,True
SNAP-000015-1,SIH26017-PRJ-000015,2026-03-17,Jharkhand,Dhanbad,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",2884.91,73,5752.41,Homestead-Residential,False,2020-10-29,2027-09-07,2504,1965,6,Award Declaration (Sec 23),55.6,1210,5,5,0,False,25.4,False,0,False,False,47.6,49.4,40.2,Not Digitized,1402,18.7,True,124,73,Low,Opposing,10,Delayed,61.9,False,100.9,35.0,85.0,6,Award Declaration (Sec 23),53.1,Medium,24.0678,86.4836,test,,,,False,True,233.0,True
SNAP-000016-1,SIH26017-PRJ-000016,2025-05-18,Jharkhand,Dhanbad,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",98.14,4,1791.11,Homestead-Residential,False,2024-09-08,2029-04-20,1685,252,2,Social Impact Assessment (SIA),11.1,8,5,3,2,True,0.0,False,0,False,False,65.9,41.3,,Partially Digitized,46,0.0,False,1,15,Medium,Neutral,2,Insufficient,16.1,False,93.3,58.3,83.3,2,Social Impact Assessment (SIA),24.6,Low,23.85186,86.60844,train,,,,False,True,88.0,True
SNAP-000016-2,SIH26017-PRJ-000016,2025-12-25,Jharkhand,Dhanbad,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",98.14,4,1791.11,Homestead-Residential,False,2024-09-08,2029-04-20,1685,473,3,Survey & Measurement,22.2,96,5,5,0,False,0.0,False,0,False,False,63.2,39.8,,Partially Digitized,46,0.0,True,2,15,Medium,Neutral,6,Insufficient,27.4,False,100.9,53.3,80.0,3,Survey & Measurement,32.9,Medium,23.85186,86.60844,train,,,,False,True,135.0,True
SNAP-000017-1,SIH26017-PRJ-000017,2022-12-22,Chhattisgarh,Durg,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",4.95,4,1886.78,Homestead-Residential,False,2022-10-03,2031-02-19,3061,80,2,Social Impact Assessment (SIA),11.1,9,4,1,2,True,0.0,False,0,False,False,52.2,55.5,,Partially Digitized,2,0.0,False,0,0,Medium,Opposing,0,Insufficient,7.0,False,60.2,71.0,41.9,2,Social Impact Assessment (SIA),20.4,Low,21.22719,81.25879,validation,,,,False,True,116.0,True
SNAP-000018-1,SIH26017-PRJ-000018,2023-05-19,Odisha,Cuttack,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",182.1,11,1025.41,Government-Wasteland,False,2021-04-02,2024-06-05,1160,777,7,Compensation Disbursement,66.7,246,4,4,0,False,39.1,False,0,False,False,49.8,54.8,,Fully Digitized,16,17.0,True,2,12,Low,Opposing,3,Delayed,56.1,True,78.4,76.7,53.3,7,Compensation Disbursement,38.5,Medium,20.39855,85.89385,train,False,Minor Delay (<=6mo),66.0,True,True,83.0,True
SNAP-000019-1,SIH26017-PRJ-000019,2018-01-05,Assam,Dibrugarh,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",33.92,5,241.48,Government-Wasteland,False,2016-10-14,2020-05-21,1315,448,3,Survey & Measurement,22.2,254,4,3,0,False,0.0,False,0,False,False,67.5,36.7,,Not Digitized,1,0.0,True,0,10,Medium,Opposing,2,Insufficient,17.9,False,,100.0,0.0,3,Survey & Measurement,43.5,Medium,27.40952,94.97532,train,False,Minor Delay (<=6mo),83.0,True,True,85.0,True
SNAP-000019-2,SIH26017-PRJ-000019,2018-10-09,Assam,Dibrugarh,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",33.92,5,241.48,Government-Wasteland,False,2016-10-14,2020-05-21,1315,725,5,Final Declaration (Sec 19),44.4,418,4,3,0,False,0.0,False,0,False,False,66.8,37.5,,Not Digitized,1,0.0,True,0,10,Medium,Opposing,2,Delayed,33.5,False,,71.4,28.6,5,Final Declaration (Sec 19),32.6,Medium,27.40952,94.97532,train,False,Minor Delay (<=6mo),83.0,True,True,54.0,True
SNAP-000019-3,SIH26017-PRJ-000019,2019-09-22,Assam,Dibrugarh,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",33.92,5,241.48,Government-Wasteland,False,2016-10-14,2020-05-21,1315,1073,7,Compensation Disbursement,66.7,541,4,3,0,False,44.7,False,1,False,False,68.1,36.4,,Not Digitized,1,26.1,True,0,10,Medium,Opposing,3,Adequate,56.8,False,,53.3,46.7,7,Compensation Disbursement,31.9,Medium,27.40952,94.97532,train,False,Minor Delay (<=6mo),83.0,True,True,66.0,True
SNAP-000020-1,SIH26017-PRJ-000020,2022-01-01,Chhattisgarh,Durg,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",45.53,4,1290.44,Agricultural,False,2017-07-10,2022-05-17,1772,1636,8,Possession,77.8,895,4,4,0,False,72.6,False,0,False,False,77.4,24.6,,Not Digitized,3,52.9,True,1,9,Medium,Opposing,7,Adequate,71.3,False,44.0,61.9,52.4,8,Possession,27.0,Low,21.17953,81.07998,train,False,Minor Delay (<=6mo),85.0,True,True,161.0,True
SNAP-000021-1,SIH26017-PRJ-000021,2021-01-13,Maharashtra,Nagpur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",76.87,8,1153.29,Agricultural,False,2018-01-31,2027-01-08,3264,1078,5,Final Declaration (Sec 19),44.4,592,4,4,0,False,5.9,True,1,True,True,76.6,29.9,,Fully Digitized,9,1.4,True,1,8,Low,Neutral,4,Insufficient,41.3,True,21.8,83.3,58.3,5,Final Declaration (Sec 19),53.2,Medium,21.16015,79.0858,train,,,,False,True,214.0,True
SNAP-000021-2,SIH26017-PRJ-000021,2023-10-16,Maharashtra,Nagpur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",76.87,8,1153.29,Agricultural,False,2018-01-31,2027-01-08,3264,2084,7,Compensation Disbursement,66.7,1368,4,4,0,False,43.1,True,1,True,True,75.3,27.1,,Fully Digitized,9,46.8,True,1,8,Low,Neutral,5,Delayed,56.5,True,38.0,78.1,56.2,7,Compensation Disbursement,44.3,Medium,21.16015,79.0858,train,,,,False,True,1040.0,True
SNAP-000022-1,SIH26017-PRJ-000022,2021-07-12,Odisha,Kalahandi,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1205.52,32,3939.76,Homestead-Residential,False,2015-01-18,2024-01-23,3292,2367,7,Compensation Disbursement,66.7,812,5,5,0,False,35.9,False,0,False,False,59.8,35.9,,Fully Digitized,609,21.9,True,78,30,Medium,Opposing,10,Insufficient,70.1,True,74.4,40.0,60.0,7,Compensation Disbursement,53.2,Medium,20.08485,83.00451,validation,True,Major Delay (6-18mo),453.0,True,True,971.0,True
SNAP-000023-1,SIH26017-PRJ-000023,2025-05-24,Assam,Kamrup,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",12.75,1,14006.2,Government-Wasteland,False,2024-01-20,2030-06-08,2331,490,3,Survey & Measurement,22.2,192,5,5,0,False,0.0,False,0,False,False,76.2,36.1,,Not Digitized,5,0.0,True,0,13,Low,Neutral,5,Insufficient,27.1,False,90.3,58.3,83.3,3,Survey & Measurement,39.0,Medium,26.32201,91.91791,train,,,,False,True,81.0,True
SNAP-000024-1,SIH26017-PRJ-000024,2018-03-02,Rajasthan,Alwar,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",12.03,5,833.18,Government-Wasteland,True,2017-06-08,2018-12-15,555,267,2,Social Impact Assessment (SIA),11.1,74,4,3,1,True,0.0,False,0,False,False,65.6,34.1,,Fully Digitized,2,0.0,False,0,16,Medium,Opposing,0,Insufficient,17.2,True,,100.0,0.0,2,Social Impact Assessment (SIA),32.6,Medium,27.60447,76.62966,validation,,,,True,True,245.0,True
SNAP-000024-2,SIH26017-PRJ-000024,2018-10-17,Rajasthan,Alwar,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",12.03,5,833.18,Government-Wasteland,True,2017-06-08,2018-12-15,555,496,2,Social Impact Assessment (SIA),22.2,319,4,3,1,True,0.0,False,0,False,False,69.3,36.2,,Fully Digitized,2,0.0,True,0,16,Medium,Opposing,0,Insufficient,18.0,True,,71.4,28.6,3,Survey & Measurement,35.3,Medium,27.60447,76.62966,validation,,,,True,True,,True
SNAP-000025-1,SIH26017-PRJ-000025,2023-11-03,Gujarat,Surat,National Highway,NHAI,Linear,"National Highways Act, 1956",238.43,13,2883.55,Agricultural,False,2022-03-27,2029-02-19,2521,586,3,Survey & Measurement,22.2,328,5,5,0,False,0.0,False,0,False,False,74.0,31.5,,Not Digitized,17,0.0,True,1,19,Low,Neutral,5,Insufficient,23.3,False,117.8,66.7,61.9,3,Survey & Measurement,34.3,Medium,21.02107,72.80053,test,,,,False,True,285.0,True
SNAP-000025-2,SIH26017-PRJ-000025,2025-04-16,Gujarat,Surat,National Highway,NHAI,Linear,"National Highways Act, 1956",238.43,13,2883.55,Agricultural,False,2022-03-27,2029-02-19,2521,1116,5,Final Declaration (Sec 19),44.4,730,5,5,0,False,6.8,False,0,False,False,76.1,32.7,,Not Digitized,17,0.9,True,1,19,Low,Neutral,6,Insufficient,47.2,False,106.9,64.4,69.5,5,Final Declaration (Sec 19),34.6,Medium,21.02107,72.80053,test,,,,False,True,423.0,True
SNAP-000026-1,SIH26017-PRJ-000026,2018-07-31,Rajasthan,Alwar,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",30.56,2,200.19,Homestead-Residential,False,2018-06-11,2018-11-05,147,50,1,Preliminary Notification (Sec 11),0.0,0,3,0,2,True,0.0,False,0,False,False,53.6,36.9,,Fully Digitized,8,0.0,False,0,0,Medium,Opposing,1,Insufficient,4.4,True,,71.4,28.6,1,Preliminary Notification (Sec 11),26.0,Low,27.42834,76.59473,train,,,,True,True,35.0,True
SNAP-000027-1,SIH26017-PRJ-000027,2019-10-13,Odisha,Khordha,National Highway,NHAI,Linear,"National Highways Act, 1956",114.83,4,843.14,Agricultural,False,2018-01-04,2022-12-14,1805,647,5,Final Declaration (Sec 19),44.4,175,5,4,0,False,5.2,False,0,False,False,60.2,39.0,,Partially Digitized,8,1.1,True,1,12,Low,Opposing,5,Insufficient,50.3,True,32.0,60.0,60.0,5,Final Declaration (Sec 19),35.8,Medium,20.43892,85.33267,train,True,Major Delay (6-18mo),296.0,True,True,187.0,True
SNAP-000027-2,SIH26017-PRJ-000027,2021-11-22,Odisha,Khordha,National Highway,NHAI,Linear,"National Highways Act, 1956",114.83,4,843.14,Agricultural,False,2018-01-04,2022-12-14,1805,1418,7,Compensation Disbursement,66.7,596,5,4,0,False,39.2,False,0,False,False,61.6,38.8,,Partially Digitized,8,43.8,True,1,12,Low,Opposing,8,Delayed,77.7,True,69.8,69.6,56.5,7,Compensation Disbursement,35.9,Medium,20.43892,85.33267,train,True,Major Delay (6-18mo),296.0,True,True,230.0,True
SNAP-000028-1,SIH26017-PRJ-000028,2016-04-11,Madhya Pradesh,Indore,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2310.01,55,7042.26,Mixed,False,2015-10-11,2017-03-18,524,183,2,Social Impact Assessment (SIA),22.2,19,4,2,2,True,0.0,False,0,False,False,85.8,15.4,58.2,Partially Digitized,1137,0.0,True,17,38,Low,Neutral,1,Insufficient,16.2,True,,,,3,Survey & Measurement,33.4,Medium,22.72367,75.81599,train,,,,True,True,46.0,True
SNAP-000028-2,SIH26017-PRJ-000028,2016-10-30,Madhya Pradesh,Indore,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2310.01,55,7042.26,Mixed,False,2015-10-11,2017-03-18,524,385,4,Draft Declaration,33.3,65,4,4,0,False,0.0,False,0,False,False,80.7,14.6,58.2,Partially Digitized,1137,0.0,True,48,38,Low,Neutral,1,Delayed,39.4,True,-34.0,,,4,Draft Declaration,22.2,Low,22.72367,75.81599,train,,,,True,True,106.0,True
SNAP-000028-3,SIH26017-PRJ-000028,2017-04-23,Madhya Pradesh,Indore,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2310.01,55,7042.26,Mixed,False,2015-10-11,2017-03-18,524,560,4,Draft Declaration,44.4,171,4,4,0,False,0.0,False,0,False,False,83.0,15.8,58.2,Partially Digitized,1137,0.0,True,48,38,Low,Neutral,1,Delayed,35.5,True,-34.0,,,5,Final Declaration (Sec 19),44.9,Medium,22.72367,75.81599,train,,,,True,True,,True
SNAP-000029-1,SIH26017-PRJ-000029,2023-02-08,Madhya Pradesh,Indore,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1397.79,31,9596.96,Agricultural,False,2022-10-27,2028-12-13,2239,104,1,Preliminary Notification (Sec 11),0.0,0,4,2,2,True,0.0,False,0,False,False,56.2,37.6,68.4,Fully Digitized,526,0.0,False,0,0,Low,Opposing,0,Delayed,6.0,True,4.0,25.0,75.0,1,Preliminary Notification (Sec 11),21.1,Low,22.70562,75.73477,train,,,,False,True,60.0,True
SNAP-000030-1,SIH26017-PRJ-000030,2024-03-28,Madhya Pradesh,Chhindwara,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1491.85,31,6758.45,Agricultural,True,2022-11-15,2026-03-26,1227,499,4,Draft Declaration,33.3,193,4,4,0,False,0.0,False,0,False,False,73.9,20.4,67.1,Partially Digitized,507,0.0,True,15,31,Medium,Opposing,3,Adequate,26.3,True,4.2,33.3,75.0,4,Draft Declaration,36.7,Medium,21.92365,79.00277,validation,False,Minor Delay (<=6mo),81.0,True,False,-19.0,True
SNAP-000031-1,SIH26017-PRJ-000031,2020-08-24,West Bengal,Purulia,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1008.75,29,5389.35,Forest,False,2018-11-18,2024-06-03,2024,645,3,Survey & Measurement,22.2,221,6,6,0,False,0.0,False,0,False,False,70.8,31.2,55.3,Not Digitized,356,0.0,True,13,21,Low,Supportive,3,Insufficient,24.8,False,21.4,0.0,100.0,3,Survey & Measurement,47.8,Medium,23.59154,86.47529,train,,,,True,True,356.0,True
