project_id,number_of_implementing_officers,officer_turnover_count_last_year,district_collector_changes_count,inter_departmental_coordination_score,avg_file_processing_days,e_governance_system_used_flag,rti_queries_count,audit_objections_count,budget_utilization_percent,funds_availability_status
SIH26017-PRJ-000093,8,7,1,1,44.3,True,10,3,39.7,Insufficient
SIH26017-PRJ-000094,3,3,0,3,30.8,False,7,2,41.8,Delayed
SIH26017-PRJ-000095,5,10,6,3,34.6,True,20,8,30.9,Insufficient
SIH26017-PRJ-000096,3,7,4,2,22.1,False,7,1,90.0,Adequate
SIH26017-PRJ-000097,7,8,0,3,30.4,True,8,2,26.0,Insufficient
SIH26017-PRJ-000098,1,8,2,3,32.2,True,5,2,81.5,Adequate
SIH26017-PRJ-000099,3,8,2,2,17.5,True,6,0,86.8,Adequate
SIH26017-PRJ-000100,4,7,2,3,22.7,True,5,1,17.3,Delayed
SIH26017-PRJ-000101,4,10,6,1,23.3,True,16,4,86.0,Delayed
SIH26017-PRJ-000102,10,10,6,3,29.3,False,11,3,54.9,Delayed
SIH26017-PRJ-000103,5,6,2,2,16.5,False,21,4,6.0,Adequate
SIH26017-PRJ-000104,2,2,0,5,17.4,True,3,4,55.0,Delayed
SIH26017-PRJ-000105,5,5,1,3,30.7,True,4,1,57.3,Delayed
SIH26017-PRJ-000106,5,10,2,2,47.0,True,19,5,79.4,Adequate
SIH26017-PRJ-000107,3,7,6,2,35.4,True,13,5,54.8,Insufficient
SIH26017-PRJ-000108,7,2,0,2,32.5,True,4,0,35.2,Insufficient
SIH26017-PRJ-000109,5,5,2,3,16.8,True,3,0,82.0,Adequate
SIH26017-PRJ-000110,8,9,1,1,38.8,False,10,7,52.3,Insufficient
SIH26017-PRJ-000111,3,5,2,4,26.0,False,2,4,85.6,Delayed
SIH26017-PRJ-000112,4,10,4,2,19.7,False,6,5,87.8,Adequate
SIH26017-PRJ-000113,3,10,5,2,37.0,False,23,3,25.8,Insufficient
SIH26017-PRJ-000114,10,10,6,3,41.8,False,7,0,71.0,Adequate
SIH26017-PRJ-000115,3,10,3,2,27.6,True,24,5,88.6,Delayed
SIH26017-PRJ-000116,2,10,3,4,21.4,True,5,3,97.9,Adequate
SIH26017-PRJ-000117,7,4,2,4,32.6,True,0,4,68.3,Delayed
SIH26017-PRJ-000118,6,8,0,4,18.8,True,11,2,91.4,Delayed
SIH26017-PRJ-000119,3,2,1,5,29.7,False,0,2,71.6,Adequate
SIH26017-PRJ-000120,6,10,6,2,34.0,False,2,8,62.2,Delayed
SIH26017-PRJ-000121,3,10,3,2,31.5,False,29,2,46.8,Insufficient
SIH26017-PRJ-000122,6,10,2,3,31.4,True,0,0,19.6,Insufficient
SIH26017-PRJ-000123,6,5,5,2,22.3,False,6,2,55.5,Insufficient
SIH26017-PRJ-000124,6,10,6,1,34.3,True,25,10,67.9,Insufficient
SIH26017-PRJ-000125,4,10,4,3,26.5,True,16,3,91.3,Adequate
SIH26017-PRJ-000126,5,9,2,2,24.7,False,4,1,98.3,Adequate
SIH26017-PRJ-000127,4,3,0,2,41.6,False,1,2,14.5,Insufficient
SIH26017-PRJ-000128,3,8,6,3,31.6,False,1,4,52.0,Delayed
SIH26017-PRJ-000129,3,8,2,3,35.3,False,13,2,18.0,Insufficient
SIH26017-PRJ-000130,3,10,0,2,30.3,True,13,3,99.2,Adequate
SIH26017-PRJ-000131,5,9,3,3,24.2,True,1,0,64.3,Adequate
SIH26017-PRJ-000132,2,6,4,3,17.5,False,21,2,100.0,Adequate
SIH26017-PRJ-000133,9,10,4,1,17.0,False,11,4,78.6,Insufficient
SIH26017-PRJ-000134,7,6,1,1,36.5,True,10,5,83.6,Delayed
SIH26017-PRJ-000135,6,5,2,1,30.3,True,4,2,44.1,Delayed
SIH26017-PRJ-000136,5,4,6,3,26.2,True,6,0,82.5,Adequate
SIH26017-PRJ-000137,3,2,5,2,23.3,True,10,0,75.4,Delayed
SIH26017-PRJ-000138,2,4,4,2,21.1,False,7,3,94.7,Adequate
SIH26017-PRJ-000139,2,8,0,3,32.5,False,12,6,21.1,Insufficient
SIH26017-PRJ-000140,2,2,1,2,27.1,False,14,2,70.9,Adequate
SIH26017-PRJ-000141,5,10,6,2,43.9,False,12,5,91.0,Delayed
SIH26017-PRJ-000142,8,7,6,2,28.0,False,9,11,63.2,Delayed
SIH26017-PRJ-000143,3,1,1,3,17.8,False,15,0,100.0,Adequate
SIH26017-PRJ-000144,4,6,1,1,24.8,True,1,1,77.8,Adequate
SIH26017-PRJ-000145,7,10,6,3,35.6,True,22,4,64.2,Delayed
SIH26017-PRJ-000146,4,1,4,2,31.5,True,0,3,43.6,Delayed
SIH26017-PRJ-000147,8,5,6,3,26.9,False,9,9,63.4,Adequate
SIH26017-PRJ-000148,2,2,2,3,18.6,False,0,0,85.7,Adequate
SIH26017-PRJ-000149,6,10,1,2,33.2,True,13,1,34.9,Insufficient
SIH26017-PRJ-000150,12,10,1,3,33.8,False,14,6,66.0,Delayed
SIH26017-PRJ-000151,3,10,3,1,44.9,False,23,1,87.9,Insufficient
SIH26017-PRJ-000152,3,10,6,4,29.0,False,7,7,6.2,Insufficient
SIH26017-PRJ-000153,4,10,6,3,36.6,False,29,2,67.5,Insufficient
SIH26017-PRJ-000154,2,6,1,3,32.5,True,2,1,6.2,Insufficient
SIH26017-PRJ-000155,8,10,3,3,25.9,True,9,6,88.6,Delayed
SIH26017-PRJ-000156,4,3,3,2,36.7,False,9,2,89.5,Delayed
SIH26017-PRJ-000157,5,10,6,1,37.5,False,21,12,73.3,Insufficient
SIH26017-PRJ-000158,7,10,5,4,38.2,False,14,0,6.6,Insufficient
SIH26017-PRJ-000159,4,4,2,3,31.0,True,6,2,41.6,Adequate
SIH26017-PRJ-000160,8,10,6,2,23.2,False,20,5,78.5,Delayed
SIH26017-PRJ-000161,4,10,0,4,36.2,False,22,7,84.3,Adequate
SIH26017-PRJ-000162,6,4,2,3,29.5,True,5,1,37.6,Delayed
SIH26017-PRJ-000163,6,3,1,1,23.2,False,12,2,83.6,Adequate
SIH26017-PRJ-000164,3,10,5,1,33.3,False,36,4,11.2,Insufficient
SIH26017-PRJ-000165,14,6,3,2,28.2,True,1,6,82.3,Delayed
SIH26017-PRJ-000166,3,10,3,4,21.0,True,4,0,55.9,Delayed
SIH26017-PRJ-000167,1,3,1,3,37.5,True,2,2,36.1,Insufficient
SIH26017-PRJ-000168,10,10,2,2,26.2,False,21,5,70.2,Adequate
SIH26017-PRJ-000169,5,5,1,3,35.1,False,28,4,39.3,Delayed
SIH26017-PRJ-000170,8,8,5,1,26.3,True,5,1,26.3,Insufficient
SIH26017-PRJ-000171,4,4,5,2,27.3,False,17,1,53.3,Insufficient
SIH26017-PRJ-000172,4,10,4,3,26.6,False,3,3,16.8,Insufficient
SIH26017-PRJ-000173,14,5,0,1,34.0,True,3,2,50.1,Delayed
SIH26017-PRJ-000174,2,6,5,3,32.8,False,5,7,75.6,Delayed
SIH26017-PRJ-000175,3,10,2,2,26.1,True,9,3,80.9,Adequate
SIH26017-PRJ-000176,2,10,2,3,24.5,True,22,8,77.1,Adequate
SIH26017-PRJ-000177,3,2,2,3,34.1,False,3,0,72.1,Insufficient
SIH26017-PRJ-000178,4,10,4,3,46.6,False,3,2,39.2,Insufficient
SIH26017-PRJ-000179,3,8,0,1,34.9,True,8,5,88.8,Insufficient
SIH26017-PRJ-000180,5,10,3,1,33.4,True,24,8,32.9,Delayed
SIH26017-PRJ-000181,2,8,0,2,36.5,False,4,1,30.0,Insufficient
SIH26017-PRJ-000182,3,4,1,4,21.5,True,3,1,76.5,Adequate
SIH26017-PRJ-000183,1,6,1,3,29.4,False,2,0,60.0,Delayed
SIH26017-PRJ-000184,17,8,0,2,36.4,True,12,4,51.6,Insufficient
SIH26017-PRJ-000185,6,10,4,3,41.8,False,13,2,5.4,Insufficient
SIH26017-PRJ-000186,4,10,6,1,37.4,False,6,8,24.0,Insufficient
SIH26017-PRJ-000187,3,10,0,2,27.1,True,2,2,89.1,Adequate
SIH26017-PRJ-000188,12,3,0,3,29.5,True,4,2,72.0,Delayed
SIH26017-PRJ-000189,9,10,2,1,29.9,True,3,5,88.0,Delayed
SIH26017-PRJ-000190,4,10,6,2,29.1,True,25,5,27.7,Insufficient
SIH26017-PRJ-000191,1,3,2,3,20.9,True,5,7,76.5,Delayed
SIH26017-PRJ-000192,7,10,6,1,28.3,False,10,5,92.9,Adequate
SIH26017-PRJ-000193,3,1,0,3,23.6,False,2,4,96.1,Adequate
SIH26017-PRJ-000194,3,1,5,3,22.4,True,12,9,94.3,Delayed
SIH26017-PRJ-000195,1,10,6,2,29.8,True,19,1,79.6,Delayed
SIH26017-PRJ-000196,8,10,2,3,34.4,True,5,2,33.6,Insufficient
SIH26017-PRJ-000197,10,10,6,2,38.4,False,15,6,74.4,Delayed
SIH26017-PRJ-000198,6,9,3,2,41.0,True,5,1,15.7,Delayed
SIH26017-PRJ-000199,16,0,1,2,33.5,True,6,2,23.3,Insufficient
SIH26017-PRJ-000200,2,6,4,2,35.1,False,13,2,76.9,Delayed
SIH26017-PRJ-000201,8,9,2,3,31.1,True,11,2,77.8,Insufficient
SIH26017-PRJ-000202,2,8,1,3,19.6,True,1,1,86.6,Adequate
SIH26017-PRJ-000203,13,2,3,2,34.4,True,6,1,37.1,Insufficient
SIH26017-PRJ-000204,5,8,1,2,31.1,False,14,3,42.4,Delayed
SIH26017-PRJ-000205,5,3,2,1,28.0,False,6,2,4.6,Insufficient
SIH26017-PRJ-000206,4,10,4,2,37.6,True,18,3,41.5,Delayed
SIH26017-PRJ-000207,8,10,6,2,33.3,True,19,3,43.4,Insufficient
SIH26017-PRJ-000208,10,5,2,2,38.6,False,5,5,37.4,Insufficient
SIH26017-PRJ-000209,1,5,5,2,33.4,False,6,0,64.9,Insufficient
SIH26017-PRJ-000210,18,10,5,3,30.1,False,11,7,78.2,Delayed
SIH26017-PRJ-000211,6,2,2,3,26.6,True,31,8,83.3,Adequate
SIH26017-PRJ-000212,4,10,6,2,31.0,False,7,3,54.2,Adequate
SIH26017-PRJ-000213,14,10,6,2,33.2,True,8,2,78.1,Delayed
SIH26017-PRJ-000214,2,10,6,2,30.4,False,15,12,78.0,Delayed
SIH26017-PRJ-000215,9,10,0,3,29.0,True,27,3,44.3,Insufficient
SIH26017-PRJ-000216,3,9,1,2,24.7,False,4,2,55.7,Delayed
SIH26017-PRJ-000217,4,10,2,2,35.2,True,14,4,100.0,Delayed
SIH26017-PRJ-000218,5,10,0,2,34.2,False,11,3,40.6,Insufficient
SIH26017-PRJ-000219,7,10,2,2,45.3,True,5,3,75.9,Delayed
SIH26017-PRJ-000220,10,6,1,1,18.8,False,9,7,82.3,Adequate
SIH26017-PRJ-000221,4,3,0,3,24.2,False,8,2,100.0,Adequate
SIH26017-PRJ-000222,8,10,4,3,33.9,True,11,8,86.7,Adequate
SIH26017-PRJ-000223,4,9,6,4,26.2,True,15,7,28.5,Insufficient
SIH26017-PRJ-000224,2,10,3,2,28.9,True,6,3,69.0,Adequate
SIH26017-PRJ-000225,10,10,5,2,25.3,True,9,2,100.0,Delayed
SIH26017-PRJ-000226,3,6,2,2,8.5,True,2,2,90.5,Adequate
SIH26017-PRJ-000227,4,4,2,1,23.1,True,11,6,69.6,Delayed
SIH26017-PRJ-000228,3,3,0,3,35.8,True,8,0,65.3,Insufficient
SIH26017-PRJ-000229,3,6,3,2,25.1,True,6,1,76.8,Delayed
SIH26017-PRJ-000230,4,7,2,4,31.1,False,13,3,80.0,Delayed
SIH26017-PRJ-000231,2,10,5,1,35.8,False,14,6,58.8,Delayed
SIH26017-PRJ-000232,3,10,5,1,43.9,False,7,1,69.6,Insufficient
SIH26017-PRJ-000233,4,10,6,1,22.8,True,11,3,82.9,Delayed
SIH26017-PRJ-000234,4,10,6,2,21.5,False,3,6,67.2,Insufficient
SIH26017-PRJ-000235,2,10,5,4,38.9,True,22,4,70.2,Delayed
SIH26017-PRJ-000236,4,2,2,1,38.6,False,10,1,60.0,Insufficient
SIH26017-PRJ-000237,4,10,5,2,15.5,True,24,5,80.4,Adequate
SIH26017-PRJ-000238,5,10,5,2,31.5,True,9,3,73.5,Delayed
SIH26017-PRJ-000239,1,10,4,4,30.6,True,14,3,74.1,Delayed
SIH26017-PRJ-000240,4,4,5,2,34.2,False,10,3,100.0,Delayed
SIH26017-PRJ-000241,10,10,4,2,44.7,False,12,2,75.0,Delayed
SIH26017-PRJ-000242,6,5,3,3,43.5,False,4,0,43.8,Delayed
SIH26017-PRJ-000243,16,7,1,3,22.1,True,8,4,41.7,Insufficient
SIH26017-PRJ-000244,2,10,5,3,27.5,True,15,2,82.9,Delayed
SIH26017-PRJ-000245,5,10,5,2,32.0,True,12,3,70.9,Delayed
SIH26017-PRJ-000246,10,10,6,3,31.3,True,16,4,61.9,Insufficient
SIH26017-PRJ-000247,3,8,4,2,23.4,False,18,8,98.5,Delayed
SIH26017-PRJ-000248,5,10,6,2,41.0,True,5,4,81.1,Adequate
SIH26017-PRJ-000249,3,3,1,3,27.5,False,1,5,79.8,Adequate
SIH26017-PRJ-000250,3,10,6,3,43.2,True,2,10,86.6,Delayed
SIH26017-PRJ-000251,3,10,3,3,36.3,False,13,8,71.7,Insufficient
SIH26017-PRJ-000252,2,4,6,3,30.0,True,7,3,83.1,Delayed
SIH26017-PRJ-000253,5,10,6,2,29.0,True,27,4,6.7,Insufficient
SIH26017-PRJ-000254,4,4,4,1,38.1,False,19,5,90.0,Delayed
SIH26017-PRJ-000255,3,10,6,2,27.2,False,12,4,55.1,Insufficient
SIH26017-PRJ-000256,3,10,3,2,30.8,True,15,3,72.4,Delayed
SIH26017-PRJ-000257,4,0,2,3,34.4,True,3,1,100.0,Delayed
SIH26017-PRJ-000258,2,10,3,4,33.4,True,26,2,67.0,Delayed
SIH26017-PRJ-000259,3,10,4,2,20.8,False,35,1,88.2,Delayed
SIH26017-PRJ-000260,10,10,2,3,36.8,True,13,6,65.6,Delayed
SIH26017-PRJ-000261,8,10,6,2,40.9,True,7,3,84.8,Delayed
SIH26017-PRJ-000262,3,10,6,3,26.3,False,26,8,79.0,Delayed
SIH26017-PRJ-000263,5,2,5,5,7.9,True,10,1,100.0,Adequate
SIH26017-PRJ-000264,4,6,1,1,35.3,False,13,2,35.3,Insufficient
SIH26017-PRJ-000265,3,10,6,2,32.1,False,4,0,74.6,Delayed
SIH26017-PRJ-000266,17,1,2,3,38.2,True,2,1,34.9,Insufficient
SIH26017-PRJ-000267,7,5,1,3,43.3,True,2,1,16.6,Insufficient
SIH26017-PRJ-000268,4,10,5,2,26.5,True,11,3,21.2,Delayed
SIH26017-PRJ-000269,3,4,3,3,23.5,True,5,4,47.9,Delayed
SIH26017-PRJ-000270,12,10,1,5,31.2,False,6,1,13.1,Insufficient
SIH26017-PRJ-000271,2,10,5,2,37.6,False,15,3,71.1,Delayed
SIH26017-PRJ-000272,3,10,2,3,32.7,False,16,9,86.0,Delayed
SIH26017-PRJ-000273,5,10,1,1,33.9,False,5,4,75.6,Delayed
SIH26017-PRJ-000274,5,10,6,4,39.9,True,25,4,69.1,Delayed
SIH26017-PRJ-000275,5,10,5,2,27.4,True,13,6,49.8,Delayed
SIH26017-PRJ-000276,3,8,0,4,31.1,True,12,1,63.4,Delayed
SIH26017-PRJ-000277,12,6,4,2,27.2,False,4,0,78.4,Adequate
SIH26017-PRJ-000278,2,10,6,3,18.9,False,11,7,74.7,Insufficient
SIH26017-PRJ-000279,5,9,5,3,35.6,False,27,6,65.0,Insufficient
SIH26017-PRJ-000280,2,8,6,2,30.8,True,12,1,91.8,Adequate
SIH26017-PRJ-000281,11,3,0,2,28.4,True,6,2,23.2,Insufficient
SIH26017-PRJ-000282,8,6,4,3,40.0,False,8,3,13.6,Insufficient
SIH26017-PRJ-000283,4,4,1,2,16.9,False,6,1,14.3,Delayed
SIH26017-PRJ-000284,3,10,6,2,37.9,False,10,2,73.3,Delayed
SIH26017-PRJ-000285,3,5,0,3,16.5,False,3,4,100.0,Delayed
SIH26017-PRJ-000286,1,10,1,3,35.1,False,7,2,91.8,Adequate
SIH26017-PRJ-000287,8,2,4,3,13.7,False,13,8,78.3,Adequate
SIH26017-PRJ-000288,7,10,6,2,33.5,True,11,5,6.6,Insufficient
SIH26017-PRJ-000289,1,10,0,3,29.3,True,8,2,86.9,Delayed
SIH26017-PRJ-000290,9,10,6,3,40.9,False,27,17,61.6,Delayed
SIH26017-PRJ-000291,4,10,6,2,22.2,False,11,0,91.0,Adequate
SIH26017-PRJ-000292,3,9,4,3,34.0,True,7,4,3.9,Delayed
SIH26017-PRJ-000293,4,7,1,3,23.0,True,12,3,95.0,Delayed
SIH26017-PRJ-000294,2,10,6,2,34.6,False,2,13,54.4,Insufficient
SIH26017-PRJ-000295,10,10,3,4,28.4,True,7,1,11.1,Insufficient
SIH26017-PRJ-000296,3,6,1,3,21.1,False,5,4,100.0,Adequate
SIH26017-PRJ-000297,6,6,6,1,21.1,True,10,2,4.9,Delayed
SIH26017-PRJ-000298,10,7,4,2,32.9,False,7,4,80.2,Delayed
SIH26017-PRJ-000299,1,2,0,3,23.3,False,3,2,79.1,Adequate
SIH26017-PRJ-000300,2,10,6,4,22.0,True,5,5,95.9,Adequate
SIH26017-PRJ-000301,3,10,6,2,31.2,True,8,5,72.0,Delayed
SIH26017-PRJ-000302,4,8,6,2,36.6,True,6,2,68.8,Delayed
SIH26017-PRJ-000303,2,6,1,3,29.7,True,3,0,90.5,Delayed
SIH26017-PRJ-000304,3,6,1,3,14.6,True,1,0,85.9,Adequate
SIH26017-PRJ-000305,4,8,1,3,38.0,True,12,0,63.7,Insufficient
SIH26017-PRJ-000306,2,7,3,3,26.5,True,10,1,90.1,Adequate
SIH26017-PRJ-000307,4,8,3,4,23.0,True,8,2,72.1,Adequate
SIH26017-PRJ-000308,4,2,2,2,18.5,False,15,2,100.0,Adequate
SIH26017-PRJ-000309,2,10,1,3,35.2,False,11,5,90.1,Adequate
SIH26017-PRJ-000310,2,10,6,4,25.8,True,19,5,14.3,Delayed
SIH26017-PRJ-000311,6,4,1,4,21.5,False,9,1,17.1,Insufficient
SIH26017-PRJ-000312,6,10,6,1,45.0,False,6,5,33.6,Delayed
SIH26017-PRJ-000313,4,4,1,3,18.8,True,0,4,30.8,Delayed
SIH26017-PRJ-000314,3,2,0,1,21.9,True,6,1,16.2,Delayed
SIH26017-PRJ-000315,4,10,4,2,32.7,False,18,7,89.3,Delayed
SIH26017-PRJ-000316,6,10,0,3,22.2,True,5,7,74.4,Delayed
SIH26017-PRJ-000317,1,10,5,2,24.1,True,14,0,86.1,Adequate
SIH26017-PRJ-000318,3,5,1,3,24.1,True,4,3,71.0,Delayed
SIH26017-PRJ-000319,13,10,6,1,45.9,True,13,4,63.9,Adequate
SIH26017-PRJ-000320,4,10,1,1,36.4,True,22,3,68.0,Adequate
SIH26017-PRJ-000321,7,7,2,2,35.3,False,12,3,51.4,Insufficient
SIH26017-PRJ-000322,1,10,5,2,27.2,False,5,4,64.1,Adequate
SIH26017-PRJ-000323,4,10,4,2,31.4,False,6,4,46.7,Delayed
SIH26017-PRJ-000324,6,8,4,3,28.0,True,9,5,51.3,Delayed
SIH26017-PRJ-000325,9,3,2,2,34.5,True,0,0,48.1,Delayed
SIH26017-PRJ-000326,4,10,5,1,34.8,True,9,7,89.8,Insufficient
SIH26017-PRJ-000327,2,3,0,3,18.6,False,9,1,92.1,Adequate
SIH26017-PRJ-000328,3,10,4,3,24.3,True,5,2,73.7,Delayed
SIH26017-PRJ-000329,11,6,2,3,41.5,False,7,0,44.2,Delayed
SIH26017-PRJ-000330,4,10,3,2,40.4,False,6,1,84.2,Delayed
SIH26017-PRJ-000331,6,10,6,3,32.8,True,21,3,73.1,Delayed
SIH26017-PRJ-000332,4,7,1,2,25.1,False,1,1,75.3,Delayed
SIH26017-PRJ-000333,4,10,5,4,39.5,False,8,5,14.3,Insufficient
