project_id,stage_id,stage_name,planned_start_date,planned_end_date,actual_start_date,actual_end_date,status,percent_complete,delay_days,stage_owner_department
SIH26017-PRJ-000002,9,Mutation & Handover,2018-09-13,2018-11-01,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000003,1,Preliminary Notification (Sec 11),2022-04-19,2022-06-20,2022-04-19,2022-10-17,Completed,100.0,119.0,District Collectorate
SIH26017-PRJ-000003,2,Social Impact Assessment (SIA),2022-10-19,2023-01-28,2022-10-19,2023-05-11,Completed,100.0,103.0,LA Branch
SIH26017-PRJ-000003,3,Survey & Measurement,2023-05-16,2023-07-31,2023-05-16,2023-09-07,Completed,100.0,38.0,Revenue Dept
SIH26017-PRJ-000003,4,Draft Declaration,2023-09-08,2023-10-29,2023-09-08,2023-11-16,Completed,100.0,18.0,District Collectorate
SIH26017-PRJ-000003,5,Final Declaration (Sec 19),2023-11-18,2024-01-25,2023-11-18,2024-01-19,Completed,100.0,-6.0,LA Branch
SIH26017-PRJ-000003,6,Award Declaration (Sec 23),2024-01-27,2024-04-13,2024-01-27,2024-10-22,Completed,100.0,192.0,LA Branch
SIH26017-PRJ-000003,7,Compensation Disbursement,2024-11-01,2025-03-06,2024-11-01,2026-01-19,Completed,100.0,319.0,Revenue Dept
SIH26017-PRJ-000003,8,Possession,2026-01-26,2026-03-31,2026-01-26,,In Progress,100.0,,LA Branch
SIH26017-PRJ-000003,9,Mutation & Handover,2026-10-19,2026-12-08,,,Not Started,0.0,,Implementing Agency
SIH26017-PRJ-000004,1,Preliminary Notification (Sec 11),2022-11-03,2023-01-09,2022-11-03,2023-03-29,Completed,100.0,79.0,District Collectorate
SIH26017-PRJ-000004,2,Social Impact Assessment (SIA),2023-03-30,2023-07-24,2023-03-30,2023-11-10,Completed,100.0,109.0,District Collectorate
SIH26017-PRJ-000004,3,Survey & Measurement,2023-11-17,2024-02-07,2023-11-17,2024-03-18,Completed,100.0,40.0,LA Branch
SIH26017-PRJ-000004,4,Draft Declaration,2024-03-22,2024-05-14,2024-03-22,2024-07-14,Completed,100.0,61.0,LA Branch
SIH26017-PRJ-000004,5,Final Declaration (Sec 19),2024-07-20,2024-10-10,2024-07-20,2025-02-19,Completed,100.0,132.0,Implementing Agency
SIH26017-PRJ-000004,6,Award Declaration (Sec 23),2025-02-23,2025-06-04,2025-02-23,2025-05-31,Completed,100.0,-4.0,District Collectorate
SIH26017-PRJ-000004,7,Compensation Disbursement,2025-06-03,2025-11-13,2025-06-03,,In Progress,100.0,,Revenue Dept
SIH26017-PRJ-000004,8,Possession,2026-12-18,2027-03-11,,,Not Started,0.0,,District Collectorate
SIH26017-PRJ-000004,9,Mutation & Handover,2028-01-15,2028-03-15,,,Not Started,0.0,,Revenue Dept
SIH26017-PRJ-000005,1,Preliminary Notification (Sec 11),2020-05-05,2020-07-06,2020-05-05,2020-08-10,Completed,100.0,35.0,LA Branch
SIH26017-PRJ-000005,2,Social Impact Assessment (SIA),2020-08-11,2020-12-13,2020-08-11,2021-09-02,Completed,100.0,263.0,LA Branch
SIH26017-PRJ-000005,3,Survey & Measurement,2021-09-09,2021-11-27,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000005,4,Draft Declaration,2021-09-09,2021-11-09,,,Stalled,0.0,,LA Branch
SIH26017-PRJ-000005,5,Final Declaration (Sec 19),2021-09-09,2021-12-10,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000005,6,Award Declaration (Sec 23),2021-09-09,2021-12-28,,,Stalled,0.0,,LA Branch
SIH26017-PRJ-000005,7,Compensation Disbursement,2021-09-09,2022-02-08,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000005,8,Possession,2021-09-09,2021-12-13,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000005,9,Mutation & Handover,2021-09-09,2021-11-11,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000006,1,Preliminary Notification (Sec 11),2019-10-26,2019-12-18,2019-10-26,2020-02-21,Completed,100.0,65.0,Revenue Dept
SIH26017-PRJ-000006,2,Social Impact Assessment (SIA),2020-02-26,2020-06-12,2020-02-26,2020-05-11,Completed,100.0,-32.0,Revenue Dept
SIH26017-PRJ-000006,3,Survey & Measurement,2020-05-14,2020-07-28,,,Stalled,0.0,,Revenue Dept
SIH26017-PRJ-000006,4,Draft Declaration,2020-05-14,2020-07-12,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000006,5,Final Declaration (Sec 19),2020-05-14,2020-07-29,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000006,6,Award Declaration (Sec 23),2020-05-14,2020-08-20,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000006,7,Compensation Disbursement,2020-05-14,2020-10-02,,,Stalled,0.0,,Revenue Dept
SIH26017-PRJ-000006,8,Possession,2020-05-14,2020-08-02,,,Stalled,0.0,,Revenue Dept
SIH26017-PRJ-000006,9,Mutation & Handover,2020-05-14,2020-07-16,,,Stalled,0.0,,LA Branch
SIH26017-PRJ-000007,1,Preliminary Notification (Sec 11),2024-05-16,2024-07-23,2024-05-16,2024-07-30,Completed,100.0,7.0,Revenue Dept
SIH26017-PRJ-000007,2,Social Impact Assessment (SIA),2024-08-03,2024-12-18,2024-08-03,2025-03-05,Completed,100.0,77.0,LA Branch
SIH26017-PRJ-000007,3,Survey & Measurement,2025-03-06,2025-05-17,2025-03-06,2025-07-07,Completed,100.0,51.0,Revenue Dept
SIH26017-PRJ-000007,4,Draft Declaration,2025-07-13,2025-09-12,2025-07-13,2025-12-24,Completed,100.0,103.0,Implementing Agency
SIH26017-PRJ-000007,5,Final Declaration (Sec 19),2025-12-27,2026-03-25,2025-12-27,2026-07-18,Completed,100.0,115.0,District Collectorate
SIH26017-PRJ-000007,6,Award Declaration (Sec 23),2026-07-23,2026-11-06,,,Stalled,0.0,,LA Branch
SIH26017-PRJ-000007,7,Compensation Disbursement,2026-07-23,2026-12-08,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000007,8,Possession,2026-07-23,2026-10-14,,,Stalled,0.0,,Revenue Dept
SIH26017-PRJ-000007,9,Mutation & Handover,2026-07-23,2026-09-16,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000008,1,Preliminary Notification (Sec 11),2019-12-31,2020-02-21,2019-12-31,2020-02-17,Completed,100.0,-4.0,District Collectorate
SIH26017-PRJ-000008,2,Social Impact Assessment (SIA),2020-02-21,2020-06-15,2020-02-21,2020-06-09,Completed,100.0,-6.0,Revenue Dept
SIH26017-PRJ-000008,3,Survey & Measurement,2020-06-14,2020-08-23,2020-06-14,2020-09-15,Completed,100.0,23.0,LA Branch
SIH26017-PRJ-000008,4,Draft Declaration,2020-09-20,2020-11-08,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000008,5,Final Declaration (Sec 19),2020-09-20,2020-11-29,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000008,6,Award Declaration (Sec 23),2020-09-20,2020-12-09,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000008,7,Compensation Disbursement,2020-09-20,2021-01-22,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000008,8,Possession,2020-09-20,2020-12-04,,,Stalled,0.0,,LA Branch
SIH26017-PRJ-000008,9,Mutation & Handover,2020-09-20,2020-11-11,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000009,1,Preliminary Notification (Sec 11),2024-02-27,2024-05-02,2024-02-27,2024-06-11,Completed,100.0,40.0,District Collectorate
SIH26017-PRJ-000009,2,Social Impact Assessment (SIA),2024-06-15,2024-10-24,2024-06-15,2025-02-15,Completed,100.0,114.0,District Collectorate
SIH26017-PRJ-000009,3,Survey & Measurement,2025-02-22,2025-05-10,2025-02-22,2025-05-26,Completed,100.0,16.0,Revenue Dept
SIH26017-PRJ-000009,4,Draft Declaration,2025-05-30,2025-08-02,2025-05-30,2025-12-19,Completed,100.0,139.0,LA Branch
SIH26017-PRJ-000009,5,Final Declaration (Sec 19),2025-12-20,2026-03-18,2025-12-20,2026-07-14,Completed,100.0,118.0,District Collectorate
SIH26017-PRJ-000009,6,Award Declaration (Sec 23),2026-07-17,2026-10-25,2026-07-17,,In Progress,29.0,,LA Branch
SIH26017-PRJ-000009,7,Compensation Disbursement,2027-03-19,2027-09-30,,,Stalled,0.0,,Revenue Dept
SIH26017-PRJ-000009,8,Possession,2027-03-19,2027-06-25,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000009,9,Mutation & Handover,2027-03-19,2027-05-22,,,Stalled,0.0,,LA Branch
SIH26017-PRJ-000010,1,Preliminary Notification (Sec 11),2016-07-28,2016-10-05,2016-07-28,2017-01-17,Completed,100.0,104.0,LA Branch
SIH26017-PRJ-000010,2,Social Impact Assessment (SIA),2017-01-24,2017-06-09,2017-01-24,2017-09-03,Completed,100.0,86.0,LA Branch
SIH26017-PRJ-000010,3,Survey & Measurement,2017-09-07,2017-12-11,2017-09-07,2018-03-27,Completed,100.0,106.0,District Collectorate
SIH26017-PRJ-000010,4,Draft Declaration,2018-04-02,2018-06-10,2018-04-02,2018-09-22,Completed,100.0,104.0,Implementing Agency
SIH26017-PRJ-000010,5,Final Declaration (Sec 19),2018-09-25,2018-12-25,2018-09-25,2019-06-18,Completed,100.0,175.0,Implementing Agency
SIH26017-PRJ-000010,6,Award Declaration (Sec 23),2019-06-19,2019-09-23,2019-06-19,2020-05-31,Completed,100.0,251.0,Revenue Dept
SIH26017-PRJ-000010,7,Compensation Disbursement,2020-06-02,2020-11-16,2020-06-02,2021-09-09,Completed,100.0,297.0,LA Branch
SIH26017-PRJ-000010,8,Possession,2021-09-17,2021-12-15,2021-09-17,2022-12-10,Completed,100.0,360.0,Implementing Agency
SIH26017-PRJ-000010,9,Mutation & Handover,2022-12-14,2023-02-13,2022-12-14,2023-08-10,Completed,100.0,178.0,LA Branch
SIH26017-PRJ-000011,1,Preliminary Notification (Sec 11),2018-07-14,2018-09-09,2018-07-14,2018-11-20,Completed,100.0,72.0,District Collectorate
SIH26017-PRJ-000011,2,Social Impact Assessment (SIA),2018-11-22,2019-03-16,2018-11-22,2019-09-27,Completed,100.0,195.0,Implementing Agency
SIH26017-PRJ-000011,3,Survey & Measurement,2019-09-29,2019-12-04,2019-09-29,2020-05-24,Completed,100.0,172.0,LA Branch
SIH26017-PRJ-000011,4,Draft Declaration,2020-05-26,2020-07-20,2020-05-26,2020-12-08,Completed,100.0,141.0,Revenue Dept
SIH26017-PRJ-000011,5,Final Declaration (Sec 19),2020-12-12,2021-03-07,2020-12-12,2022-06-30,Completed,100.0,480.0,Implementing Agency
SIH26017-PRJ-000011,6,Award Declaration (Sec 23),2022-07-04,2022-10-03,2022-07-04,2023-11-12,Completed,100.0,405.0,Implementing Agency
SIH26017-PRJ-000011,7,Compensation Disbursement,2023-11-16,2024-04-22,2023-11-16,,In Progress,100.0,,LA Branch
SIH26017-PRJ-000011,8,Possession,2027-03-11,2027-05-20,,,Not Started,0.0,,Implementing Agency
SIH26017-PRJ-000011,9,Mutation & Handover,2028-03-16,2028-05-08,,,Not Started,0.0,,LA Branch
SIH26017-PRJ-000012,1,Preliminary Notification (Sec 11),2016-09-16,2016-11-02,2016-09-16,2016-11-01,Completed,100.0,-1.0,Revenue Dept
SIH26017-PRJ-000012,2,Social Impact Assessment (SIA),2016-11-03,2017-03-10,2016-11-03,2017-04-09,Completed,100.0,30.0,District Collectorate
SIH26017-PRJ-000012,3,Survey & Measurement,2017-04-12,2017-06-15,2017-04-12,2017-07-16,Completed,100.0,31.0,LA Branch
SIH26017-PRJ-000012,4,Draft Declaration,2017-07-18,2017-09-09,2017-07-18,2017-09-22,Completed,100.0,13.0,LA Branch
SIH26017-PRJ-000012,5,Final Declaration (Sec 19),2017-09-26,2017-12-08,2017-09-26,2017-12-04,Completed,100.0,-4.0,Implementing Agency
SIH26017-PRJ-000012,6,Award Declaration (Sec 23),2017-12-10,2018-03-03,2017-12-10,2018-04-06,Completed,100.0,34.0,District Collectorate
SIH26017-PRJ-000012,7,Compensation Disbursement,2018-04-07,2018-08-23,2018-04-07,2019-02-07,Completed,100.0,168.0,LA Branch
SIH26017-PRJ-000012,8,Possession,2019-02-11,2019-05-01,2019-02-11,2019-07-11,Completed,100.0,71.0,LA Branch
SIH26017-PRJ-000012,9,Mutation & Handover,2019-07-17,2019-09-16,2019-07-17,2019-09-27,Completed,100.0,11.0,District Collectorate
SIH26017-PRJ-000013,1,Preliminary Notification (Sec 11),2022-08-10,2022-10-10,2022-08-10,2022-10-27,Completed,100.0,17.0,District Collectorate
SIH26017-PRJ-000013,2,Social Impact Assessment (SIA),2022-10-29,2023-03-07,2022-10-29,2023-06-19,Completed,100.0,104.0,LA Branch
SIH26017-PRJ-000013,3,Survey & Measurement,2023-06-26,2023-09-25,2023-06-26,2023-12-21,Completed,100.0,87.0,District Collectorate
SIH26017-PRJ-000013,4,Draft Declaration,2023-12-24,2024-02-23,2023-12-24,2024-07-12,Completed,100.0,140.0,Implementing Agency
SIH26017-PRJ-000013,5,Final Declaration (Sec 19),2024-07-17,2024-10-05,2024-07-17,2024-10-17,Completed,100.0,12.0,Revenue Dept
SIH26017-PRJ-000013,6,Award Declaration (Sec 23),2024-10-18,2025-02-03,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000013,7,Compensation Disbursement,2024-10-18,2025-04-02,,,Stalled,0.0,,LA Branch
SIH26017-PRJ-000013,8,Possession,2024-10-18,2024-12-30,,,Stalled,0.0,,Implementing Agency
SIH26017-PRJ-000013,9,Mutation & Handover,2024-10-18,2024-12-18,,,Stalled,0.0,,District Collectorate
SIH26017-PRJ-000014,1,Preliminary Notification (Sec 11),2021-03-07,2021-04-29,2021-03-07,2021-05-09,Completed,100.0,10.0,Implementing Agency
SIH26017-PRJ-000014,2,Social Impact Assessment (SIA),2021-05-12,2021-08-27,2021-05-12,2021-12-31,Completed,100.0,126.0,District Collectorate
SIH26017-PRJ-000014,3,Survey & Measurement,2022-01-01,2022-03-20,2022-01-01,2022-07-05,Completed,100.0,107.0,Revenue Dept
SIH26017-PRJ-000014,4,Draft Declaration,2022-07-07,2022-09-05,2022-07-07,2023-01-14,Completed,100.0,131.0,District Collectorate
SIH26017-PRJ-000014,5,Final Declaration (Sec 19),2023-01-15,2023-04-02,2023-01-15,2023-05-12,Completed,100.0,40.0,LA Branch
SIH26017-PRJ-000014,6,Award Declaration (Sec 23),2023-05-16,2023-08-17,2023-05-16,2023-11-05,Completed,100.0,80.0,LA Branch
SIH26017-PRJ-000014,7,Compensation Disbursement,2023-11-10,2024-04-20,2023-11-10,2024-01-30,Completed,100.0,-81.0,Revenue Dept
SIH26017-PRJ-000014,8,Possession,2024-02-02,2024-04-14,2024-02-02,2024-05-05,Completed,100.0,21.0,District Collectorate
SIH26017-PRJ-000014,9,Mutation & Handover,2024-05-11,2024-06-30,2024-05-11,2024-07-06,Completed,100.0,6.0,LA Branch
SIH26017-PRJ-000015,1,Preliminary Notification (Sec 11),2020-10-29,2021-01-03,2020-10-29,2021-05-06,Completed,100.0,123.0,LA Branch
SIH26017-PRJ-000015,2,Social Impact Assessment (SIA),2021-05-10,2021-08-25,2021-05-10,2022-04-04,Completed,100.0,222.0,Revenue Dept
SIH26017-PRJ-000015,3,Survey & Measurement,2022-04-12,2022-06-28,2022-04-12,2023-09-07,Completed,100.0,436.0,District Collectorate
SIH26017-PRJ-000015,4,Draft Declaration,2023-09-12,2023-11-19,2023-09-12,2024-09-02,Completed,100.0,288.0,LA Branch
SIH26017-PRJ-000015,5,Final Declaration (Sec 19),2024-09-08,2024-11-28,2024-09-08,2025-04-18,Completed,100.0,141.0,Revenue Dept
SIH26017-PRJ-000015,6,Award Declaration (Sec 23),2025-04-23,2025-08-11,2025-04-23,2026-04-01,Completed,100.0,233.0,LA Branch
SIH26017-PRJ-000015,7,Compensation Disbursement,2026-04-04,2026-09-10,2026-04-04,,In Progress,83.6,,Implementing Agency
SIH26017-PRJ-000015,8,Possession,2027-02-26,2027-05-16,,,Not Started,0.0,,District Collectorate
SIH26017-PRJ-000015,9,Mutation & Handover,2027-07-07,2027-09-07,,,Not Started,0.0,,LA Branch
SIH26017-PRJ-000016,1,Preliminary Notification (Sec 11),2024-09-08,2024-11-06,2024-09-08,2024-11-14,Completed,100.0,8.0,Implementing Agency
SIH26017-PRJ-000016,2,Social Impact Assessment (SIA),2024-11-19,2025-03-23,2024-11-19,2025-06-19,Completed,100.0,88.0,Revenue Dept
SIH26017-PRJ-000016,3,Survey & Measurement,2025-06-26,2025-09-07,2025-06-26,2026-01-20,Completed,100.0,135.0,Revenue Dept
SIH26017-PRJ-000016,4,Draft Declaration,2026-01-27,2026-03-21,2026-01-27,,In Progress,100.0,,District Collectorate
SIH26017-PRJ-000016,5,Final Declaration (Sec 19),2026-09-21,2026-12-11,,,Not Started,0.0,,Implementing Agency
SIH26017-PRJ-000016,6,Award Declaration (Sec 23),2027-06-11,2027-09-17,,,Not Started,0.0,,District Collectorate
SIH26017-PRJ-000016,7,Compensation Disbursement,2028-04-03,2028-09-16,,,Not Started,0.0,,District Collectorate
SIH26017-PRJ-000016,8,Possession,2028-10-12,2028-12-26,,,Not Started,0.0,,District Collectorate
SIH26017-PRJ-000016,9,Mutation & Handover,2029-02-14,2029-04-20,,,Not Started,0.0,,District Collectorate
SIH26017-PRJ-000017,1,Preliminary Notification (Sec 11),2022-10-03,2022-11-26,2022-10-03,2022-12-05,Completed,100.0,9.0,LA Branch
SIH26017-PRJ-000017,2,Social Impact Assessment (SIA),2022-12-08,2023-03-25,2022-12-08,2023-07-19,Completed,100.0,116.0,District Collectorate
SIH26017-PRJ-000017,3,Survey & Measurement,2023-07-27,2023-10-03,2023-07-27,2024-04-03,Completed,100.0,183.0,LA Branch
SIH26017-PRJ-000017,4,Draft Declaration,2024-04-07,2024-05-28,2024-04-07,2024-12-23,Completed,100.0,209.0,District Collectorate
SIH26017-PRJ-000017,5,Final Declaration (Sec 19),2024-12-27,2025-03-02,2024-12-27,2025-08-15,Completed,100.0,166.0,LA Branch
SIH26017-PRJ-000017,6,Award Declaration (Sec 23),2025-08-18,2025-11-19,2025-08-18,,In Progress,100.0,,LA Branch
SIH26017-PRJ-000017,7,Compensation Disbursement,2027-04-18,2027-08-30,,,Not Started,0.0,,LA Branch
SIH26017-PRJ-000017,8,Possession,2030-03-01,2030-05-05,,,Not Started,0.0,,Implementing Agency
SIH26017-PRJ-000017,9,Mutation & Handover,2030-12-28,2031-02-19,,,Not Started,0.0,,LA Branch
SIH26017-PRJ-000018,1,Preliminary Notification (Sec 11),2021-04-02,2021-05-28,2021-04-02,2021-06-12,Completed,100.0,15.0,District Collectorate
SIH26017-PRJ-000018,2,Social Impact Assessment (SIA),2021-06-17,2021-10-09,2021-06-17,2021-11-22,Completed,100.0,44.0,District Collectorate
SIH26017-PRJ-000018,3,Survey & Measurement,2021-11-26,2022-02-09,2021-11-26,2022-03-04,Completed,100.0,23.0,District Collectorate
SIH26017-PRJ-000018,4,Draft Declaration,2022-03-09,2022-05-04,2022-03-09,2022-07-05,Completed,100.0,62.0,District Collectorate
SIH26017-PRJ-000018,5,Final Declaration (Sec 19),2022-07-08,2022-09-25,2022-07-08,2022-12-13,Completed,100.0,79.0,District Collectorate
SIH26017-PRJ-000018,6,Award Declaration (Sec 23),2022-12-17,2023-03-22,2022-12-17,2023-04-14,Completed,100.0,23.0,District Collectorate
SIH26017-PRJ-000018,7,Compensation Disbursement,2023-04-15,2023-09-04,2023-04-15,2023-11-26,Completed,100.0,83.0,District Collectorate
SIH26017-PRJ-000018,8,Possession,2023-12-01,2024-02-06,2023-12-01,2024-04-06,Completed,100.0,60.0,Revenue Dept
SIH26017-PRJ-000018,9,Mutation & Handover,2024-04-11,2024-06-05,2024-04-11,2024-08-10,Completed,100.0,66.0,District Collectorate
SIH26017-PRJ-000019,1,Preliminary Notification (Sec 11),2016-10-14,2016-12-11,2016-10-14,2017-01-23,Completed,100.0,43.0,District Collectorate
SIH26017-PRJ-000019,2,Social Impact Assessment (SIA),2017-01-25,2017-05-06,2017-01-25,2017-12-03,Completed,100.0,211.0,LA Branch
SIH26017-PRJ-000019,3,Survey & Measurement,2017-12-08,2018-02-07,2017-12-08,2018-05-03,Completed,100.0,85.0,District Collectorate
SIH26017-PRJ-000019,4,Draft Declaration,2018-05-10,2018-06-26,2018-05-10,2018-09-13,Completed,100.0,79.0,Revenue Dept
SIH26017-PRJ-000019,5,Final Declaration (Sec 19),2018-09-15,2018-11-21,2018-09-15,2019-01-14,Completed,100.0,54.0,District Collectorate
SIH26017-PRJ-000019,6,Award Declaration (Sec 23),2019-01-18,2019-04-08,2019-01-18,2019-06-16,Completed,100.0,69.0,District Collectorate
SIH26017-PRJ-000019,7,Compensation Disbursement,2019-06-17,2019-10-28,2019-06-17,2020-01-02,Completed,100.0,66.0,District Collectorate
SIH26017-PRJ-000019,8,Possession,2020-01-10,2020-03-21,2020-01-10,2020-03-25,Completed,100.0,4.0,Revenue Dept
SIH26017-PRJ-000019,9,Mutation & Handover,2020-03-28,2020-05-21,2020-03-28,2020-08-12,Completed,100.0,83.0,District Collectorate
SIH26017-PRJ-000020,1,Preliminary Notification (Sec 11),2017-07-10,2017-08-29,2017-07-10,2017-10-24,Completed,100.0,56.0,LA Branch
SIH26017-PRJ-000020,2,Social Impact Assessment (SIA),2017-10-26,2018-02-09,2017-10-26,2018-07-29,Completed,100.0,170.0,Implementing Agency
SIH26017-PRJ-000020,3,Survey & Measurement,2018-08-06,2018-10-10,2018-08-06,2018-11-18,Completed,100.0,39.0,LA Branch
SIH26017-PRJ-000020,4,Draft Declaration,2018-11-23,2019-01-16,2018-11-23,2019-01-23,Completed,100.0,7.0,LA Branch
SIH26017-PRJ-000020,5,Final Declaration (Sec 19),2019-01-29,2019-04-01,2019-01-29,2019-11-03,Completed,100.0,216.0,Implementing Agency
SIH26017-PRJ-000020,6,Award Declaration (Sec 23),2019-11-08,2020-02-06,2019-11-08,2020-03-17,Completed,100.0,40.0,Revenue Dept
SIH26017-PRJ-000020,7,Compensation Disbursement,2020-03-20,2020-07-24,2020-03-20,2021-07-26,Completed,100.0,367.0,District Collectorate
SIH26017-PRJ-000020,8,Possession,2021-07-31,2021-10-10,2021-07-31,2022-03-20,Completed,100.0,161.0,LA Branch
SIH26017-PRJ-000020,9,Mutation & Handover,2022-03-26,2022-05-17,2022-03-26,2022-08-10,Completed,100.0,85.0,Implementing Agency
SIH26017-PRJ-000021,1,Preliminary Notification (Sec 11),2018-01-31,2018-03-24,2018-01-31,2018-09-26,Completed,100.0,186.0,District Collectorate
SIH26017-PRJ-000021,2,Social Impact Assessment (SIA),2018-10-01,2019-01-09,2018-10-01,2019-07-11,Completed,100.0,183.0,Revenue Dept
SIH26017-PRJ-000021,3,Survey & Measurement,2019-07-17,2019-09-24,2019-07-17,2020-01-24,Completed,100.0,122.0,LA Branch
SIH26017-PRJ-000021,4,Draft Declaration,2020-01-29,2020-03-19,2020-01-29,2020-06-28,Completed,100.0,101.0,Revenue Dept
SIH26017-PRJ-000021,5,Final Declaration (Sec 19),2020-07-03,2020-09-14,2020-07-03,2021-04-16,Completed,100.0,214.0,Revenue Dept
SIH26017-PRJ-000021,6,Award Declaration (Sec 23),2021-04-19,2021-07-13,2021-04-19,2023-01-26,Completed,100.0,562.0,Revenue Dept
SIH26017-PRJ-000021,7,Compensation Disbursement,2023-01-31,2023-06-28,2023-01-31,2026-05-03,Completed,100.0,1040.0,LA Branch
SIH26017-PRJ-000021,8,Possession,2026-05-04,2026-07-10,2026-05-04,,In Progress,100.0,,Implementing Agency
SIH26017-PRJ-000021,9,Mutation & Handover,2026-11-17,2027-01-08,,,Not Started,0.0,,Revenue Dept
SIH26017-PRJ-000022,1,Preliminary Notification (Sec 11),2015-01-18,2015-03-29,2015-01-18,2015-03-14,Completed,100.0,-15.0,Implementing Agency
SIH26017-PRJ-000022,2,Social Impact Assessment (SIA),2015-03-16,2015-07-29,2015-03-16,2016-01-05,Completed,100.0,160.0,District Collectorate
SIH26017-PRJ-000022,3,Survey & Measurement,2016-01-11,2016-04-13,2016-01-11,2016-05-18,Completed,100.0,35.0,LA Branch
SIH26017-PRJ-000022,4,Draft Declaration,2016-05-21,2016-07-29,2016-05-21,2016-11-28,Completed,100.0,122.0,LA Branch
SIH26017-PRJ-000022,5,Final Declaration (Sec 19),2016-12-04,2017-03-04,2016-12-04,2017-06-05,Completed,100.0,93.0,LA Branch
SIH26017-PRJ-000022,6,Award Declaration (Sec 23),2017-06-13,2017-09-27,2017-06-13,2018-11-18,Completed,100.0,417.0,Revenue Dept
SIH26017-PRJ-000022,7,Compensation Disbursement,2018-11-22,2019-06-03,2018-11-22,2022-01-29,Completed,100.0,971.0,Revenue Dept
SIH26017-PRJ-000022,8,Possession,2022-02-03,2022-05-08,2022-02-03,2023-11-14,Completed,100.0,555.0,District Collectorate
SIH26017-PRJ-000022,9,Mutation & Handover,2023-11-15,2024-01-23,2023-11-15,2025-04-20,Completed,100.0,453.0,Revenue Dept
SIH26017-PRJ-000023,1,Preliminary Notification (Sec 11),2024-01-20,2024-03-22,2024-01-20,2024-04-09,Completed,100.0,18.0,District Collectorate
