project_id,approval_type,required_flag,applied_date,approved_date,status,approving_authority,days_taken,is_critical_path_approval
SIH26017-PRJ-000006,District Collector Approval,True,2019-11-21,2019-12-15,Approved,District Collector,24.0,False
SIH26017-PRJ-000006,Environmental Clearance,True,2020-04-12,2020-11-19,Approved,State Environment Dept / MoEFCC,221.0,True
SIH26017-PRJ-000007,SIA Approval,True,2024-07-02,2024-10-27,Approved,District Collector,117.0,True
SIH26017-PRJ-000007,State Govt Approval,True,2024-06-26,2024-08-30,Approved,State Government,65.0,True
SIH26017-PRJ-000007,District Collector Approval,True,2024-06-15,2024-07-05,Approved,District Collector,20.0,False
SIH26017-PRJ-000007,Environmental Clearance,True,2024-11-02,2026-03-05,Approved,State Environment Dept / MoEFCC,488.0,True
SIH26017-PRJ-000007,Ministry Approval,True,2024-09-23,2025-01-25,Approved,Concerned Central Ministry,124.0,False
SIH26017-PRJ-000008,SIA Approval,True,2020-01-15,2020-05-01,Approved,District Collector,107.0,True
SIH26017-PRJ-000008,State Govt Approval,True,2020-01-28,2020-02-27,Approved,State Government,30.0,True
SIH26017-PRJ-000008,District Collector Approval,True,2020-01-30,2020-02-22,Approved,District Collector,23.0,False
SIH26017-PRJ-000009,SIA Approval,True,2024-04-11,2024-05-29,Approved,District Collector,48.0,True
SIH26017-PRJ-000009,State Govt Approval,True,2024-04-05,2024-06-13,Approved,State Government,69.0,True
SIH26017-PRJ-000009,District Collector Approval,True,2024-04-08,2024-05-19,Approved,District Collector,41.0,False
SIH26017-PRJ-000009,Environmental Clearance,True,2024-08-23,2025-02-13,Approved,State Environment Dept / MoEFCC,174.0,True
SIH26017-PRJ-000010,SIA Approval,True,2016-08-18,2016-11-05,Approved,District Collector,79.0,True
SIH26017-PRJ-000010,State Govt Approval,True,2016-09-14,2016-12-10,Approved,State Government,87.0,True
SIH26017-PRJ-000010,District Collector Approval,True,2016-09-01,2016-10-23,Approved,District Collector,52.0,False
SIH26017-PRJ-000010,Forest Clearance,True,2016-12-07,2017-10-30,Approved,State Forest Dept,327.0,True
SIH26017-PRJ-000010,Wildlife Clearance,True,2016-12-06,2017-12-20,Approved,State Forest Dept,379.0,False
SIH26017-PRJ-000010,Environmental Clearance,True,2017-01-06,2017-11-08,Approved,State Environment Dept / MoEFCC,306.0,True
SIH26017-PRJ-000010,Ministry Approval,True,2017-02-01,2017-07-08,Approved,Concerned Central Ministry,157.0,False
SIH26017-PRJ-000011,SIA Approval,True,2018-08-21,2018-12-19,Approved,District Collector,120.0,True
SIH26017-PRJ-000011,State Govt Approval,True,2018-10-11,2019-01-31,Approved,State Government,112.0,True
SIH26017-PRJ-000011,District Collector Approval,True,2018-08-18,2018-10-08,Approved,District Collector,51.0,False
SIH26017-PRJ-000011,Environmental Clearance,True,2018-11-06,2019-09-18,Approved,State Environment Dept / MoEFCC,316.0,True
SIH26017-PRJ-000012,SIA Approval,True,2016-10-20,2017-01-25,Approved,District Collector,97.0,True
SIH26017-PRJ-000012,State Govt Approval,True,2016-12-05,2017-01-27,Approved,State Government,53.0,True
SIH26017-PRJ-000012,District Collector Approval,True,2016-09-28,2016-12-11,Approved,District Collector,74.0,False
SIH26017-PRJ-000012,Forest Clearance,True,2017-01-27,2017-09-09,Approved,State Forest Dept,225.0,True
SIH26017-PRJ-000012,Wildlife Clearance,True,2017-04-06,2017-08-16,Approved,State Forest Dept,132.0,False
SIH26017-PRJ-000012,Environmental Clearance,True,2016-11-29,2017-03-15,Approved,State Environment Dept / MoEFCC,106.0,True
SIH26017-PRJ-000013,SIA Approval,True,2022-09-01,2022-11-10,Approved,District Collector,70.0,True
SIH26017-PRJ-000013,State Govt Approval,True,2022-10-07,2023-01-02,Approved,State Government,87.0,True
SIH26017-PRJ-000013,District Collector Approval,True,2022-09-19,2022-10-10,Approved,District Collector,21.0,False
SIH26017-PRJ-000013,Environmental Clearance,True,2023-01-22,2023-05-11,Approved,State Environment Dept / MoEFCC,109.0,True
SIH26017-PRJ-000014,SIA Approval,True,2021-05-02,2021-08-15,Approved,District Collector,105.0,True
SIH26017-PRJ-000014,State Govt Approval,True,2021-04-10,2021-06-07,Approved,State Government,58.0,True
SIH26017-PRJ-000014,District Collector Approval,True,2021-04-16,2021-06-07,Approved,District Collector,52.0,False
SIH26017-PRJ-000014,Environmental Clearance,True,2021-05-17,2022-10-10,Approved,State Environment Dept / MoEFCC,511.0,True
SIH26017-PRJ-000014,Ministry Approval,True,2021-09-17,2022-03-05,Approved,Concerned Central Ministry,169.0,False
SIH26017-PRJ-000015,SIA Approval,True,2020-12-05,2021-03-29,Approved,District Collector,114.0,True
SIH26017-PRJ-000015,State Govt Approval,True,2020-12-27,2021-02-15,Approved,State Government,50.0,True
SIH26017-PRJ-000015,District Collector Approval,True,2020-11-16,2021-01-04,Approved,District Collector,49.0,False
SIH26017-PRJ-000015,Forest Clearance,True,2021-04-26,2022-09-17,Approved,State Forest Dept,509.0,True
SIH26017-PRJ-000015,Environmental Clearance,True,2021-02-04,2021-11-15,Approved,State Environment Dept / MoEFCC,284.0,True
SIH26017-PRJ-000016,SIA Approval,True,2024-10-07,2024-12-09,Approved,District Collector,63.0,True
SIH26017-PRJ-000016,State Govt Approval,True,2024-10-07,2024-12-21,Approved,State Government,75.0,True
SIH26017-PRJ-000016,District Collector Approval,True,2024-10-13,2024-11-30,Approved,District Collector,48.0,False
SIH26017-PRJ-000016,Forest Clearance,True,2025-01-09,2025-06-20,Approved,State Forest Dept,162.0,True
SIH26017-PRJ-000016,Environmental Clearance,True,2025-02-05,2025-08-26,Approved,State Environment Dept / MoEFCC,202.0,True
SIH26017-PRJ-000017,SIA Approval,True,2022-11-28,2023-02-09,Approved,District Collector,73.0,True
SIH26017-PRJ-000017,State Govt Approval,True,2022-11-12,2023-02-12,Approved,State Government,92.0,True
SIH26017-PRJ-000017,District Collector Approval,True,2022-11-03,2022-11-29,Approved,District Collector,26.0,False
SIH26017-PRJ-000017,Environmental Clearance,True,2023-02-23,2023-09-07,Approved,State Environment Dept / MoEFCC,196.0,True
SIH26017-PRJ-000018,SIA Approval,True,2021-05-07,2021-10-04,Approved,District Collector,150.0,True
SIH26017-PRJ-000018,State Govt Approval,True,2021-06-24,2021-09-09,Approved,State Government,77.0,True
SIH26017-PRJ-000018,District Collector Approval,True,2021-05-14,2021-06-15,Approved,District Collector,32.0,False
SIH26017-PRJ-000018,Environmental Clearance,True,2021-06-25,2022-01-22,Approved,State Environment Dept / MoEFCC,211.0,True
SIH26017-PRJ-000019,SIA Approval,True,2016-11-15,2017-03-15,Approved,District Collector,120.0,True
SIH26017-PRJ-000019,State Govt Approval,True,2016-11-04,2017-03-11,Approved,State Government,127.0,True
SIH26017-PRJ-000019,District Collector Approval,True,2016-11-07,2016-12-07,Approved,District Collector,30.0,False
SIH26017-PRJ-000019,Forest Clearance,True,2017-02-15,,Rejected,State Forest Dept,,True
SIH26017-PRJ-000020,SIA Approval,True,2017-07-26,2017-10-02,Approved,District Collector,68.0,True
SIH26017-PRJ-000020,State Govt Approval,True,2017-08-26,2017-11-02,Approved,State Government,68.0,True
SIH26017-PRJ-000020,District Collector Approval,True,2017-07-31,2017-09-08,Approved,District Collector,39.0,False
SIH26017-PRJ-000020,Environmental Clearance,True,2017-10-02,2018-06-07,Approved,State Environment Dept / MoEFCC,248.0,True
SIH26017-PRJ-000021,SIA Approval,True,2018-02-26,2018-05-31,Approved,District Collector,94.0,True
SIH26017-PRJ-000021,State Govt Approval,True,2018-03-10,2018-05-20,Approved,State Government,71.0,True
SIH26017-PRJ-000021,District Collector Approval,True,2018-02-22,2018-03-23,Approved,District Collector,29.0,False
SIH26017-PRJ-000021,Environmental Clearance,True,2018-05-16,2019-03-18,Approved,State Environment Dept / MoEFCC,306.0,True
SIH26017-PRJ-000022,SIA Approval,True,2015-02-23,2015-05-31,Approved,District Collector,97.0,True
SIH26017-PRJ-000022,State Govt Approval,True,2015-03-27,2015-06-04,Approved,State Government,69.0,True
SIH26017-PRJ-000022,District Collector Approval,True,2015-02-10,2015-03-17,Approved,District Collector,35.0,False
SIH26017-PRJ-000022,Environmental Clearance,True,2015-04-27,2016-05-28,Approved,State Environment Dept / MoEFCC,397.0,True
SIH26017-PRJ-000022,Ministry Approval,True,2015-05-28,2016-01-11,Approved,Concerned Central Ministry,228.0,False
SIH26017-PRJ-000023,SIA Approval,True,2024-02-13,2024-08-17,Approved,District Collector,186.0,True
SIH26017-PRJ-000023,State Govt Approval,True,2024-03-15,2024-07-28,Approved,State Government,135.0,True
SIH26017-PRJ-000023,District Collector Approval,True,2024-02-11,2024-03-07,Approved,District Collector,25.0,False
SIH26017-PRJ-000023,Forest Clearance,True,2024-06-21,2025-01-11,Approved,State Forest Dept,204.0,True
SIH26017-PRJ-000023,Environmental Clearance,True,2024-06-01,2024-11-25,Approved,State Environment Dept / MoEFCC,177.0,True
SIH26017-PRJ-000024,SIA Approval,True,2017-07-03,2017-10-19,Approved,District Collector,108.0,True
SIH26017-PRJ-000024,State Govt Approval,True,2017-08-29,2017-10-30,Approved,State Government,62.0,True
SIH26017-PRJ-000024,District Collector Approval,True,2017-07-15,2017-08-16,Approved,District Collector,32.0,False
SIH26017-PRJ-000024,Environmental Clearance,True,2017-08-31,2018-10-25,Approved,State Environment Dept / MoEFCC,420.0,True
SIH26017-PRJ-000025,SIA Approval,True,2022-05-15,2022-09-22,Approved,District Collector,130.0,True
SIH26017-PRJ-000025,State Govt Approval,True,2022-04-30,2022-07-16,Approved,State Government,77.0,True
SIH26017-PRJ-000025,District Collector Approval,True,2022-04-07,2022-06-04,Approved,District Collector,58.0,False
SIH26017-PRJ-000025,Environmental Clearance,True,2022-09-03,2023-03-01,Approved,State Environment Dept / MoEFCC,179.0,True
SIH26017-PRJ-000025,Ministry Approval,True,2022-09-21,2023-07-18,Approved,Concerned Central Ministry,300.0,False
SIH26017-PRJ-000026,SIA Approval,True,2018-07-29,2018-12-01,Approved,District Collector,125.0,True
SIH26017-PRJ-000026,State Govt Approval,True,2018-08-27,2018-10-05,Approved,State Government,39.0,True
SIH26017-PRJ-000026,District Collector Approval,True,2018-07-07,2018-08-24,Approved,District Collector,48.0,False
SIH26017-PRJ-000027,SIA Approval,True,2018-02-27,2018-06-08,Approved,District Collector,101.0,True
SIH26017-PRJ-000027,State Govt Approval,True,2018-02-03,2018-04-07,Approved,State Government,63.0,True
SIH26017-PRJ-000027,District Collector Approval,True,2018-01-26,,Rejected,District Collector,,False
SIH26017-PRJ-000027,Environmental Clearance,True,2018-04-04,2018-10-23,Approved,State Environment Dept / MoEFCC,202.0,True
SIH26017-PRJ-000027,Ministry Approval,True,2018-07-20,2018-11-15,Approved,Concerned Central Ministry,118.0,False
SIH26017-PRJ-000028,SIA Approval,True,2015-11-22,2016-03-03,Approved,District Collector,102.0,True
SIH26017-PRJ-000028,State Govt Approval,True,2016-01-01,2016-05-31,Approved,State Government,151.0,True
SIH26017-PRJ-000028,District Collector Approval,True,2015-11-04,2015-11-25,Approved,District Collector,21.0,False
SIH26017-PRJ-000028,Environmental Clearance,True,2016-02-02,2016-08-24,Approved,State Environment Dept / MoEFCC,204.0,True
SIH26017-PRJ-000029,SIA Approval,True,2022-11-13,2023-02-24,Approved,District Collector,103.0,True
SIH26017-PRJ-000029,State Govt Approval,True,2022-11-16,2023-01-19,Approved,State Government,64.0,True
SIH26017-PRJ-000029,District Collector Approval,True,2022-11-15,2022-12-05,Approved,District Collector,20.0,False
SIH26017-PRJ-000029,Environmental Clearance,True,2023-01-02,2023-12-05,Approved,State Environment Dept / MoEFCC,337.0,True
SIH26017-PRJ-000030,SIA Approval,True,2022-12-12,2023-03-23,Approved,District Collector,101.0,True
SIH26017-PRJ-000030,State Govt Approval,True,2022-12-07,2023-03-27,Approved,State Government,110.0,True
SIH26017-PRJ-000030,District Collector Approval,True,2022-12-28,2023-01-24,Approved,District Collector,27.0,False
SIH26017-PRJ-000030,Environmental Clearance,True,2023-03-29,2024-01-17,Approved,State Environment Dept / MoEFCC,294.0,True
SIH26017-PRJ-000031,SIA Approval,True,2019-01-01,2019-04-27,Approved,District Collector,116.0,True
SIH26017-PRJ-000031,State Govt Approval,True,2019-01-14,2019-04-10,Approved,State Government,86.0,True
SIH26017-PRJ-000031,District Collector Approval,True,2018-12-26,2019-01-27,Approved,District Collector,32.0,False
SIH26017-PRJ-000031,Forest Clearance,True,2019-03-19,2019-08-12,Approved,State Forest Dept,146.0,True
SIH26017-PRJ-000031,Wildlife Clearance,True,2019-03-04,2020-01-17,Approved,State Forest Dept,319.0,False
SIH26017-PRJ-000031,Environmental Clearance,True,2019-02-22,2019-08-10,Approved,State Environment Dept / MoEFCC,169.0,True
SIH26017-PRJ-000032,SIA Approval,True,2015-06-21,2015-10-09,Approved,District Collector,110.0,True
SIH26017-PRJ-000032,State Govt Approval,True,2015-07-05,2015-09-17,Approved,State Government,74.0,True
SIH26017-PRJ-000032,District Collector Approval,True,2015-06-15,2015-07-30,Approved,District Collector,45.0,False
SIH26017-PRJ-000033,SIA Approval,True,2022-07-29,2022-10-22,Approved,District Collector,85.0,True
SIH26017-PRJ-000033,State Govt Approval,True,2022-08-28,2022-12-12,Approved,State Government,106.0,True
SIH26017-PRJ-000033,District Collector Approval,True,2022-08-01,2022-08-23,Approved,District Collector,22.0,False
SIH26017-PRJ-000033,Forest Clearance,True,2022-10-04,2023-09-07,Approved,State Forest Dept,338.0,True
SIH26017-PRJ-000033,Environmental Clearance,True,2022-09-29,2023-05-10,Approved,State Environment Dept / MoEFCC,223.0,True
SIH26017-PRJ-000033,Ministry Approval,True,2022-11-02,2023-05-05,Approved,Concerned Central Ministry,184.0,False
SIH26017-PRJ-000034,SIA Approval,True,2021-10-07,2022-01-06,Approved,District Collector,91.0,True
SIH26017-PRJ-000034,State Govt Approval,True,2021-10-16,2021-12-31,Approved,State Government,76.0,True
SIH26017-PRJ-000034,District Collector Approval,True,2021-10-14,2021-11-27,Approved,District Collector,44.0,False
SIH26017-PRJ-000034,Environmental Clearance,True,2021-12-10,2023-04-29,Approved,State Environment Dept / MoEFCC,505.0,True
SIH26017-PRJ-000035,SIA Approval,True,2018-02-28,2018-06-15,Approved,District Collector,107.0,True
SIH26017-PRJ-000035,State Govt Approval,True,2018-02-03,2018-03-14,Approved,State Government,39.0,True
SIH26017-PRJ-000035,District Collector Approval,True,2018-02-11,2018-03-28,Approved,District Collector,45.0,False
SIH26017-PRJ-000035,Environmental Clearance,True,2018-04-17,2018-12-28,Approved,State Environment Dept / MoEFCC,255.0,True
SIH26017-PRJ-000036,SIA Approval,True,2017-03-09,2017-08-24,Approved,District Collector,168.0,True
SIH26017-PRJ-000036,State Govt Approval,True,2017-02-27,2017-05-28,Approved,State Government,90.0,True
SIH26017-PRJ-000036,District Collector Approval,True,2017-01-26,2017-02-28,Approved,District Collector,33.0,False
SIH26017-PRJ-000036,Forest Clearance,True,2017-05-02,2017-10-14,Approved,State Forest Dept,165.0,True
SIH26017-PRJ-000036,Wildlife Clearance,True,2017-07-03,2018-02-01,Approved,State Forest Dept,213.0,False
SIH26017-PRJ-000036,Environmental Clearance,True,2017-04-07,2017-11-06,Approved,State Environment Dept / MoEFCC,213.0,True
SIH26017-PRJ-000037,SIA Approval,True,2023-02-05,2023-05-04,Approved,District Collector,88.0,True
SIH26017-PRJ-000037,State Govt Approval,True,2023-03-16,2023-05-18,Approved,State Government,63.0,True
SIH26017-PRJ-000037,District Collector Approval,True,2023-01-12,2023-02-10,Approved,District Collector,29.0,False
SIH26017-PRJ-000037,Environmental Clearance,True,2023-05-13,2024-01-27,Approved,State Environment Dept / MoEFCC,259.0,True
SIH26017-PRJ-000037,Ministry Approval,True,2023-05-11,2023-11-20,Approved,Concerned Central Ministry,193.0,False
SIH26017-PRJ-000038,SIA Approval,True,2021-12-09,2022-03-20,Approved,District Collector,101.0,True
SIH26017-PRJ-000038,State Govt Approval,True,2022-02-10,2022-04-18,Approved,State Government,67.0,True
SIH26017-PRJ-000038,District Collector Approval,True,2021-12-28,2022-02-26,Approved,District Collector,60.0,False
SIH26017-PRJ-000038,Environmental Clearance,True,2022-03-22,2023-08-15,Approved,State Environment Dept / MoEFCC,511.0,True
SIH26017-PRJ-000038,Ministry Approval,True,2022-05-24,2022-10-29,Approved,Concerned Central Ministry,158.0,False
SIH26017-PRJ-000039,SIA Approval,True,2024-10-28,2025-02-14,Approved,District Collector,109.0,True
SIH26017-PRJ-000039,State Govt Approval,True,2024-10-19,2024-12-05,Approved,State Government,47.0,True
SIH26017-PRJ-000039,District Collector Approval,True,2024-10-26,2024-11-22,Approved,District Collector,27.0,False
SIH26017-PRJ-000039,Forest Clearance,True,2025-03-04,2025-12-29,Approved,State Forest Dept,300.0,True
SIH26017-PRJ-000039,Environmental Clearance,True,2024-12-11,2026-01-22,Approved,State Environment Dept / MoEFCC,407.0,True
SIH26017-PRJ-000039,Defence NOC,True,2024-11-24,2025-05-08,Approved,Ministry of Defence,165.0,False
SIH26017-PRJ-000040,SIA Approval,True,2018-08-01,2018-10-31,Approved,District Collector,91.0,True
SIH26017-PRJ-000040,State Govt Approval,True,2018-07-31,2018-11-15,Approved,State Government,107.0,True
SIH26017-PRJ-000040,District Collector Approval,True,2018-07-30,2018-08-29,Approved,District Collector,30.0,False
SIH26017-PRJ-000040,Environmental Clearance,True,2018-12-11,2019-04-05,Approved,State Environment Dept / MoEFCC,115.0,True
SIH26017-PRJ-000040,Ministry Approval,True,2018-12-13,2019-05-30,Approved,Concerned Central Ministry,168.0,False
SIH26017-PRJ-000041,SIA Approval,True,2019-07-16,2019-09-21,Approved,District Collector,67.0,True
SIH26017-PRJ-000041,State Govt Approval,True,2019-08-15,2019-10-09,Approved,State Government,55.0,True
SIH26017-PRJ-000041,District Collector Approval,True,2019-07-30,2019-08-28,Approved,District Collector,29.0,False
SIH26017-PRJ-000041,Environmental Clearance,True,2019-11-10,2020-07-31,Approved,State Environment Dept / MoEFCC,264.0,True
SIH26017-PRJ-000042,SIA Approval,True,2018-05-31,2018-08-13,Approved,District Collector,74.0,True
SIH26017-PRJ-000042,State Govt Approval,True,2018-06-28,2018-10-04,Approved,State Government,98.0,True
SIH26017-PRJ-000042,District Collector Approval,True,2018-06-03,2018-07-05,Approved,District Collector,32.0,False
SIH26017-PRJ-000043,SIA Approval,True,2019-06-20,2019-07-24,Approved,District Collector,34.0,True
SIH26017-PRJ-000043,State Govt Approval,True,2019-08-26,2019-10-27,Approved,State Government,62.0,True
SIH26017-PRJ-000043,District Collector Approval,True,2019-06-30,2019-07-31,Approved,District Collector,31.0,False
SIH26017-PRJ-000043,Environmental Clearance,True,2019-08-21,2020-03-27,Approved,State Environment Dept / MoEFCC,219.0,True
SIH26017-PRJ-000043,Ministry Approval,True,2019-11-27,2020-12-15,Approved,Concerned Central Ministry,384.0,False
SIH26017-PRJ-000044,SIA Approval,True,2018-12-24,2019-02-16,Approved,District Collector,54.0,True
SIH26017-PRJ-000044,State Govt Approval,True,2019-01-08,2019-04-04,Approved,State Government,86.0,True
SIH26017-PRJ-000044,District Collector Approval,True,2018-12-09,2018-12-23,Approved,District Collector,14.0,False
SIH26017-PRJ-000044,Environmental Clearance,True,2019-01-29,2019-05-18,Approved,State Environment Dept / MoEFCC,109.0,True
SIH26017-PRJ-000045,SIA Approval,True,2017-02-20,2017-06-26,Approved,District Collector,126.0,True
SIH26017-PRJ-000045,State Govt Approval,True,2017-02-20,2017-06-28,Approved,State Government,128.0,True
SIH26017-PRJ-000045,District Collector Approval,True,2017-01-12,2017-02-09,Approved,District Collector,28.0,False
SIH26017-PRJ-000045,Environmental Clearance,True,2017-05-04,2018-03-12,Approved,State Environment Dept / MoEFCC,312.0,True
SIH26017-PRJ-000045,Ministry Approval,True,2017-04-10,2017-09-02,Approved,Concerned Central Ministry,145.0,False
SIH26017-PRJ-000046,SIA Approval,True,2023-06-26,2023-08-18,Approved,District Collector,53.0,True
SIH26017-PRJ-000046,State Govt Approval,True,2023-07-07,2023-08-16,Approved,State Government,40.0,True
SIH26017-PRJ-000046,District Collector Approval,True,2023-06-10,2023-07-07,Approved,District Collector,27.0,False
SIH26017-PRJ-000046,Environmental Clearance,True,2023-10-22,2024-02-17,Approved,State Environment Dept / MoEFCC,118.0,True
SIH26017-PRJ-000046,Ministry Approval,True,2023-09-08,2024-01-11,Approved,Concerned Central Ministry,125.0,False
SIH26017-PRJ-000046,Defence NOC,True,2023-09-20,2024-04-10,Approved,Ministry of Defence,203.0,False
SIH26017-PRJ-000047,SIA Approval,True,2018-06-29,2018-10-19,Approved,District Collector,112.0,True
SIH26017-PRJ-000047,State Govt Approval,True,2018-08-09,2018-10-22,Approved,State Government,74.0,True
SIH26017-PRJ-000047,District Collector Approval,True,2018-05-26,2018-07-05,Approved,District Collector,40.0,False
SIH26017-PRJ-000047,Environmental Clearance,True,2018-08-17,2018-12-31,Approved,State Environment Dept / MoEFCC,136.0,True
SIH26017-PRJ-000048,SIA Approval,True,2022-05-13,2022-08-23,Approved,District Collector,102.0,True
SIH26017-PRJ-000048,State Govt Approval,True,2022-05-04,2022-07-18,Approved,State Government,75.0,True
SIH26017-PRJ-000048,District Collector Approval,True,2022-04-14,2022-05-25,Approved,District Collector,41.0,False
SIH26017-PRJ-000048,Environmental Clearance,True,2022-08-02,2023-03-22,Approved,State Environment Dept / MoEFCC,232.0,True
SIH26017-PRJ-000049,SIA Approval,True,2015-01-30,2015-04-18,Approved,District Collector,78.0,True
SIH26017-PRJ-000049,State Govt Approval,True,2015-03-12,2015-05-06,Approved,State Government,55.0,True
SIH26017-PRJ-000049,District Collector Approval,True,2015-02-14,2015-04-02,Approved,District Collector,47.0,False
SIH26017-PRJ-000049,Forest Clearance,True,2015-05-11,2016-02-14,Approved,State Forest Dept,279.0,True
SIH26017-PRJ-000049,Environmental Clearance,True,2015-03-21,2015-08-06,Approved,State Environment Dept / MoEFCC,138.0,True
SIH26017-PRJ-000050,SIA Approval,True,2016-12-26,2017-04-04,Approved,District Collector,99.0,True
SIH26017-PRJ-000050,State Govt Approval,True,2016-12-21,2017-02-16,Approved,State Government,57.0,True
SIH26017-PRJ-000050,District Collector Approval,True,2016-12-11,2017-01-19,Approved,District Collector,39.0,False
SIH26017-PRJ-000050,Forest Clearance,True,2017-05-01,2017-12-02,Approved,State Forest Dept,215.0,True
SIH26017-PRJ-000050,Wildlife Clearance,True,2017-04-04,2017-11-30,Approved,State Forest Dept,240.0,False
SIH26017-PRJ-000050,Environmental Clearance,True,2017-05-09,2018-03-22,Approved,State Environment Dept / MoEFCC,317.0,True
SIH26017-PRJ-000050,Ministry Approval,True,2017-05-14,2018-04-08,Approved,Concerned Central Ministry,329.0,False
SIH26017-PRJ-000051,SIA Approval,True,2022-08-15,2022-11-10,Approved,District Collector,87.0,True
SIH26017-PRJ-000051,State Govt Approval,True,2022-09-07,2022-11-06,Approved,State Government,60.0,True
SIH26017-PRJ-000051,District Collector Approval,True,2022-08-03,2022-09-04,Approved,District Collector,32.0,False
SIH26017-PRJ-000051,Environmental Clearance,True,2022-11-01,2023-05-03,Approved,State Environment Dept / MoEFCC,183.0,True
SIH26017-PRJ-000051,Ministry Approval,True,2022-12-31,2023-07-07,Approved,Concerned Central Ministry,188.0,False
SIH26017-PRJ-000052,SIA Approval,True,2023-01-18,2023-06-29,Approved,District Collector,162.0,True
SIH26017-PRJ-000052,State Govt Approval,True,2023-01-30,2023-03-27,Approved,State Government,56.0,True
SIH26017-PRJ-000052,District Collector Approval,True,2023-02-10,2023-03-17,Approved,District Collector,35.0,False
SIH26017-PRJ-000052,Environmental Clearance,True,2023-04-05,2023-11-18,Approved,State Environment Dept / MoEFCC,227.0,True
SIH26017-PRJ-000053,SIA Approval,True,2018-01-13,2018-03-30,Approved,District Collector,76.0,True
SIH26017-PRJ-000053,State Govt Approval,True,2017-12-21,2018-02-18,Approved,State Government,59.0,True
SIH26017-PRJ-000053,District Collector Approval,True,2017-12-19,2018-01-29,Approved,District Collector,41.0,False
SIH26017-PRJ-000053,Environmental Clearance,True,2018-02-19,,Rejected,State Environment Dept / MoEFCC,,True
SIH26017-PRJ-000053,Ministry Approval,True,2018-03-09,2018-09-17,Approved,Concerned Central Ministry,192.0,False
SIH26017-PRJ-000053,Defence NOC,True,2018-04-13,2018-08-25,Approved,Ministry of Defence,134.0,False
SIH26017-PRJ-000054,SIA Approval,True,2016-06-14,2016-08-21,Approved,District Collector,68.0,True
SIH26017-PRJ-000054,State Govt Approval,True,2016-07-02,2016-11-19,Approved,State Government,140.0,True
SIH26017-PRJ-000054,District Collector Approval,True,2016-06-07,2016-07-20,Approved,District Collector,43.0,False
SIH26017-PRJ-000054,Environmental Clearance,True,2016-07-28,2017-01-13,Approved,State Environment Dept / MoEFCC,169.0,True
SIH26017-PRJ-000055,SIA Approval,True,2022-01-27,2022-04-08,Approved,District Collector,71.0,True
SIH26017-PRJ-000055,State Govt Approval,True,2022-01-17,2022-03-16,Approved,State Government,58.0,True
