project_id,public_hearing_conducted_flag,public_hearing_date,public_hearing_objections_count,gram_sabha_consultations_count,local_body_resolution_status,political_sensitivity_index,media_coverage_intensity,ngo_opposition_flag,grievance_redressal_avg_tat_days
SIH26017-PRJ-000036,True,2017-04-21,32,3,Opposing,High,High,False,47.2
SIH26017-PRJ-000037,True,2023-05-13,14,0,Opposing,Medium,Medium,True,39.5
SIH26017-PRJ-000038,True,2022-05-18,32,0,Neutral,Medium,Medium,False,24.8
SIH26017-PRJ-000039,True,2024-11-29,12,0,Neutral,Medium,High,False,17.5
SIH26017-PRJ-000040,True,2018-10-21,21,0,Neutral,Medium,Medium,False,64.9
SIH26017-PRJ-000041,True,2019-12-04,10,1,Neutral,Medium,Medium,False,32.6
SIH26017-PRJ-000042,True,2018-06-20,11,0,Neutral,Low,Low,False,36.5
SIH26017-PRJ-000043,True,2019-10-16,20,1,Opposing,Low,Medium,False,72.0
SIH26017-PRJ-000044,True,2019-01-12,6,1,Supportive,Medium,Low,False,27.0
SIH26017-PRJ-000045,True,2017-03-18,16,0,Opposing,Medium,Low,False,46.4
SIH26017-PRJ-000046,True,2023-09-24,13,1,Opposing,Medium,Low,False,45.0
SIH26017-PRJ-000047,True,2018-08-13,10,0,Opposing,Low,Low,True,48.9
SIH26017-PRJ-000048,True,2022-09-14,35,1,Opposing,Medium,Low,False,66.5
SIH26017-PRJ-000049,True,2015-03-30,7,0,Supportive,Low,Medium,False,26.9
SIH26017-PRJ-000050,True,2017-04-24,20,0,Neutral,Low,Low,True,43.1
SIH26017-PRJ-000051,True,2022-10-30,7,1,Neutral,Medium,High,False,40.4
SIH26017-PRJ-000052,True,2023-02-26,9,1,Opposing,Low,Medium,False,37.8
SIH26017-PRJ-000053,True,2018-02-15,10,0,Supportive,Low,Low,True,45.4
SIH26017-PRJ-000054,True,2016-10-10,41,1,Supportive,High,Low,False,50.3
SIH26017-PRJ-000055,True,2022-04-05,18,0,Neutral,Low,Low,False,41.9
SIH26017-PRJ-000056,True,2020-01-10,11,2,Opposing,Low,Medium,False,46.7
SIH26017-PRJ-000057,True,2021-01-16,15,1,Opposing,Low,Low,False,53.2
SIH26017-PRJ-000058,True,2023-08-24,13,0,Supportive,Low,Low,False,33.4
SIH26017-PRJ-000059,True,2018-11-10,10,1,Supportive,Low,Low,False,15.8
SIH26017-PRJ-000060,True,2024-06-22,18,2,Opposing,Low,Medium,False,39.6
SIH26017-PRJ-000061,True,2022-12-06,31,0,Opposing,Medium,Low,True,41.7
SIH26017-PRJ-000062,True,2021-01-18,10,0,Supportive,Low,Low,False,43.6
SIH26017-PRJ-000063,True,2021-04-09,21,0,Neutral,Low,Low,False,35.6
SIH26017-PRJ-000064,True,2019-07-20,28,0,Opposing,Medium,Medium,False,23.2
SIH26017-PRJ-000065,True,2021-08-08,17,0,Opposing,Medium,Low,True,33.0
SIH26017-PRJ-000066,True,2023-10-14,7,0,Neutral,Low,Low,False,25.0
SIH26017-PRJ-000067,True,2017-02-27,14,0,Neutral,Medium,Medium,False,50.9
SIH26017-PRJ-000068,True,2018-05-04,47,0,Neutral,Medium,Low,True,53.6
SIH26017-PRJ-000069,True,2017-01-06,18,0,Opposing,Medium,Low,False,41.5
SIH26017-PRJ-000070,True,2023-09-10,7,0,Not Sought,Low,Medium,False,40.5
SIH26017-PRJ-000071,True,2018-07-12,18,0,Opposing,Medium,Medium,False,43.8
SIH26017-PRJ-000072,True,2025-03-29,10,1,Opposing,Low,Medium,False,36.4
SIH26017-PRJ-000073,True,2023-06-19,25,1,Opposing,Medium,Medium,False,47.6
SIH26017-PRJ-000074,True,2016-02-13,13,1,Neutral,Medium,Medium,False,42.4
SIH26017-PRJ-000075,True,2019-08-19,15,0,Neutral,Low,Low,False,20.3
SIH26017-PRJ-000076,True,2020-04-12,12,1,Opposing,Medium,Medium,False,34.3
SIH26017-PRJ-000077,True,2015-10-11,14,0,Neutral,Medium,Medium,False,52.6
SIH26017-PRJ-000078,True,2023-02-15,18,1,Opposing,Medium,Low,True,53.2
SIH26017-PRJ-000079,True,2017-06-07,20,0,Neutral,Low,Medium,False,42.0
SIH26017-PRJ-000080,True,2019-06-07,14,0,Neutral,Low,Low,False,27.0
SIH26017-PRJ-000081,True,2019-11-12,6,1,Opposing,Medium,Low,False,14.8
SIH26017-PRJ-000082,True,2022-11-22,34,1,Opposing,Medium,Medium,False,40.2
SIH26017-PRJ-000083,True,2020-01-25,24,2,Opposing,Low,Medium,False,28.2
SIH26017-PRJ-000084,True,2020-10-05,16,1,Supportive,Low,Low,False,37.4
SIH26017-PRJ-000085,True,2023-11-27,58,0,Neutral,Medium,Medium,False,40.4
SIH26017-PRJ-000086,True,2023-06-04,7,0,Neutral,Medium,Medium,False,47.0
SIH26017-PRJ-000087,True,2018-10-27,16,4,Opposing,Medium,Medium,False,43.8
SIH26017-PRJ-000088,True,2020-02-01,5,1,Neutral,Low,Low,False,5.7
SIH26017-PRJ-000089,True,2015-11-02,47,1,Neutral,Low,Low,False,44.9
SIH26017-PRJ-000090,True,2023-06-09,6,0,Supportive,Low,Low,False,22.4
SIH26017-PRJ-000091,True,2022-09-01,15,1,Opposing,Medium,Low,False,67.6
SIH26017-PRJ-000092,True,2022-10-12,6,0,Supportive,Low,Low,False,1.0
SIH26017-PRJ-000093,True,2022-12-12,19,3,Opposing,Medium,Medium,True,49.5
SIH26017-PRJ-000094,True,2022-08-24,14,1,Opposing,Medium,Low,False,49.0
SIH26017-PRJ-000095,True,2017-10-19,27,0,Opposing,Low,Low,False,48.1
SIH26017-PRJ-000096,True,2017-12-09,8,1,Supportive,Medium,Low,False,27.7
SIH26017-PRJ-000097,True,2024-09-07,19,1,Neutral,High,Medium,False,47.9
SIH26017-PRJ-000098,True,2022-09-29,10,0,Supportive,Low,Low,True,36.6
SIH26017-PRJ-000099,True,2020-01-28,5,0,Supportive,Low,Low,False,25.0
SIH26017-PRJ-000100,True,2022-07-10,21,2,Opposing,Medium,Medium,False,47.7
SIH26017-PRJ-000101,True,2018-02-19,9,0,Neutral,Medium,Low,False,30.3
SIH26017-PRJ-000102,True,2021-11-27,23,0,Opposing,Medium,Low,False,48.1
SIH26017-PRJ-000103,False,,0,0,Supportive,Medium,Low,False,16.1
SIH26017-PRJ-000104,True,2024-01-31,15,2,Neutral,Low,Low,False,32.5
SIH26017-PRJ-000105,True,2022-10-04,11,1,Neutral,Low,Medium,False,40.0
SIH26017-PRJ-000106,True,2016-03-02,12,1,Opposing,Medium,Low,False,45.9
SIH26017-PRJ-000107,True,2020-10-04,11,0,Opposing,Medium,Low,False,24.1
SIH26017-PRJ-000108,True,2024-04-05,40,2,Opposing,Medium,Medium,False,46.9
SIH26017-PRJ-000109,True,2022-10-27,15,3,Neutral,Low,Medium,False,23.9
SIH26017-PRJ-000110,True,2021-04-22,41,0,Opposing,Medium,Low,False,53.3
SIH26017-PRJ-000111,True,2022-11-30,6,2,Supportive,Low,Low,False,33.1
SIH26017-PRJ-000112,True,2016-03-31,4,0,Neutral,Low,Medium,False,22.6
SIH26017-PRJ-000113,True,2022-09-06,26,1,Opposing,High,Medium,True,30.9
SIH26017-PRJ-000114,True,2019-01-10,38,0,Neutral,Low,Low,False,35.6
SIH26017-PRJ-000115,True,2017-01-14,1,0,Neutral,Medium,Medium,False,44.9
SIH26017-PRJ-000116,True,2018-12-05,7,1,Neutral,Low,Low,False,34.2
SIH26017-PRJ-000117,True,2019-10-25,20,1,Neutral,Low,Low,False,43.6
SIH26017-PRJ-000118,True,2018-04-15,21,1,Neutral,Medium,Medium,False,31.4
SIH26017-PRJ-000119,True,2024-06-26,5,1,Supportive,Low,Low,False,12.9
SIH26017-PRJ-000120,True,2020-11-06,31,2,Neutral,Low,Medium,False,61.5
SIH26017-PRJ-000121,True,2016-04-20,23,5,Opposing,High,High,False,43.4
SIH26017-PRJ-000122,True,2024-05-24,29,0,Opposing,Low,Low,False,42.1
SIH26017-PRJ-000123,True,2022-05-28,24,1,Opposing,Medium,Low,False,32.0
SIH26017-PRJ-000124,True,2016-10-06,26,0,Opposing,Medium,Medium,False,34.6
SIH26017-PRJ-000125,True,2017-03-20,11,0,Supportive,Low,Low,False,47.9
SIH26017-PRJ-000126,True,2018-11-08,21,1,Neutral,Low,Low,False,38.7
SIH26017-PRJ-000127,True,2024-10-03,14,0,Opposing,Low,Medium,False,49.8
SIH26017-PRJ-000128,True,2017-01-26,6,2,Neutral,Low,Low,False,34.0
SIH26017-PRJ-000129,True,2020-01-17,8,2,Opposing,Medium,Low,True,43.0
SIH26017-PRJ-000130,True,2019-08-10,5,2,Not Sought,Low,Low,False,34.0
SIH26017-PRJ-000131,True,2024-01-07,7,0,Neutral,Low,Low,False,39.3
SIH26017-PRJ-000132,True,2017-04-23,6,0,Supportive,Low,Low,False,35.3
SIH26017-PRJ-000133,True,2018-04-21,32,0,Opposing,Medium,Medium,False,37.3
SIH26017-PRJ-000134,True,2019-08-28,43,4,Opposing,Medium,Low,False,57.7
SIH26017-PRJ-000135,True,2024-11-04,23,2,Opposing,Low,Low,False,54.6
SIH26017-PRJ-000136,True,2020-02-29,9,1,Supportive,Low,Low,False,7.0
SIH26017-PRJ-000137,True,2023-02-20,12,0,Neutral,Medium,Low,False,30.4
SIH26017-PRJ-000138,True,2018-12-22,9,2,Neutral,Medium,Medium,True,18.8
SIH26017-PRJ-000139,True,2022-08-08,9,5,Neutral,High,Medium,False,50.5
SIH26017-PRJ-000140,True,2022-06-10,14,2,Neutral,Medium,Medium,False,29.6
SIH26017-PRJ-000141,True,2016-03-28,25,0,Opposing,Medium,Low,False,35.3
SIH26017-PRJ-000142,True,2019-07-22,40,0,Opposing,Medium,High,True,43.7
SIH26017-PRJ-000143,True,2017-09-18,8,0,Supportive,Low,Medium,False,22.5
SIH26017-PRJ-000144,True,2023-02-04,12,0,Supportive,Low,Low,False,36.9
SIH26017-PRJ-000145,True,2016-02-20,30,0,Neutral,Medium,Low,False,43.1
SIH26017-PRJ-000146,True,2024-03-02,20,3,Opposing,Low,Low,False,56.7
SIH26017-PRJ-000147,True,2019-07-13,23,0,Opposing,Medium,High,False,39.4
SIH26017-PRJ-000148,True,2023-08-08,7,0,Neutral,Low,Low,False,5.1
SIH26017-PRJ-000149,True,2022-12-23,14,0,Neutral,Medium,Low,False,58.2
SIH26017-PRJ-000150,True,2020-10-28,65,1,Opposing,Medium,Low,False,27.4
SIH26017-PRJ-000151,True,2018-06-30,11,0,Neutral,Medium,Low,False,36.9
SIH26017-PRJ-000152,False,,0,0,Opposing,Medium,Low,False,14.6
SIH26017-PRJ-000153,True,2018-07-25,39,3,Opposing,High,Medium,False,41.0
SIH26017-PRJ-000154,False,,0,2,Opposing,Medium,Medium,False,42.3
SIH26017-PRJ-000155,True,2016-09-03,36,0,Opposing,Low,Low,True,26.7
SIH26017-PRJ-000156,True,2023-06-06,18,1,Opposing,Medium,Medium,False,38.0
SIH26017-PRJ-000157,True,2016-02-25,12,1,Opposing,Medium,Medium,False,57.5
SIH26017-PRJ-000158,False,,0,0,Opposing,Medium,Medium,False,46.1
SIH26017-PRJ-000159,True,2024-03-02,8,0,Opposing,Low,Low,False,35.2
SIH26017-PRJ-000160,True,2015-07-17,38,1,Opposing,Medium,High,True,45.7
SIH26017-PRJ-000161,True,2015-08-30,7,0,Neutral,Medium,Low,False,37.3
SIH26017-PRJ-000162,True,2023-08-15,35,0,Neutral,Low,Low,False,46.6
SIH26017-PRJ-000163,True,2021-12-31,15,0,Supportive,Medium,Low,False,18.4
SIH26017-PRJ-000164,True,2017-08-20,27,3,Opposing,High,High,False,37.8
SIH26017-PRJ-000165,True,2021-05-03,57,0,Opposing,Low,Medium,True,36.0
SIH26017-PRJ-000166,True,2020-04-24,7,1,Neutral,Low,Low,False,32.1
SIH26017-PRJ-000167,True,2024-03-06,17,3,Opposing,Low,Medium,False,44.6
SIH26017-PRJ-000168,True,2019-12-05,38,0,Neutral,Medium,Low,True,41.7
SIH26017-PRJ-000169,True,2018-06-15,11,3,Opposing,Medium,Medium,False,28.4
SIH26017-PRJ-000170,True,2023-11-06,42,1,Opposing,Medium,Medium,False,47.4
SIH26017-PRJ-000171,True,2022-11-19,9,0,Neutral,Medium,Medium,False,23.9
SIH26017-PRJ-000172,True,2021-01-07,8,0,Opposing,Medium,Medium,False,32.9
SIH26017-PRJ-000173,True,2024-05-19,57,2,Opposing,Low,Medium,False,49.4
SIH26017-PRJ-000174,True,2018-06-26,14,0,Opposing,Medium,High,False,48.5
SIH26017-PRJ-000175,True,2019-12-01,22,0,Opposing,Low,Low,False,51.7
SIH26017-PRJ-000176,True,2016-06-16,11,2,Neutral,Medium,Low,False,23.8
SIH26017-PRJ-000177,True,2023-03-16,15,0,Opposing,Low,Low,False,45.6
SIH26017-PRJ-000178,True,2023-01-19,11,1,Opposing,Medium,Low,False,62.8
SIH26017-PRJ-000179,True,2018-07-10,16,1,Opposing,Low,Low,False,45.6
SIH26017-PRJ-000180,True,2016-12-30,6,5,Neutral,Medium,Low,False,48.7
SIH26017-PRJ-000181,True,2023-11-14,11,1,Opposing,Medium,Medium,False,33.4
SIH26017-PRJ-000182,True,2020-09-06,9,0,Supportive,Low,Medium,False,23.0
SIH26017-PRJ-000183,True,2024-09-01,15,0,Neutral,Low,Low,False,30.5
SIH26017-PRJ-000184,True,2022-11-17,60,0,Opposing,Medium,Medium,False,47.6
SIH26017-PRJ-000185,False,,0,0,Opposing,Medium,Medium,False,46.8
SIH26017-PRJ-000186,True,2017-11-06,7,0,Opposing,Low,Low,False,55.1
SIH26017-PRJ-000187,True,2023-02-14,12,0,Neutral,Low,Low,False,35.6
SIH26017-PRJ-000188,True,2022-10-02,53,0,Neutral,Low,Low,False,37.8
SIH26017-PRJ-000189,True,2018-10-18,26,0,Opposing,Low,Low,False,38.5
SIH26017-PRJ-000190,True,2019-04-05,24,3,Opposing,High,Medium,False,16.2
SIH26017-PRJ-000191,True,2021-05-29,11,0,Supportive,Low,Low,False,26.0
SIH26017-PRJ-000192,True,2016-05-12,18,0,Neutral,Medium,Medium,False,23.6
SIH26017-PRJ-000193,True,2022-08-19,8,1,Neutral,Low,Medium,False,43.7
SIH26017-PRJ-000194,True,2018-04-12,9,0,Opposing,Low,Low,False,26.3
SIH26017-PRJ-000195,True,2017-10-23,10,0,Neutral,Medium,Low,False,32.6
SIH26017-PRJ-000196,True,2022-08-19,35,1,Opposing,Medium,High,False,69.8
SIH26017-PRJ-000197,True,2017-02-28,40,0,Neutral,Medium,Medium,True,35.6
SIH26017-PRJ-000198,True,2021-09-02,9,0,Neutral,Low,Low,False,37.6
SIH26017-PRJ-000199,True,2024-10-01,55,1,Opposing,Medium,Medium,False,45.5
SIH26017-PRJ-000200,True,2021-09-28,13,3,Opposing,Medium,Medium,False,48.4
SIH26017-PRJ-000201,True,2022-07-18,28,3,Opposing,Medium,Medium,False,33.1
SIH26017-PRJ-000202,True,2022-09-05,8,0,Opposing,Low,Medium,False,51.1
SIH26017-PRJ-000203,True,2024-02-27,68,0,Opposing,Medium,High,False,44.7
SIH26017-PRJ-000204,True,2021-01-02,19,2,Neutral,Medium,Medium,False,47.2
SIH26017-PRJ-000205,False,,0,0,Opposing,Medium,Low,False,32.1
SIH26017-PRJ-000206,True,2019-09-16,19,1,Supportive,Medium,Medium,False,38.6
SIH26017-PRJ-000207,True,2018-05-03,35,1,Opposing,Medium,Low,False,57.0
SIH26017-PRJ-000208,True,2022-12-15,47,0,Opposing,Low,Low,False,37.9
SIH26017-PRJ-000209,True,2022-10-07,9,1,Opposing,Medium,Medium,False,47.0
SIH26017-PRJ-000210,True,2018-05-24,78,0,Opposing,Medium,Medium,False,69.7
SIH26017-PRJ-000211,True,2016-03-13,8,0,Supportive,Medium,Medium,False,6.6
SIH26017-PRJ-000212,True,2016-10-23,12,0,Neutral,Low,Medium,False,35.6
SIH26017-PRJ-000213,True,2020-11-30,53,0,Opposing,Low,Low,True,60.8
SIH26017-PRJ-000214,True,2016-07-26,23,0,Opposing,Medium,Low,False,34.0
SIH26017-PRJ-000215,True,2019-04-25,48,2,Opposing,High,Medium,False,58.4
SIH26017-PRJ-000216,True,2021-06-20,13,0,Neutral,Low,Low,False,38.7
SIH26017-PRJ-000217,True,2019-12-02,21,3,Supportive,Medium,Medium,True,34.7
SIH26017-PRJ-000218,True,2019-05-31,17,0,Opposing,Medium,Low,False,31.9
SIH26017-PRJ-000219,True,2020-08-17,34,0,Opposing,Low,Low,True,59.0
SIH26017-PRJ-000220,True,2019-07-31,29,1,Neutral,Low,Low,False,25.3
SIH26017-PRJ-000221,True,2023-08-26,6,1,Supportive,Low,Low,False,24.4
SIH26017-PRJ-000222,True,2018-01-20,47,0,Opposing,Medium,Low,False,52.7
SIH26017-PRJ-000223,True,2019-06-06,8,8,Opposing,Medium,High,True,49.5
SIH26017-PRJ-000224,True,2018-03-27,12,1,Neutral,Low,Low,False,27.8
SIH26017-PRJ-000225,True,2016-11-05,31,1,Neutral,Low,Low,False,10.2
SIH26017-PRJ-000226,True,2021-02-27,6,0,Supportive,Low,Medium,False,19.6
SIH26017-PRJ-000227,True,2021-11-29,13,0,Opposing,Medium,Medium,False,51.0
SIH26017-PRJ-000228,True,2024-08-05,26,0,Opposing,High,High,False,53.5
SIH26017-PRJ-000229,True,2021-04-16,11,2,Opposing,Low,Low,False,50.3
SIH26017-PRJ-000230,True,2017-11-15,9,0,Supportive,Low,Medium,True,37.2
SIH26017-PRJ-000231,True,2018-03-17,22,1,Opposing,Medium,Low,False,43.6
SIH26017-PRJ-000232,True,2021-08-07,11,2,Opposing,Medium,Medium,False,27.6
SIH26017-PRJ-000233,True,2019-10-25,14,0,Neutral,Medium,Low,False,17.5
SIH26017-PRJ-000234,True,2017-02-13,11,0,Neutral,Low,Low,False,57.9
SIH26017-PRJ-000235,True,2018-05-25,12,0,Supportive,Medium,Medium,False,45.3
SIH26017-PRJ-000236,True,2022-12-30,25,1,Opposing,Medium,Medium,False,50.0
SIH26017-PRJ-000237,True,2015-08-08,9,1,Neutral,Medium,Low,False,36.5
SIH26017-PRJ-000238,True,2019-07-05,20,1,Opposing,Medium,Low,False,31.5
SIH26017-PRJ-000239,True,2021-05-16,12,1,Opposing,Low,Low,False,55.8
SIH26017-PRJ-000240,True,2019-07-11,11,2,Neutral,Medium,Medium,False,29.7
SIH26017-PRJ-000241,True,2019-11-03,33,2,Supportive,Low,Low,False,45.4
SIH26017-PRJ-000242,True,2024-01-25,9,3,Neutral,Medium,Medium,False,46.2
SIH26017-PRJ-000243,True,2023-05-29,78,0,Opposing,Medium,Low,False,56.9
SIH26017-PRJ-000244,True,2019-01-07,11,0,Neutral,Low,Medium,False,36.0
SIH26017-PRJ-000245,True,2019-09-07,21,1,Neutral,Low,Medium,True,38.7
SIH26017-PRJ-000246,True,2019-03-21,35,0,Opposing,Medium,High,False,36.1
SIH26017-PRJ-000247,True,2015-06-30,18,0,Neutral,Low,Low,False,58.6
SIH26017-PRJ-000248,True,2017-04-18,14,0,Opposing,Low,Medium,False,31.8
SIH26017-PRJ-000249,True,2020-09-26,7,2,Supportive,Low,Medium,True,34.8
SIH26017-PRJ-000250,True,2017-12-21,14,1,Neutral,Low,Low,False,46.8
SIH26017-PRJ-000251,True,2016-03-31,7,1,Neutral,Low,Low,False,45.5
SIH26017-PRJ-000252,True,2019-04-17,7,0,Supportive,Low,Low,True,16.7
SIH26017-PRJ-000253,False,,0,0,Opposing,Medium,Medium,False,46.2
SIH26017-PRJ-000254,True,2018-02-25,12,0,Neutral,Low,Low,False,49.1
SIH26017-PRJ-000255,True,2020-02-03,10,1,Opposing,Low,Low,False,29.9
SIH26017-PRJ-000256,True,2021-02-22,10,2,Neutral,Medium,Low,False,29.3
SIH26017-PRJ-000257,True,2024-07-02,9,1,Neutral,Low,Low,False,28.5
SIH26017-PRJ-000258,True,2016-09-29,12,1,Neutral,Medium,Medium,False,19.3
SIH26017-PRJ-000259,True,2015-02-25,18,0,Opposing,High,Low,False,40.3
SIH26017-PRJ-000260,True,2020-04-13,29,0,Neutral,Low,Low,False,37.4
SIH26017-PRJ-000261,True,2016-02-05,44,1,Opposing,Low,Low,True,61.6
SIH26017-PRJ-000262,True,2015-06-17,20,1,Opposing,Low,Medium,False,44.6
SIH26017-PRJ-000263,True,2021-02-28,7,1,Not Sought,Low,Low,False,24.0
SIH26017-PRJ-000264,True,2021-10-25,18,0,Opposing,Medium,Medium,True,44.2
SIH26017-PRJ-000265,True,2018-12-22,16,2,Opposing,Low,Low,False,45.1
SIH26017-PRJ-000266,True,2024-11-17,66,0,Neutral,Medium,Medium,False,39.7
SIH26017-PRJ-000267,True,2025-03-29,29,0,Opposing,Low,Low,False,58.0
SIH26017-PRJ-000268,True,2017-02-21,20,1,Opposing,Medium,Medium,False,41.3
SIH26017-PRJ-000269,True,2023-03-16,8,1,Opposing,Low,Medium,False,41.4
SIH26017-PRJ-000270,True,2022-03-16,61,1,Opposing,Medium,Medium,False,51.4
SIH26017-PRJ-000271,True,2017-05-30,11,2,Neutral,Medium,Medium,False,45.7
SIH26017-PRJ-000272,True,2018-06-22,9,1,Opposing,Low,Low,False,44.4
SIH26017-PRJ-000273,True,2022-09-26,14,2,Neutral,Medium,Low,False,33.6
SIH26017-PRJ-000274,True,2017-09-19,30,1,Opposing,Medium,Medium,False,53.6
SIH26017-PRJ-000275,True,2016-08-13,15,0,Neutral,Low,Low,True,30.0
SIH26017-PRJ-000276,True,2021-10-18,14,0,Neutral,Medium,Low,False,55.2
SIH26017-PRJ-000277,True,2022-12-16,47,0,Neutral,Low,Low,False,39.2
SIH26017-PRJ-000278,True,2017-05-23,10,0,Opposing,Low,Low,False,52.5
SIH26017-PRJ-000279,True,2017-09-24,21,0,Opposing,Medium,Low,False,33.7
SIH26017-PRJ-000280,True,2021-04-14,5,0,Supportive,Medium,Medium,False,23.5
SIH26017-PRJ-000281,True,2024-11-21,57,1,Opposing,Medium,Medium,False,55.7
SIH26017-PRJ-000282,True,2020-10-13,32,2,Opposing,Medium,Medium,False,35.7
SIH26017-PRJ-000283,True,2023-01-16,13,2,Neutral,Low,Low,False,42.9
SIH26017-PRJ-000284,True,2019-01-09,18,1,Opposing,Low,Low,False,60.6
SIH26017-PRJ-000285,True,2023-07-25,13,2,Opposing,Low,Low,False,35.6
SIH26017-PRJ-000286,True,2015-05-02,8,0,Not Sought,Low,Low,True,16.1
SIH26017-PRJ-000287,True,2018-11-09,25,0,Neutral,Medium,Low,False,53.0
SIH26017-PRJ-000288,False,,0,0,Opposing,Medium,Low,False,42.6
SIH26017-PRJ-000289,True,2019-07-03,10,1,Neutral,Low,Medium,True,42.6
SIH26017-PRJ-000290,True,2016-09-04,64,0,Opposing,High,High,False,21.5
SIH26017-PRJ-000291,True,2016-11-17,6,2,Neutral,Low,Low,False,31.6
SIH26017-PRJ-000292,False,,0,0,Opposing,Medium,Medium,False,51.9
SIH26017-PRJ-000293,True,2021-09-19,23,0,Neutral,Low,Low,False,45.1
SIH26017-PRJ-000294,True,2017-07-10,20,1,Opposing,Low,Low,False,66.8
SIH26017-PRJ-000295,True,2022-07-17,29,1,Neutral,Low,Medium,True,52.3
SIH26017-PRJ-000296,True,2018-09-23,7,0,Neutral,Low,Low,False,36.3
SIH26017-PRJ-000297,False,,0,0,Neutral,Medium,High,True,26.6
SIH26017-PRJ-000298,True,2021-02-01,42,0,Opposing,Medium,Low,False,61.7
SIH26017-PRJ-000299,True,2021-02-10,13,2,Supportive,Low,Low,False,30.9
SIH26017-PRJ-000300,True,2016-01-30,8,1,Neutral,Low,Low,True,25.9
SIH26017-PRJ-000301,True,2018-03-26,14,0,Neutral,Low,Low,False,48.2
SIH26017-PRJ-000302,True,2019-03-01,24,2,Opposing,Low,Low,True,31.5
SIH26017-PRJ-000303,True,2022-08-23,6,0,Opposing,Low,Medium,False,37.3
SIH26017-PRJ-000304,True,2022-01-07,9,0,Not Sought,Low,Low,False,24.6
SIH26017-PRJ-000305,True,2021-02-05,14,4,Opposing,Low,Low,False,50.9
SIH26017-PRJ-000306,True,2020-02-15,8,1,Supportive,Low,Low,False,9.5
SIH26017-PRJ-000307,True,2018-05-27,5,0,Not Sought,Low,Low,False,22.7
SIH26017-PRJ-000308,True,2020-12-10,7,0,Supportive,Medium,Medium,False,17.3
SIH26017-PRJ-000309,True,2020-03-13,6,0,Neutral,Medium,Low,False,34.0
