project_id,number_of_displaced_families,rr_plan_approved_flag,rr_plan_approval_date,resettlement_site_ready_flag,percent_families_resettled,percent_families_alternate_land_provided,livelihood_restoration_status,rr_grievances_filed,rr_grievances_resolved,social_infra_readiness_score
SIH26017-PRJ-000117,60,True,2020-04-06,True,63.6,10.6,Completed,11,6,2.5
SIH26017-PRJ-000118,110,True,2018-09-19,True,65.1,46.7,Completed,21,12,4.4
SIH26017-PRJ-000119,32,True,2024-08-21,True,60.3,52.8,Completed,5,4,2.1
SIH26017-PRJ-000120,273,True,2021-05-05,False,38.0,,In Progress,52,21,2.7
SIH26017-PRJ-000121,36,True,2017-05-22,False,1.1,,In Progress,5,2,0.2
SIH26017-PRJ-000122,638,True,2025-04-05,False,0.0,,Not Started,21,10,0.0
SIH26017-PRJ-000123,534,True,2023-04-28,False,22.0,16.0,In Progress,88,33,0.6
SIH26017-PRJ-000124,624,True,2017-07-12,False,48.2,21.8,In Progress,119,49,2.4
SIH26017-PRJ-000125,47,True,2017-08-23,True,80.9,30.5,Completed,9,5,2.8
SIH26017-PRJ-000126,174,True,2019-06-28,True,76.8,27.7,Completed,33,19,3.3
SIH26017-PRJ-000127,166,False,,False,0.0,,Not Started,6,2,0.0
SIH26017-PRJ-000128,4,True,2017-06-29,False,1.2,0.6,In Progress,0,0,0.3
SIH26017-PRJ-000129,30,True,2020-05-22,False,0.0,,Not Started,1,0,0.0
SIH26017-PRJ-000130,92,True,2020-01-15,True,76.2,,Completed,14,10,4.4
SIH26017-PRJ-000131,27,True,2024-04-08,True,45.9,,In Progress,4,2,1.7
SIH26017-PRJ-000132,20,True,2017-06-01,True,96.4,,Completed,3,2,3.9
SIH26017-PRJ-000133,689,True,2019-03-28,False,74.2,61.3,Completed,153,65,1.2
SIH26017-PRJ-000134,136,True,2020-02-08,False,71.8,56.6,Completed,29,13,3.6
SIH26017-PRJ-000135,21,True,2025-05-17,False,3.6,,In Progress,3,1,0.4
SIH26017-PRJ-000136,15,True,2020-06-12,True,81.9,,Completed,3,2,2.8
SIH26017-PRJ-000137,3,True,2023-06-17,True,72.9,54.1,Completed,1,0,3.3
SIH26017-PRJ-000138,4,True,2019-08-31,True,70.9,,Completed,1,1,4.1
SIH26017-PRJ-000139,2,True,2023-01-24,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000140,29,True,2022-11-23,True,90.1,,Completed,5,3,2.7
SIH26017-PRJ-000141,75,True,2016-12-05,False,62.6,,Completed,18,7,2.8
SIH26017-PRJ-000142,767,True,2020-07-07,False,54.9,,Completed,178,68,3.2
SIH26017-PRJ-000143,12,True,2017-10-29,True,57.0,45.3,Completed,2,1,3.1
SIH26017-PRJ-000144,7,True,2023-08-27,True,62.8,45.7,Completed,1,1,4.7
SIH26017-PRJ-000145,574,True,2018-06-01,False,34.6,34.5,In Progress,111,44,1.8
SIH26017-PRJ-000146,31,True,2024-12-28,False,1.1,0.7,In Progress,4,2,0.2
SIH26017-PRJ-000147,415,True,2020-02-24,False,46.9,30.7,Completed,90,40,1.9
SIH26017-PRJ-000148,30,True,2023-10-20,True,87.9,,Completed,5,4,4.8
SIH26017-PRJ-000149,474,True,2024-03-28,False,0.0,0.0,Not Started,48,18,0.0
SIH26017-PRJ-000150,194,True,2021-06-21,False,31.9,3.8,In Progress,38,15,1.8
SIH26017-PRJ-000151,37,True,2018-10-24,False,47.9,,Completed,8,3,2.1
SIH26017-PRJ-000152,14,False,,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000153,570,True,2020-09-24,False,26.0,,In Progress,112,43,1.3
SIH26017-PRJ-000154,0,False,,False,0.0,,Not Started,0,0,0.0
SIH26017-PRJ-000155,670,True,2017-04-19,False,77.5,27.5,Completed,154,60,2.3
SIH26017-PRJ-000156,9,True,2023-11-15,True,66.7,,Completed,2,1,3.0
SIH26017-PRJ-000157,9,True,2017-03-19,False,60.2,33.1,Completed,2,1,2.2
SIH26017-PRJ-000158,543,False,,False,0.0,,Not Started,2,1,0.0
SIH26017-PRJ-000159,0,True,2024-06-29,False,0.0,,In Progress,0,0,0.4
SIH26017-PRJ-000160,676,True,2016-11-01,False,56.1,36.5,Completed,145,66,4.3
SIH26017-PRJ-000161,14,True,2015-11-12,True,87.8,,Completed,3,2,3.1
SIH26017-PRJ-000162,391,True,2024-12-19,False,0.0,0.0,Not Started,38,15,0.0
SIH26017-PRJ-000163,45,True,2022-03-17,True,78.0,,Completed,8,5,3.3
SIH26017-PRJ-000164,258,True,2018-04-25,False,0.0,,Not Started,9,3,0.0
SIH26017-PRJ-000165,1453,True,2022-02-10,False,66.4,,Completed,200,84,2.7
SIH26017-PRJ-000166,7,True,2021-01-09,False,1.4,,In Progress,1,1,0.4
SIH26017-PRJ-000167,41,True,2025-01-04,False,0.0,,Not Started,4,1,0.0
SIH26017-PRJ-000168,644,True,2020-02-20,True,33.9,,In Progress,114,54,2.0
SIH26017-PRJ-000169,30,True,2019-05-02,False,0.8,,In Progress,3,2,0.3
SIH26017-PRJ-000170,945,True,2024-10-15,False,0.9,,In Progress,128,46,0.3
SIH26017-PRJ-000171,127,True,2023-03-07,True,11.7,,In Progress,18,9,1.1
SIH26017-PRJ-000172,27,True,2023-01-11,False,0.0,,Not Started,2,1,0.0
SIH26017-PRJ-000173,196,True,2024-11-18,False,12.2,11.6,In Progress,32,12,1.0
SIH26017-PRJ-000174,9,True,2019-01-08,False,67.7,,Completed,2,1,2.0
SIH26017-PRJ-000175,57,True,2020-03-24,True,74.7,,Completed,12,6,3.0
SIH26017-PRJ-000176,12,True,2017-01-11,True,46.8,15.5,Completed,2,1,2.9
SIH26017-PRJ-000177,8,True,2023-07-15,False,38.3,21.6,In Progress,1,0,1.6
SIH26017-PRJ-000178,32,True,2024-05-14,False,0.0,,Not Started,3,1,0.0
SIH26017-PRJ-000179,54,True,2019-06-14,False,87.5,,Completed,12,5,3.6
SIH26017-PRJ-000180,18,True,2017-10-02,False,0.0,0.0,Not Started,1,1,0.0
SIH26017-PRJ-000181,51,True,2024-09-28,False,0.0,,Not Started,5,2,0.0
SIH26017-PRJ-000182,83,True,2020-11-03,True,96.5,43.2,Completed,13,9,3.7
SIH26017-PRJ-000183,9,True,2024-11-03,True,46.5,,In Progress,1,1,2.0
SIH26017-PRJ-000184,298,True,2023-10-11,False,15.7,21.2,In Progress,50,18,1.2
SIH26017-PRJ-000185,681,False,,False,0.0,0.0,Not Started,2,1,0.0
SIH26017-PRJ-000186,0,True,2018-07-01,False,0.0,,Not Started,0,0,0.0
SIH26017-PRJ-000187,6,True,2023-04-12,True,88.5,,Completed,1,1,3.2
SIH26017-PRJ-000188,257,True,2023-04-15,True,43.8,52.3,Completed,49,27,2.5
SIH26017-PRJ-000189,755,True,2019-03-30,False,64.7,,Completed,160,74,3.5
SIH26017-PRJ-000190,36,True,2019-10-06,False,0.0,0.0,Not Started,2,1,0.0
SIH26017-PRJ-000191,5,True,2021-09-30,True,83.7,,Completed,1,1,3.7
SIH26017-PRJ-000192,444,True,2016-10-01,True,84.8,65.5,Completed,92,45,4.1
SIH26017-PRJ-000193,2,True,2023-03-31,True,79.7,,Completed,0,0,2.7
SIH26017-PRJ-000194,2,True,2018-07-09,True,59.3,,Completed,0,0,2.9
SIH26017-PRJ-000195,6,True,2018-06-26,False,51.2,31.7,Completed,1,0,2.5
SIH26017-PRJ-000196,505,True,2023-10-05,False,0.0,0.0,Not Started,59,22,0.0
SIH26017-PRJ-000197,136,True,2018-05-08,False,48.6,,Completed,31,12,3.9
SIH26017-PRJ-000198,11,True,2022-04-29,False,0.0,,Not Started,0,0,0.0
SIH26017-PRJ-000199,268,True,2025-07-23,False,0.0,0.0,Not Started,19,7,0.0
SIH26017-PRJ-000200,8,True,2022-08-03,False,56.3,23.7,In Progress,2,1,2.1
SIH26017-PRJ-000201,88,True,2023-03-15,False,37.3,21.3,In Progress,17,7,1.9
SIH26017-PRJ-000202,6,True,2023-02-08,True,71.7,,Completed,1,0,2.3
SIH26017-PRJ-000203,252,True,2025-02-23,False,0.0,,Not Started,32,12,0.2
SIH26017-PRJ-000204,32,True,2021-07-27,False,1.1,0.6,In Progress,4,2,0.2
SIH26017-PRJ-000205,290,False,,False,0.0,0.0,Not Started,1,0,0.0
SIH26017-PRJ-000206,3,True,2021-01-09,False,0.9,0.5,In Progress,0,0,0.4
SIH26017-PRJ-000207,143,True,2020-02-25,False,0.0,,Not Started,14,6,0.0
SIH26017-PRJ-000208,1156,True,2023-10-17,False,1.1,0.8,In Progress,153,59,0.3
SIH26017-PRJ-000209,19,True,2023-07-12,False,73.0,20.4,Completed,4,2,2.8
SIH26017-PRJ-000210,342,True,2019-02-10,False,67.4,46.2,Completed,82,29,2.4
SIH26017-PRJ-000211,30,True,2016-07-01,True,66.9,48.8,Completed,5,3,3.5
SIH26017-PRJ-000212,11,True,2017-03-30,True,28.5,,In Progress,1,1,1.1
SIH26017-PRJ-000213,200,True,2021-06-28,False,43.4,,Completed,45,19,3.8
SIH26017-PRJ-000214,73,True,2017-01-28,False,57.3,81.7,Completed,15,7,3.5
SIH26017-PRJ-000215,123,True,2020-04-24,False,0.8,0.0,In Progress,16,6,0.2
SIH26017-PRJ-000216,13,True,2021-12-04,False,46.3,,In Progress,3,1,1.0
SIH26017-PRJ-000217,319,True,2020-03-12,True,57.1,45.0,Completed,63,33,3.1
SIH26017-PRJ-000218,324,True,2020-03-19,False,1.1,,In Progress,42,17,0.1
SIH26017-PRJ-000219,98,True,2021-02-19,False,72.3,32.6,Completed,23,8,3.6
SIH26017-PRJ-000220,734,True,2020-01-31,True,80.2,,Completed,129,80,4.5
SIH26017-PRJ-000221,4,True,2023-10-11,True,96.5,,Completed,1,1,2.7
SIH26017-PRJ-000222,698,True,2018-11-11,False,55.9,,Completed,162,62,2.0
SIH26017-PRJ-000223,237,True,2020-03-13,False,0.0,0.0,Not Started,16,6,0.0
SIH26017-PRJ-000224,67,True,2018-08-16,True,47.4,39.7,Completed,13,7,3.2
SIH26017-PRJ-000225,108,True,2017-01-20,True,72.9,,Completed,18,12,4.9
SIH26017-PRJ-000226,20,True,2021-05-20,True,97.0,,Completed,3,2,4.8
SIH26017-PRJ-000227,3,True,2022-11-20,False,47.3,23.8,In Progress,1,0,1.8
SIH26017-PRJ-000228,8,True,2025-03-12,True,44.8,27.6,In Progress,1,1,1.4
SIH26017-PRJ-000229,172,True,2021-09-05,True,45.4,,In Progress,27,16,1.7
SIH26017-PRJ-000230,11,True,2018-04-29,True,56.2,,In Progress,2,1,1.9
SIH26017-PRJ-000231,25,True,2018-08-23,False,32.8,,Completed,6,2,1.8
SIH26017-PRJ-000232,43,True,2022-11-27,False,42.4,,In Progress,8,3,1.9
SIH26017-PRJ-000233,72,True,2020-11-23,True,61.0,17.2,Completed,14,7,2.7
SIH26017-PRJ-000234,8,True,2018-02-11,False,62.6,,Completed,2,1,1.8
SIH26017-PRJ-000235,5,True,2018-09-14,True,62.3,40.9,Completed,1,0,3.1
SIH26017-PRJ-000236,29,True,2023-06-19,False,19.5,,In Progress,5,2,1.3
SIH26017-PRJ-000237,0,True,2016-01-03,True,0.0,,Completed,0,0,3.1
SIH26017-PRJ-000238,409,True,2020-01-17,False,51.1,38.3,In Progress,93,35,2.2
SIH26017-PRJ-000239,2,True,2022-01-06,False,78.3,50.1,Completed,0,0,2.6
SIH26017-PRJ-000240,4,True,2019-12-15,True,100.0,42.3,Completed,1,1,3.9
SIH26017-PRJ-000241,137,True,2022-04-07,True,67.8,49.7,Completed,26,14,2.4
SIH26017-PRJ-000242,11,True,2024-12-10,False,1.0,0.8,In Progress,1,0,0.2
SIH26017-PRJ-000243,2006,True,2024-05-08,False,1.0,,In Progress,200,75,0.3
SIH26017-PRJ-000244,5,True,2019-05-02,True,49.0,56.0,Completed,1,1,3.7
SIH26017-PRJ-000245,252,True,2020-02-29,False,87.4,34.4,Completed,59,22,1.3
SIH26017-PRJ-000246,736,True,2020-01-04,False,59.0,,Completed,171,63,2.3
SIH26017-PRJ-000247,19,True,2015-12-12,False,59.9,36.1,Completed,4,2,2.2
SIH26017-PRJ-000248,58,True,2017-09-30,False,68.5,,Completed,13,6,2.7
SIH26017-PRJ-000249,9,True,2020-11-29,True,64.2,34.8,Completed,1,1,3.5
SIH26017-PRJ-000250,16,True,2019-06-02,False,48.0,17.7,Completed,4,2,2.1
SIH26017-PRJ-000251,7,True,2016-07-13,False,49.0,,Completed,2,1,3.8
SIH26017-PRJ-000252,3,True,2019-08-26,True,68.5,,Completed,1,1,2.1
SIH26017-PRJ-000253,373,False,,False,0.0,,Not Started,1,0,0.0
SIH26017-PRJ-000254,20,True,2018-11-16,True,61.9,,Completed,4,2,3.0
SIH26017-PRJ-000255,9,True,2020-07-20,False,36.7,31.7,In Progress,2,1,1.9
SIH26017-PRJ-000256,7,True,2021-06-05,False,56.8,50.8,Completed,1,0,2.2
SIH26017-PRJ-000257,7,True,2024-11-20,True,73.3,,Completed,1,1,2.8
SIH26017-PRJ-000258,119,True,2016-11-17,True,82.3,45.4,Completed,21,13,2.5
SIH26017-PRJ-000259,7,True,2016-02-14,False,48.5,47.1,Completed,2,1,1.4
SIH26017-PRJ-000260,833,True,2020-11-26,True,40.7,38.6,In Progress,145,72,1.9
SIH26017-PRJ-000261,897,True,2017-01-25,False,49.9,36.8,Completed,200,82,2.5
SIH26017-PRJ-000262,5,True,2015-12-24,True,90.7,48.8,Completed,1,0,4.1
SIH26017-PRJ-000263,30,True,2021-07-02,True,100.0,,Completed,4,3,3.6
SIH26017-PRJ-000264,32,True,2022-08-23,False,0.0,0.0,Not Started,3,1,0.0
SIH26017-PRJ-000265,9,True,2019-05-19,False,51.8,,Completed,2,1,2.2
SIH26017-PRJ-000266,2068,True,2025-07-20,False,0.0,0.0,Not Started,200,82,0.0
SIH26017-PRJ-000267,298,True,2026-08-20,False,0.0,0.0,Not Started,11,4,0.0
SIH26017-PRJ-000268,40,True,2017-05-22,False,0.0,,Not Started,2,1,0.0
SIH26017-PRJ-000269,34,True,2023-06-21,False,1.4,0.8,In Progress,4,2,0.3
SIH26017-PRJ-000270,234,True,2024-05-27,False,0.0,0.0,Not Started,8,3,0.0
SIH26017-PRJ-000271,3,True,2018-02-04,True,66.5,43.4,Completed,1,1,2.9
SIH26017-PRJ-000272,7,True,2018-09-24,False,64.5,,Completed,2,1,1.8
SIH26017-PRJ-000273,13,True,2023-03-25,True,77.5,,Completed,3,2,3.3
SIH26017-PRJ-000274,541,True,2018-10-09,False,20.9,19.6,In Progress,107,40,1.2
SIH26017-PRJ-000275,78,True,2016-12-16,False,0.9,,In Progress,10,4,0.4
SIH26017-PRJ-000276,21,True,2022-11-22,False,18.3,,In Progress,3,1,0.7
SIH26017-PRJ-000277,170,True,2023-07-11,True,49.0,63.2,Completed,34,18,3.2
SIH26017-PRJ-000278,9,True,2017-10-15,False,75.5,37.8,Completed,2,1,3.1
SIH26017-PRJ-000279,360,True,2018-04-18,False,38.5,,In Progress,69,28,1.7
SIH26017-PRJ-000280,5,True,2021-07-30,True,65.6,33.4,Completed,1,1,4.0
SIH26017-PRJ-000281,1392,True,2026-04-03,False,0.0,0.0,Not Started,97,35,0.0
SIH26017-PRJ-000282,701,True,2022-01-09,False,0.0,,Not Started,24,10,0.0
SIH26017-PRJ-000283,80,True,2023-04-04,False,0.0,,Not Started,2,1,0.0
SIH26017-PRJ-000284,7,True,2019-05-01,False,64.7,43.5,Completed,2,1,2.5
SIH26017-PRJ-000285,19,True,2023-10-12,True,95.3,,Completed,3,2,2.7
SIH26017-PRJ-000286,24,True,2015-07-01,True,100.0,38.7,Completed,4,3,3.9
SIH26017-PRJ-000287,504,True,2019-04-26,True,52.7,6.0,Completed,97,54,4.2
SIH26017-PRJ-000288,532,False,,False,0.0,0.0,Not Started,2,1,0.0
SIH26017-PRJ-000289,9,True,2019-12-28,True,85.5,41.2,Completed,2,1,2.0
SIH26017-PRJ-000290,145,True,2017-06-08,False,24.7,13.8,In Progress,29,11,1.1
SIH26017-PRJ-000291,7,True,2017-06-13,True,66.4,20.7,Completed,1,1,2.4
SIH26017-PRJ-000292,47,False,,False,0.0,,Not Started,0,0,0.0
SIH26017-PRJ-000293,114,True,2022-06-01,True,81.3,,Completed,22,12,2.2
SIH26017-PRJ-000294,67,True,2018-05-14,False,21.7,11.9,In Progress,11,4,0.5
SIH26017-PRJ-000295,931,True,2023-10-24,False,0.0,0.0,Not Started,30,14,0.0
SIH26017-PRJ-000296,1,True,2019-03-23,True,94.5,,Completed,0,0,2.6
SIH26017-PRJ-000297,129,False,,False,0.0,0.0,Not Started,0,0,0.0
SIH26017-PRJ-000298,1238,True,2021-10-22,False,26.9,28.1,Completed,200,77,4.0
SIH26017-PRJ-000299,48,True,2021-05-20,True,66.3,,Completed,9,5,2.6
SIH26017-PRJ-000300,2,True,2016-07-16,True,89.5,,Completed,0,0,4.4
