project_id,project_name,state,district,project_type,implementing_agency,project_geometry_type,applicable_land_acquisition_act,total_land_required_hectares,number_of_villages_affected,estimated_project_cost_inr_crore,land_type_required,tribal_area_flag,project_sanction_date,planned_land_acquisition_completion_date,planned_land_acquisition_duration_days
SIH26017-PRJ-000011,Urban Water Supply/Sewerage Project - Ranchi (0011),Jharkhand,Ranchi,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",25.18,1,1729.3,Homestead-Residential,False,2018-07-14,2028-05-08,3586
SIH26017-PRJ-000012,Urban Water Supply/Sewerage Project - Chennai (0012),Tamil Nadu,Chennai,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",9.96,5,1651.17,Forest,False,2016-09-16,2019-09-16,1095
SIH26017-PRJ-000013,Irrigation Canal/Dam Project - Warangal (0013),Telangana,Warangal,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",724.18,14,1955.1,Government-Wasteland,False,2022-08-10,2024-12-18,861
SIH26017-PRJ-000014,National Highway Project - Purba Bardhaman (0014),West Bengal,Purba Bardhaman,National Highway,NHAI,Linear,"National Highways Act, 1956",223.15,8,5962.23,Agricultural,False,2021-03-07,2024-06-30,1211
SIH26017-PRJ-000015,Special Economic Zone Project - Dhanbad (0015),Jharkhand,Dhanbad,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",2884.91,73,5752.41,Homestead-Residential,False,2020-10-29,2027-09-07,2504
SIH26017-PRJ-000016,Urban Metro Rail Project - Dhanbad (0016),Jharkhand,Dhanbad,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",98.14,4,1791.11,Homestead-Residential,False,2024-09-08,2029-04-20,1685
SIH26017-PRJ-000017,Urban Water Supply/Sewerage Project - Durg (0017),Chhattisgarh,Durg,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",4.95,4,1886.78,Homestead-Residential,False,2022-10-03,2031-02-19,3061
SIH26017-PRJ-000018,State Highway Project - Cuttack (0018),Odisha,Cuttack,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",182.1,11,1025.41,Government-Wasteland,False,2021-04-02,2024-06-05,1160
SIH26017-PRJ-000019,Urban Water Supply/Sewerage Project - Dibrugarh (0019),Assam,Dibrugarh,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",33.92,5,241.48,Government-Wasteland,False,2016-10-14,2020-05-21,1315
SIH26017-PRJ-000020,Power Transmission Line Project - Durg (0020),Chhattisgarh,Durg,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",45.53,4,1290.44,Agricultural,False,2017-07-10,2022-05-17,1772
SIH26017-PRJ-000021,State Highway Project - Nagpur (0021),Maharashtra,Nagpur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",76.87,8,1153.29,Agricultural,False,2018-01-31,2027-01-08,3264
SIH26017-PRJ-000022,Mining Project Project - Kalahandi (0022),Odisha,Kalahandi,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1205.52,32,3939.76,Homestead-Residential,False,2015-01-18,2024-01-23,3292
SIH26017-PRJ-000023,Urban Metro Rail Project - Kamrup (0023),Assam,Kamrup,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",12.75,1,14006.2,Government-Wasteland,False,2024-01-20,2030-06-08,2331
SIH26017-PRJ-000024,Urban Water Supply/Sewerage Project - Alwar (0024),Rajasthan,Alwar,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",12.03,5,833.18,Government-Wasteland,True,2017-06-08,2018-12-15,555
SIH26017-PRJ-000025,National Highway Project - Surat (0025),Gujarat,Surat,National Highway,NHAI,Linear,"National Highways Act, 1956",238.43,13,2883.55,Agricultural,False,2022-03-27,2029-02-19,2521
SIH26017-PRJ-000026,Urban Water Supply/Sewerage Project - Alwar (0026),Rajasthan,Alwar,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",30.56,2,200.19,Homestead-Residential,False,2018-06-11,2018-11-05,147
SIH26017-PRJ-000027,National Highway Project - Khordha (0027),Odisha,Khordha,National Highway,NHAI,Linear,"National Highways Act, 1956",114.83,4,843.14,Agricultural,False,2018-01-04,2022-12-14,1805
SIH26017-PRJ-000028,Renewable Energy Park Project - Indore (0028),Madhya Pradesh,Indore,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2310.01,55,7042.26,Mixed,False,2015-10-11,2017-03-18,524
SIH26017-PRJ-000029,Special Economic Zone Project - Indore (0029),Madhya Pradesh,Indore,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1397.79,31,9596.96,Agricultural,False,2022-10-27,2028-12-13,2239
SIH26017-PRJ-000030,Special Economic Zone Project - Chhindwara (0030),Madhya Pradesh,Chhindwara,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1491.85,31,6758.45,Agricultural,True,2022-11-15,2026-03-26,1227
SIH26017-PRJ-000031,Special Economic Zone Project - Purulia (0031),West Bengal,Purulia,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1008.75,29,5389.35,Forest,False,2018-11-18,2024-06-03,2024
SIH26017-PRJ-000032,Urban Water Supply/Sewerage Project - Ahmedabad (0032),Gujarat,Ahmedabad,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",54.33,3,100.09,Homestead-Residential,False,2015-05-05,2018-06-06,1128
SIH26017-PRJ-000033,National Highway Project - Tiruchirappalli (0033),Tamil Nadu,Tiruchirappalli,National Highway,NHAI,Linear,"National Highways Act, 1956",36.87,5,5986.4,Forest,False,2022-07-12,2025-06-27,1081
SIH26017-PRJ-000034,Irrigation Canal/Dam Project - Chhatrapati Sambhajinagar (0034),Maharashtra,Chhatrapati Sambhajinagar,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1356.68,41,2251.27,Government-Wasteland,False,2021-09-02,2029-11-08,2989
SIH26017-PRJ-000035,State Highway Project - Lucknow (0035),Uttar Pradesh,Lucknow,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",13.83,5,357.02,Homestead-Residential,False,2018-01-08,2020-02-07,760
SIH26017-PRJ-000036,Renewable Energy Park Project - Hyderabad (0036),Telangana,Hyderabad,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",502.67,16,9117.38,Forest,True,2017-01-08,2021-08-12,1677
SIH26017-PRJ-000037,Railway Line/Doubling Project - Dhanbad (0037),Jharkhand,Dhanbad,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",239.03,14,6542.42,Government-Wasteland,False,2022-12-16,2032-07-10,3494
SIH26017-PRJ-000038,Mining Project Project - Kamrup (0038),Assam,Kamrup,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1411.12,48,4932.91,Agricultural,False,2021-11-21,2031-06-09,3487
SIH26017-PRJ-000039,Industrial Corridor Project - Dibrugarh (0039),Assam,Dibrugarh,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",513.29,9,1772.91,Government-Wasteland,False,2024-09-20,2030-11-26,2258
SIH26017-PRJ-000040,Mining Project Project - Bengaluru Rural (0040),Karnataka,Bengaluru Rural,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",434.68,17,6248.59,Agricultural,False,2018-07-03,2021-05-28,1060
SIH26017-PRJ-000041,Power Transmission Line Project - Ranchi (0041),Jharkhand,Ranchi,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",76.62,2,1291.48,Homestead-Residential,False,2019-06-22,2023-10-04,1565
SIH26017-PRJ-000042,State Highway Project - Karimnagar (0042),Telangana,Karimnagar,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",48.13,2,51.81,Mixed,False,2018-04-26,2021-01-08,988
SIH26017-PRJ-000043,Railway Line/Doubling Project - Ranchi (0043),Jharkhand,Ranchi,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",403.63,18,2984.95,Government-Wasteland,False,2019-06-05,2022-02-20,991
SIH26017-PRJ-000044,Power Transmission Line Project - Ballari (0044),Karnataka,Ballari,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",43.96,6,1053.39,Agricultural,False,2018-11-03,2020-04-19,533
SIH26017-PRJ-000045,Mining Project Project - Purulia (0045),West Bengal,Purulia,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",458.26,14,446.48,Government-Wasteland,False,2016-12-23,2021-11-07,1780
SIH26017-PRJ-000046,National Highway Project - Kalahandi (0046),Odisha,Kalahandi,National Highway,NHAI,Linear,"National Highways Act, 1956",253.47,9,4978.99,Mixed,False,2023-05-27,2027-09-06,1563
SIH26017-PRJ-000047,Urban Water Supply/Sewerage Project - Ranchi (0047),Jharkhand,Ranchi,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",54.84,2,1041.62,Homestead-Residential,False,2018-05-12,2024-10-09,2342
SIH26017-PRJ-000048,Irrigation Canal/Dam Project - Howrah (0048),West Bengal,Howrah,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1562.43,45,3505.81,Agricultural,False,2022-03-28,2030-06-04,2990
SIH26017-PRJ-000049,Power Transmission Line Project - Muzaffarpur (0049),Bihar,Muzaffarpur,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",100.41,5,669.05,Agricultural,False,2015-01-07,2017-04-05,819
SIH26017-PRJ-000050,National Highway Project - Paschimi Singhbhum (0050),Jharkhand,Paschimi Singhbhum,National Highway,NHAI,Linear,"National Highways Act, 1956",210.47,13,5196.95,Forest,False,2016-11-22,2023-12-30,2594
SIH26017-PRJ-000051,National Highway Project - Chennai (0051),Tamil Nadu,Chennai,National Highway,NHAI,Linear,"National Highways Act, 1956",58.13,1,4615.81,Government-Wasteland,False,2022-07-03,2026-12-19,1630
SIH26017-PRJ-000052,Urban Metro Rail Project - Gaya (0052),Bihar,Gaya,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",34.03,1,9223.76,Government-Wasteland,False,2022-12-31,2025-04-27,848
SIH26017-PRJ-000053,National Highway Project - Belagavi (0053),Karnataka,Belagavi,National Highway,NHAI,Linear,"National Highways Act, 1956",273.86,6,1956.85,Agricultural,False,2017-11-24,2021-09-29,1405
SIH26017-PRJ-000054,Renewable Energy Park Project - Warangal (0054),Telangana,Warangal,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2521.97,55,4410.37,Homestead-Residential,True,2016-05-11,2020-05-27,1477
SIH26017-PRJ-000055,Renewable Energy Park Project - Muzaffarpur (0055),Bihar,Muzaffarpur,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",693.69,18,4408.04,Mixed,False,2021-12-14,2023-05-28,530
SIH26017-PRJ-000056,Urban Water Supply/Sewerage Project - Sundargarh (0056),Odisha,Sundargarh,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",46.27,5,1111.32,Homestead-Residential,False,2019-10-28,2023-09-02,1405
SIH26017-PRJ-000057,Urban Metro Rail Project - Thiruvananthapuram (0057),Kerala,Thiruvananthapuram,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",86.98,9,3762.04,Homestead-Residential,False,2020-08-11,2022-06-13,671
SIH26017-PRJ-000058,State Highway Project - Varanasi (0058),Uttar Pradesh,Varanasi,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",95.98,8,737.83,Forest,False,2023-04-29,2025-07-01,794
SIH26017-PRJ-000059,Power Transmission Line Project - Jabalpur (0059),Madhya Pradesh,Jabalpur,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",76.65,4,291.86,Agricultural,False,2018-09-25,2019-07-16,294
SIH26017-PRJ-000060,State Highway Project - Raipur (0060),Chhattisgarh,Raipur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",64.3,3,709.27,Agricultural,False,2024-04-05,2027-10-13,1286
SIH26017-PRJ-000061,Renewable Energy Park Project - Jabalpur (0061),Madhya Pradesh,Jabalpur,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1734.06,41,864.92,Forest,False,2022-07-15,2027-12-21,1985
SIH26017-PRJ-000062,National Highway Project - Paschimi Singhbhum (0062),Jharkhand,Paschimi Singhbhum,National Highway,NHAI,Linear,"National Highways Act, 1956",123.87,9,511.7,Government-Wasteland,False,2020-09-10,2025-04-05,1668
SIH26017-PRJ-000063,Urban Water Supply/Sewerage Project - Udaipur (0063),Rajasthan,Udaipur,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",9.58,4,2215.59,Mixed,False,2020-12-16,2027-11-08,2518
SIH26017-PRJ-000064,Irrigation Canal/Dam Project - Purulia (0064),West Bengal,Purulia,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1333.04,46,2006.33,Forest,False,2019-02-26,2028-03-15,3305
SIH26017-PRJ-000065,National Highway Project - Patna (0065),Bihar,Patna,National Highway,NHAI,Linear,"National Highways Act, 1956",155.95,8,1458.9,Forest,False,2021-03-22,2027-01-05,2115
SIH26017-PRJ-000066,State Highway Project - Indore (0066),Madhya Pradesh,Indore,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",139.78,7,1843.09,Agricultural,False,2023-08-14,2024-12-23,497
SIH26017-PRJ-000067,State Highway Project - Rajkot (0067),Gujarat,Rajkot,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",95.67,7,1554.63,Forest,False,2017-01-02,2019-07-11,920
SIH26017-PRJ-000068,Irrigation Canal/Dam Project - Kamrup (0068),Assam,Kamrup,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1932.01,60,3496.38,Agricultural,False,2017-11-14,2025-05-25,2749
SIH26017-PRJ-000069,National Highway Project - Chennai (0069),Tamil Nadu,Chennai,National Highway,NHAI,Linear,"National Highways Act, 1956",156.69,6,1893.5,Agricultural,False,2016-10-12,2021-04-08,1639
SIH26017-PRJ-000070,National Highway Project - Varanasi (0070),Uttar Pradesh,Varanasi,National Highway,NHAI,Linear,"National Highways Act, 1956",202.07,12,1508.64,Homestead-Residential,False,2023-06-03,2027-06-23,1481
SIH26017-PRJ-000071,Railway Line/Doubling Project - Vadodara (0071),Gujarat,Vadodara,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",569.54,12,6631.47,Homestead-Residential,False,2018-04-08,2025-01-02,2461
SIH26017-PRJ-000072,State Highway Project - Jaipur (0072),Rajasthan,Jaipur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",39.39,2,192.57,Agricultural,False,2024-09-10,2031-11-06,2613
SIH26017-PRJ-000073,Industrial Corridor Project - Kamrup (0073),Assam,Kamrup,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",790.28,29,951.62,Agricultural,False,2023-02-13,2030-02-01,2545
SIH26017-PRJ-000074,State Highway Project - Gautam Buddh Nagar (0074),Uttar Pradesh,Gautam Buddh Nagar,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",25.0,9,1906.78,Forest,False,2015-11-20,2020-05-06,1629
SIH26017-PRJ-000075,Power Transmission Line Project - Chennai (0075),Tamil Nadu,Chennai,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",58.35,9,1352.19,Agricultural,False,2019-06-08,2023-05-01,1423
SIH26017-PRJ-000076,National Highway Project - Purba Bardhaman (0076),West Bengal,Purba Bardhaman,National Highway,NHAI,Linear,"National Highways Act, 1956",321.2,7,3014.78,Agricultural,False,2019-12-07,2022-07-02,938
SIH26017-PRJ-000077,Urban Water Supply/Sewerage Project - Kalahandi (0077),Odisha,Kalahandi,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",36.01,8,2408.34,Government-Wasteland,False,2015-06-20,2018-11-26,1255
SIH26017-PRJ-000078,Airport Expansion Project - Alwar (0078),Rajasthan,Alwar,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",700.51,18,3494.73,Homestead-Residential,False,2022-08-29,2029-05-03,2439
SIH26017-PRJ-000079,Irrigation Canal/Dam Project - Rajkot (0079),Gujarat,Rajkot,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1212.54,31,3410.25,Agricultural,False,2016-11-23,2025-11-26,3290
SIH26017-PRJ-000080,Urban Water Supply/Sewerage Project - Dhanbad (0080),Jharkhand,Dhanbad,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",45.71,7,2463.36,Homestead-Residential,False,2019-03-01,2027-06-02,3015
SIH26017-PRJ-000081,Mining Project Project - Kalahandi (0081),Odisha,Kalahandi,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",283.99,8,5948.85,Government-Wasteland,False,2019-07-19,2024-02-22,1679
SIH26017-PRJ-000082,Mining Project Project - Ballari (0082),Karnataka,Ballari,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1318.48,37,1502.62,Government-Wasteland,False,2022-07-11,2024-09-04,786
SIH26017-PRJ-000083,National Highway Project - Bastar (0083),Chhattisgarh,Bastar,National Highway,NHAI,Linear,"National Highways Act, 1956",238.03,12,3127.43,Mixed,False,2019-10-14,2023-03-01,1234
SIH26017-PRJ-000084,Railway Line/Doubling Project - Ballari (0084),Karnataka,Ballari,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",442.74,20,1570.48,Mixed,False,2020-07-26,2025-01-09,1628
SIH26017-PRJ-000085,Special Economic Zone Project - Jabalpur (0085),Madhya Pradesh,Jabalpur,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",2426.17,73,11953.44,Mixed,False,2023-10-01,2026-07-12,1015
SIH26017-PRJ-000086,National Highway Project - Muzaffarpur (0086),Bihar,Muzaffarpur,National Highway,NHAI,Linear,"National Highways Act, 1956",116.55,3,4234.42,Homestead-Residential,False,2023-02-19,2025-06-08,840
SIH26017-PRJ-000087,Airport Expansion Project - Gaya (0087),Bihar,Gaya,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",186.39,6,19694.68,Homestead-Residential,True,2018-08-06,2025-02-17,2387
SIH26017-PRJ-000088,State Highway Project - Kolkata (0088),West Bengal,Kolkata,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",130.46,4,1743.98,Mixed,False,2019-11-05,2023-10-23,1448
SIH26017-PRJ-000089,Special Economic Zone Project - Madurai (0089),Tamil Nadu,Madurai,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",2326.61,61,6492.35,Homestead-Residential,False,2015-07-20,2025-04-26,3568
SIH26017-PRJ-000090,Urban Water Supply/Sewerage Project - Hyderabad (0090),Telangana,Hyderabad,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",26.21,3,2027.86,Agricultural,False,2023-04-09,2024-07-21,469
SIH26017-PRJ-000091,National Highway Project - Howrah (0091),West Bengal,Howrah,National Highway,NHAI,Linear,"National Highways Act, 1956",318.2,12,2641.27,Homestead-Residential,False,2022-05-21,2023-10-11,508
SIH26017-PRJ-000092,State Highway Project - Jabalpur (0092),Madhya Pradesh,Jabalpur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",87.41,3,1842.38,Mixed,False,2022-08-16,2024-01-26,528
SIH26017-PRJ-000093,Mining Project Project - Cuttack (0093),Odisha,Cuttack,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1241.1,43,3581.62,Forest,False,2022-02-07,2030-05-05,3009
SIH26017-PRJ-000094,Mining Project Project - Pune (0094),Maharashtra,Pune,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",117.74,7,6566.54,Government-Wasteland,False,2022-01-12,2033-09-23,4272
SIH26017-PRJ-000095,Renewable Energy Park Project - Paschimi Singhbhum (0095),Jharkhand,Paschimi Singhbhum,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",858.16,25,9957.14,Forest,False,2017-04-27,2022-10-26,2008
SIH26017-PRJ-000096,Urban Metro Rail Project - Bastar (0096),Chhattisgarh,Bastar,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",71.5,2,5398.63,Government-Wasteland,True,2017-09-20,2020-10-31,1137
SIH26017-PRJ-000097,Irrigation Canal/Dam Project - Rajkot (0097),Gujarat,Rajkot,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",801.87,16,2647.8,Homestead-Residential,False,2024-04-12,2032-04-21,2931
SIH26017-PRJ-000098,National Highway Project - Karimnagar (0098),Telangana,Karimnagar,National Highway,NHAI,Linear,"National Highways Act, 1956",202.74,7,714.64,Government-Wasteland,False,2022-06-29,2026-04-08,1379
SIH26017-PRJ-000099,National Highway Project - Jabalpur (0099),Madhya Pradesh,Jabalpur,National Highway,NHAI,Linear,"National Highways Act, 1956",181.64,3,5806.71,Forest,False,2019-09-07,2021-10-27,781
SIH26017-PRJ-000100,National Highway Project - Dibrugarh (0100),Assam,Dibrugarh,National Highway,NHAI,Linear,"National Highways Act, 1956",361.3,12,180.99,Homestead-Residential,False,2022-04-22,2023-05-15,388
SIH26017-PRJ-000101,National Highway Project - Muzaffarpur (0101),Bihar,Muzaffarpur,National Highway,NHAI,Linear,"National Highways Act, 1956",182.59,9,5104.47,Government-Wasteland,False,2017-12-11,2021-05-04,1240
SIH26017-PRJ-000102,Mining Project Project - Thiruvananthapuram (0102),Kerala,Thiruvananthapuram,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1072.27,28,2480.68,Government-Wasteland,False,2021-05-20,2027-10-09,2333
SIH26017-PRJ-000103,Power Transmission Line Project - Indore (0103),Madhya Pradesh,Indore,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",15.05,3,264.95,Agricultural,False,2016-12-20,2017-03-24,94
SIH26017-PRJ-000104,Urban Metro Rail Project - Mysuru (0104),Karnataka,Mysuru,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",57.09,3,7491.54,Agricultural,False,2023-11-26,2025-03-13,473
SIH26017-PRJ-000105,Power Transmission Line Project - Purulia (0105),West Bengal,Purulia,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",17.01,5,1488.69,Forest,False,2022-08-06,2028-09-13,2230
SIH26017-PRJ-000106,State Highway Project - Khordha (0106),Odisha,Khordha,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",79.41,8,134.1,Homestead-Residential,False,2015-11-03,2023-06-07,2773
SIH26017-PRJ-000107,National Highway Project - Ahmedabad (0107),Gujarat,Ahmedabad,National Highway,NHAI,Linear,"National Highways Act, 1956",52.54,2,2388.1,Agricultural,False,2020-06-18,2022-12-06,901
SIH26017-PRJ-000108,Special Economic Zone Project - Bastar (0108),Chhattisgarh,Bastar,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1151.97,32,12703.64,Mixed,False,2023-11-29,2031-05-27,2736
SIH26017-PRJ-000109,Renewable Energy Park Project - Chhindwara (0109),Madhya Pradesh,Chhindwara,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",428.16,16,9747.54,Agricultural,True,2022-08-27,2024-01-31,522
SIH26017-PRJ-000110,Irrigation Canal/Dam Project - Durg (0110),Chhattisgarh,Durg,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1504.98,38,4706.65,Forest,False,2020-11-26,2027-08-03,2441
SIH26017-PRJ-000111,Urban Water Supply/Sewerage Project - Gautam Buddh Nagar (0111),Uttar Pradesh,Gautam Buddh Nagar,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",20.87,3,1416.73,Government-Wasteland,False,2022-09-16,2024-08-16,700
SIH26017-PRJ-000112,Urban Metro Rail Project - Bhopal (0112),Madhya Pradesh,Bhopal,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",36.01,1,10583.49,Agricultural,False,2016-01-18,2017-11-28,680
SIH26017-PRJ-000113,Renewable Energy Park Project - Udaipur (0113),Rajasthan,Udaipur,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",442.1,17,438.59,Forest,False,2022-02-01,2031-10-30,3558
