project_id,total_compensation_assessed_inr,compensation_disbursed_inr,percent_disbursed,number_of_beneficiaries,number_paid,disbursement_start_date,last_disbursement_date,solatium_percent,market_value_multiplier,compensation_dispute_flag,mode_of_payment,pending_compensation_inr
SIH26017-PRJ-000030,21588363581.01,15111854506.71,70.0,1720,1255,2024-09-19,2026-08-15,100.0,1.47,False,Direct Bank Transfer,6476509074.3
SIH26017-PRJ-000031,15291027074.62,3333443902.27,21.8,1252,271,2023-02-04,2024-01-16,100.0,1.29,False,Mixed,11957583172.35
SIH26017-PRJ-000032,287457652.45,256699683.64,89.3,64,56,2016-10-03,2025-05-14,100.0,2.0,False,Direct Bank Transfer,30757968.81
SIH26017-PRJ-000033,516938703.25,368060356.71,71.2,43,29,2023-07-06,2026-08-15,100.0,1.33,False,Direct Bank Transfer,148878346.54
SIH26017-PRJ-000034,3006053579.01,1518057057.4,50.5,1629,864,2024-02-17,2025-07-09,100.0,1.38,False,Land-for-Land,1487996521.61
SIH26017-PRJ-000035,190971495.32,168818801.86,88.4,15,14,2019-01-20,2026-08-15,100.0,2.0,False,Cheque,22152693.46
SIH26017-PRJ-000036,5088124080.75,3454836250.83,67.9,575,389,2019-06-06,2026-08-15,100.0,1.45,False,Direct Bank Transfer,1633287829.92
SIH26017-PRJ-000037,3033024617.24,679397514.26,22.4,297,65,2026-05-21,2025-05-03,100.0,1.21,False,Direct Bank Transfer,2353627102.98
SIH26017-PRJ-000038,23866175773.62,6372268931.56,26.7,1645,437,2025-06-20,2025-01-16,100.0,1.68,False,Direct Bank Transfer,17493906842.06
SIH26017-PRJ-000039,10170783038.75,772979510.95,7.6,615,49,,2025-10-11,100.0,1.26,False,Direct Bank Transfer,9397803527.8
SIH26017-PRJ-000040,1763998817.48,0.0,0.0,516,0,,,100.0,1.84,False,Mixed,1763998817.48
SIH26017-PRJ-000041,1610479050.71,1370517672.15,85.1,105,90,2022-04-25,2026-08-15,100.0,1.44,False,Direct Bank Transfer,239961378.56
SIH26017-PRJ-000042,431723556.18,226654866.99,52.5,70,36,2019-11-10,2026-08-15,100.0,1.45,False,Direct Bank Transfer,205068689.19
SIH26017-PRJ-000043,6405144386.08,2030430770.39,31.7,448,140,2021-04-20,2024-03-22,100.0,1.34,False,Direct Bank Transfer,4374713615.69
SIH26017-PRJ-000044,250702011.73,207831967.72,82.9,57,47,2019-08-13,2026-08-15,100.0,1.1,False,Direct Bank Transfer,42870044.01
SIH26017-PRJ-000045,9359409876.59,7216105014.85,77.1,558,433,2018-11-26,2026-08-15,100.0,1.34,False,Mixed,2143304861.74
SIH26017-PRJ-000046,985482314.98,474016993.51,48.1,287,143,2025-02-18,2025-11-27,100.0,1.63,False,Direct Bank Transfer,511465321.47
SIH26017-PRJ-000047,626622715.87,407304765.32,65.0,70,48,2021-03-06,2026-08-15,100.0,1.46,False,Cheque,219317950.55
SIH26017-PRJ-000048,16279500350.46,5079204109.34,31.2,1864,578,2026-04-19,2025-02-27,100.0,1.2,False,Direct Bank Transfer,11200296241.12
SIH26017-PRJ-000049,438453169.91,295517436.52,67.4,123,83,2016-01-14,2026-08-15,100.0,1.14,False,Direct Bank Transfer,142935733.39
SIH26017-PRJ-000050,1653131013.75,1124129089.35,68.0,256,172,2019-05-24,2026-08-15,100.0,1.49,False,Mixed,529001924.4
SIH26017-PRJ-000051,592923132.72,464851736.05,78.4,74,59,2024-04-08,2026-03-01,100.0,1.41,False,Direct Bank Transfer,128071396.67
SIH26017-PRJ-000052,103723763.45,61819363.02,59.6,36,21,2024-03-07,2025-10-25,100.0,1.2,False,Direct Bank Transfer,41904400.43
SIH26017-PRJ-000053,1083164138.24,682393407.09,63.0,320,201,2019-10-06,2026-08-15,100.0,1.04,True,Direct Bank Transfer,400770731.15
SIH26017-PRJ-000054,15054979335.02,11878378695.33,78.9,3090,2409,2019-06-09,2026-08-15,100.0,2.0,False,Mixed,3176600639.69
SIH26017-PRJ-000055,14758007447.85,0.0,0.0,799,0,,,100.0,1.58,True,Direct Bank Transfer,14758007447.85
SIH26017-PRJ-000056,949742254.63,722753855.77,76.1,52,40,2021-05-01,2026-08-15,100.0,1.62,False,Mixed,226988398.86
SIH26017-PRJ-000057,1827764870.72,0.0,0.0,80,0,,,100.0,2.0,False,Cheque,1827764870.72
SIH26017-PRJ-000058,796130089.86,644865372.79,81.0,99,81,2024-06-24,2026-04-03,100.0,1.3,False,Direct Bank Transfer,151264717.07
SIH26017-PRJ-000059,1487480363.08,107098586.14,7.2,90,6,,2023-02-12,100.0,1.36,False,Direct Bank Transfer,1380381776.94
SIH26017-PRJ-000060,809339830.6,244420628.84,30.2,73,22,2026-04-08,2025-11-16,100.0,1.23,False,Direct Bank Transfer,564919201.76
SIH26017-PRJ-000061,2415530505.02,248799642.02,10.3,2059,216,2026-08-06,2024-11-07,100.0,1.35,False,Direct Bank Transfer,2166730863.0
SIH26017-PRJ-000062,1903842414.05,1288901314.31,67.7,159,104,2024-03-31,2026-08-15,100.0,1.28,False,Mixed,614941099.74
SIH26017-PRJ-000063,32068020.94,21357301.95,66.6,8,5,2023-01-11,2025-12-28,100.0,1.33,False,Direct Bank Transfer,10710718.99
SIH26017-PRJ-000064,11430830434.55,6058340130.31,53.0,1604,851,2023-01-06,2024-12-17,100.0,1.3,False,Direct Bank Transfer,5372490304.24
SIH26017-PRJ-000065,340119244.07,316310896.99,93.0,196,189,2024-05-03,2026-01-08,100.0,1.26,False,Direct Bank Transfer,23808347.08
SIH26017-PRJ-000066,2497828082.02,2497828082.02,100.0,161,161,2024-05-11,2026-08-15,100.0,1.38,False,Land-for-Land,0.0
SIH26017-PRJ-000067,620004111.98,447022964.74,72.1,112,76,2018-01-21,2026-08-15,100.0,1.42,False,Mixed,172981147.24
SIH26017-PRJ-000068,4539197924.97,3222830526.73,71.0,2248,1586,2021-07-25,2026-08-15,100.0,1.41,False,Direct Bank Transfer,1316367398.24
SIH26017-PRJ-000069,2415932559.45,1751551105.6,72.5,195,142,2019-06-11,2026-08-15,100.0,1.49,False,Cheque,664381453.85
SIH26017-PRJ-000070,800615113.57,379491563.83,47.4,239,108,2025-09-22,2025-11-28,100.0,1.89,False,Direct Bank Transfer,421123549.74
SIH26017-PRJ-000071,3684758986.5,2682504542.17,72.8,668,487,2020-03-12,2026-08-15,100.0,1.28,False,Direct Bank Transfer,1002254444.33
SIH26017-PRJ-000072,138796798.23,0.0,0.0,51,0,,,100.0,1.32,False,Direct Bank Transfer,138796798.23
SIH26017-PRJ-000073,12712983079.4,3674052109.95,28.9,948,264,2025-08-10,2025-06-15,100.0,1.1,False,Direct Bank Transfer,9038930969.45
SIH26017-PRJ-000074,213954163.54,149340006.15,69.8,33,23,2018-11-15,2026-08-15,100.0,1.3,False,Direct Bank Transfer,64614157.39
SIH26017-PRJ-000075,642815013.21,566320026.64,88.1,66,57,2020-12-20,2026-08-15,100.0,1.22,False,Land-for-Land,76494986.57
SIH26017-PRJ-000076,5251948484.27,3665860042.02,69.8,396,284,2021-06-02,2026-08-15,100.0,1.46,False,Mixed,1586088442.25
SIH26017-PRJ-000077,693331797.74,408372428.87,58.9,41,23,2017-03-08,2026-08-15,100.0,1.0,False,Direct Bank Transfer,284959368.87
SIH26017-PRJ-000078,11376373464.77,2900975233.52,25.5,864,223,2025-09-25,2025-04-20,100.0,1.33,False,Cheque,8475398231.25
SIH26017-PRJ-000079,7185736378.2,6244404912.66,86.9,1424,1162,2020-12-17,2026-08-15,100.0,1.69,True,Direct Bank Transfer,941331465.54
SIH26017-PRJ-000080,1059766017.59,748194808.42,70.6,47,33,2022-01-01,2025-10-16,100.0,1.96,False,Direct Bank Transfer,311571209.17
SIH26017-PRJ-000081,4341288873.1,2695940390.2,62.1,364,234,2021-12-12,2026-08-15,100.0,1.49,False,Direct Bank Transfer,1645348482.9
SIH26017-PRJ-000082,20345090497.08,0.0,0.0,1599,0,,,100.0,1.46,False,Direct Bank Transfer,20345090497.08
SIH26017-PRJ-000083,3907070172.93,3106120787.48,79.5,287,223,2021-06-10,2026-08-15,100.0,1.77,False,Direct Bank Transfer,800949385.45
SIH26017-PRJ-000084,2807759352.77,1945777231.47,69.3,501,341,2021-12-21,2026-08-15,100.0,1.83,False,Cheque,861982121.3
SIH26017-PRJ-000085,39079922039.82,29857060438.42,76.4,2893,2321,2025-03-27,2026-08-15,100.0,1.53,False,Direct Bank Transfer,9222861601.4
SIH26017-PRJ-000086,191724004.72,138233007.4,72.1,140,98,2024-04-05,2026-08-15,100.0,2.0,False,Direct Bank Transfer,53490997.32
SIH26017-PRJ-000087,132099918.29,53368366.99,40.4,232,92,2023-06-23,2024-11-02,100.0,1.49,True,Mixed,78731551.3
SIH26017-PRJ-000088,2165743790.2,1972992592.87,91.1,166,154,2021-02-20,2026-08-15,100.0,1.7,False,Mixed,192751197.33
SIH26017-PRJ-000089,21598102068.86,11231013075.81,52.0,2853,1502,2019-11-15,2026-08-15,100.0,1.51,True,Direct Bank Transfer,10367088993.05
SIH26017-PRJ-000090,413521319.67,331644098.38,80.2,36,29,2023-11-30,2026-08-15,100.0,2.0,False,Direct Bank Transfer,81877221.29
SIH26017-PRJ-000091,5976691824.55,0.0,0.0,376,0,,,100.0,1.77,False,Land-for-Land,5976691824.55
SIH26017-PRJ-000092,889903526.22,889903526.22,100.0,110,110,2023-05-29,2026-08-15,100.0,1.73,False,Direct Bank Transfer,0.0
SIH26017-PRJ-000093,25127404916.81,1482516890.09,5.9,1479,83,,2024-08-12,100.0,1.58,False,Direct Bank Transfer,23644888026.72
SIH26017-PRJ-000094,1710465625.44,359197781.34,21.0,121,25,2026-06-12,2024-11-21,100.0,1.14,False,Cheque,1351267844.1
SIH26017-PRJ-000095,18235619080.72,0.0,0.0,1089,0,,,100.0,1.05,False,Direct Bank Transfer,18235619080.72
SIH26017-PRJ-000096,355908428.91,245220907.52,68.9,104,69,2018-12-16,2026-08-15,100.0,1.23,False,Direct Bank Transfer,110687521.39
SIH26017-PRJ-000097,973845620.95,0.0,0.0,1001,0,,,100.0,1.6,False,Direct Bank Transfer,973845620.95
SIH26017-PRJ-000098,3348905774.23,2099763920.44,62.7,230,149,2024-01-29,2026-08-15,100.0,1.21,False,Direct Bank Transfer,1249141853.79
SIH26017-PRJ-000099,4076387850.18,2759714574.57,67.7,230,150,2021-01-14,2026-08-15,100.0,1.24,False,Direct Bank Transfer,1316673275.61
SIH26017-PRJ-000100,7935533445.0,0.0,0.0,427,0,,,100.0,1.45,False,Direct Bank Transfer,7935533445.0
SIH26017-PRJ-000101,3020970007.57,1700806114.26,56.3,210,124,2019-04-25,2026-08-15,100.0,1.2,False,Direct Bank Transfer,1320163893.31
SIH26017-PRJ-000102,13500769322.56,8100461593.54,60.0,1202,708,2024-09-19,2025-08-23,100.0,1.49,False,Direct Bank Transfer,5400307729.02
SIH26017-PRJ-000103,112830162.05,0.0,0.0,17,0,,,100.0,1.5,False,Direct Bank Transfer,112830162.05
SIH26017-PRJ-000104,232371835.75,14407053.82,6.2,62,4,,2025-05-31,100.0,1.66,False,Direct Bank Transfer,217964781.93
SIH26017-PRJ-000105,65191493.83,34747066.21,53.3,26,14,2025-04-10,2025-09-22,100.0,1.05,True,Direct Bank Transfer,30444427.62
SIH26017-PRJ-000106,1454573400.9,1153476706.91,79.3,101,77,2019-07-12,2026-08-15,100.0,2.0,False,Land-for-Land,301096693.99
SIH26017-PRJ-000107,284924343.75,71800934.62,25.2,51,13,2022-02-10,2024-07-26,100.0,1.28,False,Direct Bank Transfer,213123409.13
SIH26017-PRJ-000108,20720504023.5,0.0,0.0,1367,0,,,100.0,1.84,False,Direct Bank Transfer,20720504023.5
SIH26017-PRJ-000109,4041848287.72,2809084559.97,69.5,559,371,2023-06-20,2026-08-15,100.0,1.23,False,Cheque,1232763727.75
SIH26017-PRJ-000110,26378668918.48,13743286506.53,52.1,1892,1001,2023-05-02,2025-06-18,100.0,1.3,False,Direct Bank Transfer,12635382411.95
SIH26017-PRJ-000111,50406511.76,41837404.76,83.0,41,32,2023-08-23,2026-08-15,100.0,1.18,False,Direct Bank Transfer,8569107.0
SIH26017-PRJ-000112,126657971.17,106899327.67,84.4,43,37,2017-01-13,2026-08-15,100.0,1.48,False,Mixed,19758643.5
SIH26017-PRJ-000113,6033952296.56,0.0,0.0,517,0,,,100.0,1.11,False,Direct Bank Transfer,6033952296.56
SIH26017-PRJ-000114,2442279156.55,1646096151.51,67.4,2123,1475,2020-08-29,2026-08-15,100.0,1.2,False,Direct Bank Transfer,796183005.04
SIH26017-PRJ-000115,38587137.98,30290903.31,78.5,12,9,2018-11-16,2026-08-15,100.0,1.06,False,Mixed,8296234.67
SIH26017-PRJ-000116,267991580.46,166690763.05,62.2,39,25,2019-07-17,2026-08-15,100.0,1.31,False,Direct Bank Transfer,101300817.41
SIH26017-PRJ-000117,8593842906.08,5078961157.49,59.1,1024,593,2021-01-21,2025-11-04,100.0,1.5,False,Direct Bank Transfer,3514881748.59
SIH26017-PRJ-000118,2167426049.09,1352473854.63,62.4,364,229,2020-03-18,2026-08-15,100.0,1.12,False,Land-for-Land,814952194.46
SIH26017-PRJ-000119,125146930.55,101869601.47,81.4,147,121,2025-01-28,2026-08-15,100.0,2.0,False,Direct Bank Transfer,23277329.08
SIH26017-PRJ-000120,3791161919.03,1702231701.64,44.9,950,443,2023-04-19,2025-03-29,100.0,1.44,True,Direct Bank Transfer,2088930217.39
SIH26017-PRJ-000121,572066559.7,42904991.98,7.5,572,42,,2021-10-06,100.0,1.16,False,Direct Bank Transfer,529161567.72
SIH26017-PRJ-000122,11661806765.65,0.0,0.0,1426,0,,,100.0,2.0,True,Direct Bank Transfer,11661806765.65
SIH26017-PRJ-000123,16674170065.9,3668317414.5,22.0,1237,279,2024-12-24,2025-01-23,100.0,1.42,False,Direct Bank Transfer,13005852651.4
SIH26017-PRJ-000124,23817973901.32,10527544464.38,44.2,1527,680,2018-10-17,2024-05-17,100.0,1.48,False,Direct Bank Transfer,13290429436.94
SIH26017-PRJ-000125,11919578447.55,9321110345.98,78.2,721,542,2019-02-04,2025-07-21,100.0,1.36,False,Land-for-Land,2598468101.57
SIH26017-PRJ-000126,5766985103.44,4550151246.61,78.9,543,449,2020-12-01,2026-08-15,100.0,1.09,False,Direct Bank Transfer,1216833856.83
SIH26017-PRJ-000127,3871986397.57,0.0,0.0,416,0,,,100.0,1.8,False,Mixed,3871986397.57
SIH26017-PRJ-000128,89130279.76,6328249.86,7.1,14,1,,2022-04-20,100.0,1.87,False,Direct Bank Transfer,82802029.9
SIH26017-PRJ-000129,276196518.42,0.0,0.0,82,0,,,100.0,1.18,False,Land-for-Land,276196518.42
SIH26017-PRJ-000130,1695549755.39,1392046349.18,82.1,215,174,2020-08-24,2026-08-15,100.0,1.48,False,Direct Bank Transfer,303503406.21
SIH26017-PRJ-000131,10878355107.94,6233297476.85,57.3,648,376,2025-01-30,2025-12-28,100.0,1.55,False,Direct Bank Transfer,4645057631.09
SIH26017-PRJ-000132,150164007.4,87095124.29,58.0,46,25,2017-09-19,2026-08-15,100.0,1.72,False,Land-for-Land,63068883.11
SIH26017-PRJ-000133,31290345671.44,24500340660.74,78.3,2465,1947,2021-05-31,2026-08-15,100.0,1.6,True,Direct Bank Transfer,6790005010.7
SIH26017-PRJ-000134,19092195327.84,14338238691.21,75.1,2104,1535,2020-12-08,2026-08-15,100.0,1.4,True,Direct Bank Transfer,4753956636.63
SIH26017-PRJ-000135,694039992.03,62463599.28,9.0,302,26,2026-08-05,2025-09-07,100.0,1.22,False,Direct Bank Transfer,631576392.75
SIH26017-PRJ-000136,235197974.01,205327831.31,87.3,269,229,2021-01-31,2026-08-15,100.0,1.7,False,Mixed,29870142.7
SIH26017-PRJ-000137,469102941.64,315237176.78,67.2,103,67,2024-08-15,2026-08-15,100.0,1.61,False,Direct Bank Transfer,153865764.86
SIH26017-PRJ-000138,735305348.14,612509355.0,83.3,68,59,2020-03-06,2026-08-15,100.0,1.53,False,Direct Bank Transfer,122795993.14
SIH26017-PRJ-000139,83873030.85,0.0,0.0,6,0,,,100.0,1.81,False,Direct Bank Transfer,83873030.85
SIH26017-PRJ-000140,684490128.13,454501445.08,66.4,66,44,2023-11-04,2026-02-17,100.0,1.61,False,Direct Bank Transfer,229988683.05
SIH26017-PRJ-000141,4161917281.0,2905018262.14,69.8,1098,775,2019-12-23,2026-08-15,100.0,1.81,True,Land-for-Land,1256899018.86
SIH26017-PRJ-000142,17829745159.69,13621925302.0,76.4,1858,1385,2023-06-06,2026-08-15,100.0,1.68,False,Direct Bank Transfer,4207819857.69
SIH26017-PRJ-000143,2129892267.03,1838097026.45,86.3,214,182,2018-03-21,2026-08-15,100.0,1.25,False,Land-for-Land,291795240.58
SIH26017-PRJ-000144,2574267435.46,2188127320.14,85.0,241,202,2024-03-14,2026-08-15,100.0,1.32,True,Direct Bank Transfer,386140115.32
SIH26017-PRJ-000145,5108333319.13,1624449995.48,31.8,1362,449,2022-04-14,2024-03-15,100.0,1.53,False,Direct Bank Transfer,3483883323.65
SIH26017-PRJ-000146,4815061313.98,351499475.92,7.3,471,35,,2025-06-02,100.0,1.0,False,Land-for-Land,4463561838.06
SIH26017-PRJ-000147,5200577155.46,4399688273.52,84.6,1053,866,2021-10-03,2026-08-15,100.0,1.39,False,Direct Bank Transfer,800888881.94
SIH26017-PRJ-000148,634134473.03,556135932.85,87.7,63,57,2024-08-20,2026-08-15,100.0,1.92,False,Direct Bank Transfer,77998540.18
SIH26017-PRJ-000149,12880342003.58,0.0,0.0,1136,0,,,100.0,1.97,True,Mixed,12880342003.58
SIH26017-PRJ-000150,35270583538.06,20139503200.23,57.1,3128,1705,2024-03-01,2025-04-09,100.0,1.52,False,Cheque,15131080337.83
SIH26017-PRJ-000151,73408583.02,50138062.2,68.3,63,42,2020-06-11,2025-09-04,100.0,1.38,False,Mixed,23270520.82
SIH26017-PRJ-000152,1428769131.72,0.0,0.0,294,0,,,100.0,1.11,False,Cheque,1428769131.72
SIH26017-PRJ-000153,3078223930.86,1425217679.99,46.3,1390,650,2021-12-08,2024-09-01,100.0,1.75,False,Mixed,1653006250.87
SIH26017-PRJ-000154,30137316.89,0.0,0.0,9,0,,,100.0,1.3,False,Direct Bank Transfer,30137316.89
SIH26017-PRJ-000155,11338539749.59,7041233184.5,62.1,2157,1361,2018-07-01,2026-08-15,100.0,1.32,False,Direct Bank Transfer,4297306565.09
SIH26017-PRJ-000156,621722365.71,507325450.42,81.6,96,77,2025-01-20,2026-08-15,100.0,1.64,True,Direct Bank Transfer,114396915.29
SIH26017-PRJ-000157,880783055.0,524946700.78,59.6,128,75,2020-01-27,2026-08-15,100.0,1.04,False,Mixed,355836354.22
SIH26017-PRJ-000158,19380777095.85,0.0,0.0,1254,0,,,100.0,1.9,False,Direct Bank Transfer,19380777095.85
SIH26017-PRJ-000159,46052012.85,2947328.82,6.4,7,0,,2025-06-01,100.0,1.36,True,Mixed,43104684.03
SIH26017-PRJ-000160,19211395864.84,11315512164.39,58.9,1611,996,2019-06-18,2026-08-15,100.0,2.0,False,Mixed,7895883700.45
SIH26017-PRJ-000161,502819080.09,350967717.9,69.8,43,32,2016-06-26,2026-08-15,100.0,2.0,False,Direct Bank Transfer,151851362.19
SIH26017-PRJ-000162,19766117419.91,0.0,0.0,1282,0,,,100.0,1.29,False,Mixed,19766117419.91
SIH26017-PRJ-000163,11527955717.47,10594191304.35,91.9,641,581,2023-03-06,2026-08-15,100.0,1.04,False,Cheque,933764413.12
SIH26017-PRJ-000164,7484173858.57,0.0,0.0,610,0,,,100.0,1.67,False,Mixed,7484173858.57
SIH26017-PRJ-000165,51932706813.6,24823833856.9,47.8,3470,1594,2023-05-30,2026-08-15,100.0,1.71,False,Direct Bank Transfer,27108872956.7
SIH26017-PRJ-000166,338196333.28,29761277.33,8.8,25,2,,2023-09-29,100.0,1.01,False,Direct Bank Transfer,308435055.95
SIH26017-PRJ-000167,617149262.66,0.0,0.0,123,0,,,100.0,1.65,False,Direct Bank Transfer,617149262.66
SIH26017-PRJ-000168,3170182695.81,1841876146.27,58.1,2214,1297,2021-04-24,2025-01-30,100.0,1.32,False,Mixed,1328306549.54
SIH26017-PRJ-000169,2293830653.34,146805161.81,6.4,459,29,,2022-10-30,100.0,1.29,False,Direct Bank Transfer,2147025491.53
SIH26017-PRJ-000170,39261403407.85,2434207011.29,6.2,2381,138,,2025-03-17,100.0,1.78,False,Direct Bank Transfer,36827196396.56
SIH26017-PRJ-000171,1190596566.9,319079879.93,26.8,315,83,2025-01-01,2025-04-17,100.0,1.56,False,Mixed,871516686.97
SIH26017-PRJ-000172,4989117816.6,0.0,0.0,430,0,,,100.0,1.37,False,Direct Bank Transfer,4989117816.6
SIH26017-PRJ-000173,34261666301.81,8942294904.77,26.1,3307,850,2026-02-11,2025-09-20,100.0,1.11,False,Direct Bank Transfer,25319371397.04
SIH26017-PRJ-000174,336930815.06,217320375.71,64.5,43,28,2021-08-03,2026-08-15,100.0,1.55,True,Direct Bank Transfer,119610439.35
SIH26017-PRJ-000175,81789623.45,50791356.16,62.1,128,79,2020-12-28,2026-08-15,100.0,1.49,False,Cheque,30998267.29
SIH26017-PRJ-000176,333194358.32,260557988.21,78.2,21,16,2017-12-12,2026-08-15,100.0,1.65,False,Direct Bank Transfer,72636370.11
SIH26017-PRJ-000177,295724429.94,135737513.34,45.9,17,8,2025-02-01,2025-10-22,100.0,2.0,False,Direct Bank Transfer,159986916.6
SIH26017-PRJ-000178,1445052874.42,0.0,0.0,115,0,,,100.0,2.0,True,Direct Bank Transfer,1445052874.42
SIH26017-PRJ-000179,2189907424.59,1491326956.15,68.1,107,73,2021-04-09,2026-08-15,100.0,1.45,False,Mixed,698580468.44
SIH26017-PRJ-000180,216111203.16,0.0,0.0,32,0,,,100.0,1.8,False,Direct Bank Transfer,216111203.16
SIH26017-PRJ-000181,2548549871.5,0.0,0.0,142,0,,,100.0,1.27,True,Cheque,2548549871.5
SIH26017-PRJ-000182,435082453.43,372430580.14,85.6,176,150,2021-03-08,2026-08-15,100.0,1.61,False,Land-for-Land,62651873.29
SIH26017-PRJ-000183,1205013051.15,766388300.53,63.6,155,98,2025-10-11,2026-02-17,100.0,1.62,False,Direct Bank Transfer,438624750.62
SIH26017-PRJ-000184,32186865220.12,7274231539.75,22.6,4500,1038,2025-10-23,2025-04-12,100.0,1.0,True,Cheque,24912633680.37
SIH26017-PRJ-000185,17417659485.85,0.0,0.0,1626,0,,,100.0,1.88,False,Cheque,17417659485.85
SIH26017-PRJ-000186,99962038.48,0.0,0.0,10,0,,,100.0,1.58,True,Land-for-Land,99962038.48
SIH26017-PRJ-000187,296093256.55,225326968.23,76.1,73,54,2023-11-12,2026-08-15,100.0,1.38,False,Direct Bank Transfer,70766288.32
SIH26017-PRJ-000188,29579340366.73,25881922820.89,87.5,3447,3062,2023-11-06,2026-08-15,100.0,1.37,False,Land-for-Land,3697417545.84
SIH26017-PRJ-000189,23666922073.62,19217540723.78,81.2,1846,1550,2020-03-05,2026-08-15,100.0,1.83,False,Direct Bank Transfer,4449381349.84
SIH26017-PRJ-000190,8287822654.55,0.0,0.0,479,0,,,100.0,1.08,False,Direct Bank Transfer,8287822654.55
SIH26017-PRJ-000191,76568116.83,56507270.22,73.8,49,37,2022-09-15,2026-08-15,100.0,1.34,False,Land-for-Land,20060846.61
