project_id,number_of_khasra_parcels,number_of_landowners,percent_land_clear_title,percent_land_disputed_ownership,percent_absentee_landowners,land_record_digitization_status,mutation_pending_percent,encumbrance_certificate_status,consent_percent_obtained,gazette_notification_status,document_completeness_percent,record_last_updated_date
SIH26017-PRJ-000025,399,294,74.4,30.9,16.0,Not Digitized,24.7,Pending,,Final Issued,52.8,2024-12-30
SIH26017-PRJ-000026,53,39,59.7,38.9,26.0,Fully Digitized,78.5,Pending,,Not Issued,1.2,2019-05-09
SIH26017-PRJ-000027,144,131,61.4,36.9,23.6,Partially Digitized,5.0,Pending,,Final Issued,77.5,2026-08-15
SIH26017-PRJ-000028,3344,2840,82.7,14.8,28.9,Partially Digitized,52.4,Clear,58.2,Draft Issued,36.3,2020-08-05
SIH26017-PRJ-000029,2164,1651,62.5,38.9,18.1,Fully Digitized,26.7,Pending,68.4,Final Issued,71.9,2025-08-16
SIH26017-PRJ-000030,2552,1720,76.9,17.8,19.8,Partially Digitized,5.0,Clear,67.1,Final Issued,78.3,2026-08-15
SIH26017-PRJ-000031,1782,1252,71.6,31.2,10.7,Not Digitized,36.2,Pending,55.3,Final Issued,61.3,2024-01-16
SIH26017-PRJ-000032,92,64,49.6,55.3,6.4,Partially Digitized,12.3,Pending,,Final Issued,80.2,2025-05-14
SIH26017-PRJ-000033,64,43,74.7,36.3,16.0,Partially Digitized,5.0,Pending,,Final Issued,77.8,2026-08-15
SIH26017-PRJ-000034,2516,1629,62.3,34.4,9.5,Not Digitized,28.8,Pending,,Final Issued,75.9,2025-07-09
SIH26017-PRJ-000035,15,15,60.1,36.0,24.3,Fully Digitized,5.0,Pending,,Final Issued,93.3,2026-08-15
SIH26017-PRJ-000036,835,575,70.9,28.9,20.6,Fully Digitized,5.0,Pending,57.3,Final Issued,79.8,2026-08-15
SIH26017-PRJ-000037,410,297,58.0,38.1,16.8,Fully Digitized,34.4,Pending,,Final Issued,55.8,2025-05-03
SIH26017-PRJ-000038,2257,1645,75.4,25.3,8.8,Fully Digitized,28.9,Clear,,Final Issued,53.8,2025-01-16
SIH26017-PRJ-000039,981,615,69.3,32.9,10.6,Partially Digitized,41.6,Pending,37.6,Draft Issued,43.3,2025-10-11
SIH26017-PRJ-000040,584,516,68.7,30.6,13.1,Not Digitized,78.7,Pending,,Not Issued,23.9,2021-03-17
SIH26017-PRJ-000041,187,105,68.9,26.5,10.6,Fully Digitized,5.0,Pending,,Final Issued,77.5,2026-08-15
SIH26017-PRJ-000042,73,70,99.1,2.8,13.4,Partially Digitized,5.0,Clear,,Final Issued,95.5,2026-08-15
SIH26017-PRJ-000043,629,448,63.5,34.5,15.7,Fully Digitized,35.4,Pending,,Final Issued,61.0,2024-03-22
SIH26017-PRJ-000044,57,57,66.7,27.5,16.4,Fully Digitized,5.0,Pending,,Final Issued,81.2,2026-08-15
SIH26017-PRJ-000045,760,558,76.3,28.7,15.5,Not Digitized,5.0,Clear,,Final Issued,91.5,2026-08-15
SIH26017-PRJ-000046,288,287,62.6,38.0,10.1,Fully Digitized,20.3,Pending,,Final Issued,65.4,2025-11-27
SIH26017-PRJ-000047,75,70,85.8,16.4,25.8,Partially Digitized,5.0,Clear,,Final Issued,66.0,2026-08-15
SIH26017-PRJ-000048,2164,1864,75.0,21.9,16.5,Fully Digitized,32.1,Pending,,Final Issued,69.0,2025-02-27
SIH26017-PRJ-000049,153,123,78.2,23.4,20.4,Partially Digitized,5.0,Clear,,Final Issued,79.1,2026-08-15
SIH26017-PRJ-000050,439,256,58.3,40.5,18.5,Fully Digitized,5.0,Pending,,Final Issued,61.7,2026-08-15
SIH26017-PRJ-000051,95,74,77.9,18.0,12.5,Partially Digitized,10.2,Clear,,Final Issued,64.2,2026-03-01
SIH26017-PRJ-000052,44,36,70.4,23.9,11.8,Fully Digitized,27.0,Pending,,Final Issued,74.1,2025-10-25
SIH26017-PRJ-000053,555,320,64.3,35.7,17.8,Fully Digitized,5.0,Pending,,Final Issued,73.7,2026-08-15
SIH26017-PRJ-000054,4810,3090,71.9,30.9,9.1,Partially Digitized,5.0,Pending,59.1,Final Issued,64.2,2026-08-15
SIH26017-PRJ-000055,1183,799,82.1,18.7,0.8,Partially Digitized,94.0,Clear,69.1,Not Issued,13.6,2022-12-28
SIH26017-PRJ-000056,57,52,58.3,40.5,18.8,Partially Digitized,5.0,Pending,,Final Issued,72.7,2026-08-15
SIH26017-PRJ-000057,85,80,60.1,37.9,14.7,Not Digitized,60.2,Pending,,Not Issued,20.3,2022-08-13
SIH26017-PRJ-000058,177,99,75.5,23.1,15.5,Partially Digitized,10.6,Clear,,Final Issued,86.0,2026-04-03
SIH26017-PRJ-000059,93,90,88.7,16.8,17.4,Not Digitized,37.1,Clear,,Final Issued,53.4,2023-02-12
SIH26017-PRJ-000060,79,73,66.8,38.8,22.6,Partially Digitized,32.8,Pending,,Final Issued,54.6,2025-11-16
SIH26017-PRJ-000061,2061,2059,52.3,43.3,10.0,Fully Digitized,57.7,Pending,58.3,Final Issued,49.1,2024-11-07
SIH26017-PRJ-000062,233,159,85.1,5.0,17.4,Partially Digitized,5.0,Clear,,Final Issued,92.5,2026-08-15
SIH26017-PRJ-000063,14,8,67.3,35.7,14.3,Fully Digitized,11.9,Pending,,Final Issued,75.1,2025-12-28
SIH26017-PRJ-000064,2835,1604,56.3,43.9,20.3,Partially Digitized,25.6,Pending,,Final Issued,63.0,2024-12-17
SIH26017-PRJ-000065,205,196,87.9,9.9,26.3,Partially Digitized,10.9,Clear,,Final Issued,66.5,2026-01-08
SIH26017-PRJ-000066,283,161,78.6,25.9,7.0,Fully Digitized,5.0,Clear,,Final Issued,90.2,2026-08-15
SIH26017-PRJ-000067,153,112,79.0,23.8,19.6,Not Digitized,5.0,Clear,,Final Issued,89.6,2026-08-15
SIH26017-PRJ-000068,3232,2248,51.9,48.8,12.3,Partially Digitized,5.0,Pending,,Final Issued,70.2,2026-08-15
SIH26017-PRJ-000069,235,195,52.2,50.3,24.0,Partially Digitized,5.0,Pending,,Final Issued,82.0,2026-08-15
SIH26017-PRJ-000070,241,239,70.6,29.9,22.3,Not Digitized,17.7,Pending,,Final Issued,69.7,2025-11-28
SIH26017-PRJ-000071,897,668,67.6,26.8,23.5,Partially Digitized,5.0,Pending,,Final Issued,86.0,2026-08-15
SIH26017-PRJ-000072,64,51,69.8,26.8,21.2,Partially Digitized,74.9,Pending,,Not Issued,19.9,2025-05-03
SIH26017-PRJ-000073,1598,948,49.1,48.2,10.1,Fully Digitized,37.0,Pending,54.2,Final Issued,47.7,2025-06-15
SIH26017-PRJ-000074,58,33,75.6,22.9,7.9,Fully Digitized,5.0,Clear,,Final Issued,90.5,2026-08-15
SIH26017-PRJ-000075,80,66,60.2,40.2,16.2,Not Digitized,5.0,Pending,,Final Issued,70.6,2026-08-15
SIH26017-PRJ-000076,585,396,52.8,39.9,16.6,Not Digitized,5.0,Pending,,Final Issued,92.9,2026-08-15
SIH26017-PRJ-000077,61,41,59.0,44.8,12.4,Partially Digitized,5.0,Pending,,Final Issued,79.6,2026-08-15
SIH26017-PRJ-000078,1139,864,75.5,28.4,16.0,Partially Digitized,29.7,Clear,,Final Issued,56.7,2025-04-20
SIH26017-PRJ-000079,2019,1424,57.0,35.2,23.0,Partially Digitized,5.0,Pending,,Final Issued,88.5,2026-08-15
SIH26017-PRJ-000080,50,47,60.3,37.2,13.4,Not Digitized,10.7,Pending,,Final Issued,67.8,2025-10-16
SIH26017-PRJ-000081,499,364,54.7,41.2,14.0,Partially Digitized,5.0,Pending,,Final Issued,71.9,2026-08-15
SIH26017-PRJ-000082,2731,1599,66.0,37.5,9.4,Fully Digitized,54.9,Pending,,Draft Issued,30.7,2024-05-06
SIH26017-PRJ-000083,403,287,61.2,41.4,14.3,Not Digitized,5.0,Pending,,Final Issued,82.3,2026-08-15
SIH26017-PRJ-000084,663,501,63.9,34.8,7.5,Not Digitized,5.0,Pending,,Final Issued,64.2,2026-08-15
SIH26017-PRJ-000085,2905,2893,67.4,34.2,10.9,Not Digitized,5.0,Pending,66.9,Final Issued,78.1,2026-08-15
SIH26017-PRJ-000086,173,140,81.7,18.5,15.2,Fully Digitized,5.0,Clear,,Final Issued,75.3,2026-08-15
SIH26017-PRJ-000087,369,232,66.0,33.6,8.7,Not Digitized,19.3,Pending,,Final Issued,63.2,2024-11-02
SIH26017-PRJ-000088,293,166,79.4,17.1,11.7,Not Digitized,5.0,Clear,,Final Issued,83.3,2026-08-15
SIH26017-PRJ-000089,4888,2853,74.4,26.8,9.0,Fully Digitized,5.0,Pending,56.3,Final Issued,74.9,2026-08-15
SIH26017-PRJ-000090,56,36,85.5,15.4,16.4,Partially Digitized,5.0,Clear,,Final Issued,91.0,2026-08-15
SIH26017-PRJ-000091,669,376,55.9,45.6,20.5,Not Digitized,66.1,Pending,,Not Issued,21.8,2023-10-19
SIH26017-PRJ-000092,147,110,85.4,10.8,8.1,Partially Digitized,5.0,Clear,,Final Issued,89.6,2026-08-15
SIH26017-PRJ-000093,2130,1479,65.5,36.2,19.8,Partially Digitized,53.0,Pending,,Draft Issued,46.2,2024-08-12
SIH26017-PRJ-000094,182,121,55.8,41.1,5.9,Not Digitized,45.6,Pending,,Final Issued,54.6,2024-11-21
SIH26017-PRJ-000095,1802,1089,61.3,46.0,21.2,Fully Digitized,58.0,Pending,43.8,Draft Issued,37.0,2021-06-15
SIH26017-PRJ-000096,122,104,60.6,37.5,9.1,Not Digitized,5.0,Pending,,Final Issued,76.4,2026-08-15
SIH26017-PRJ-000097,1328,1001,66.3,37.4,21.6,Partially Digitized,56.4,Pending,,Not Issued,22.6,2025-01-22
SIH26017-PRJ-000098,271,230,78.0,26.2,23.9,Fully Digitized,5.0,Clear,,Final Issued,70.1,2026-08-15
SIH26017-PRJ-000099,350,230,100.0,3.2,30.9,Fully Digitized,5.0,Clear,,Final Issued,73.5,2026-08-15
SIH26017-PRJ-000100,530,427,48.2,51.3,8.3,Fully Digitized,69.9,Pending,,Not Issued,11.4,2023-04-07
SIH26017-PRJ-000101,296,210,80.8,19.6,6.0,Fully Digitized,5.0,Clear,,Final Issued,77.3,2026-08-15
SIH26017-PRJ-000102,2027,1202,54.0,38.0,17.2,Not Digitized,15.7,Pending,,Final Issued,60.2,2025-08-23
SIH26017-PRJ-000103,24,17,69.1,28.2,3.5,Not Digitized,78.0,Pending,,Not Issued,1.5,2018-01-16
SIH26017-PRJ-000104,76,62,86.4,8.3,11.9,Partially Digitized,31.8,Clear,,Final Issued,46.5,2025-05-31
SIH26017-PRJ-000105,43,26,69.7,36.8,10.2,Fully Digitized,19.7,Pending,,Final Issued,65.3,2025-09-22
SIH26017-PRJ-000106,103,101,48.7,43.8,16.9,Fully Digitized,5.0,Pending,,Final Issued,82.6,2026-08-15
SIH26017-PRJ-000107,58,51,71.0,22.7,13.9,Fully Digitized,29.1,Pending,,Final Issued,62.0,2024-07-26
SIH26017-PRJ-000108,1611,1367,54.7,47.2,29.3,Partially Digitized,48.9,Pending,68.4,Not Issued,35.2,2025-02-11
SIH26017-PRJ-000109,852,559,87.8,10.5,14.8,Fully Digitized,5.0,Clear,63.5,Final Issued,86.0,2026-08-15
SIH26017-PRJ-000110,2399,1892,58.4,45.2,9.1,Not Digitized,17.9,Pending,,Final Issued,51.9,2025-06-18
SIH26017-PRJ-000111,44,41,84.1,15.3,20.7,Not Digitized,5.0,Clear,,Final Issued,99.8,2026-08-15
SIH26017-PRJ-000112,53,43,82.1,19.4,11.2,Not Digitized,5.0,Clear,,Final Issued,84.2,2026-08-15
SIH26017-PRJ-000113,771,517,52.3,43.9,18.3,Partially Digitized,85.1,Pending,52.7,Not Issued,21.6,2023-08-07
SIH26017-PRJ-000114,2717,2123,87.7,7.1,14.2,Not Digitized,5.0,Clear,,Final Issued,77.5,2026-08-15
SIH26017-PRJ-000115,14,12,62.9,35.8,25.2,Fully Digitized,5.0,Pending,,Final Issued,89.0,2026-08-15
SIH26017-PRJ-000116,67,39,94.3,5.5,5.5,Partially Digitized,5.0,Clear,,Final Issued,84.8,2026-08-15
SIH26017-PRJ-000117,1186,1024,82.4,30.5,15.9,Fully Digitized,11.5,Clear,86.7,Final Issued,77.1,2025-11-04
SIH26017-PRJ-000118,440,364,71.8,26.6,19.9,Partially Digitized,5.0,Pending,,Final Issued,67.8,2026-08-15
SIH26017-PRJ-000119,231,147,74.4,31.6,4.3,Not Digitized,5.0,Pending,,Final Issued,87.1,2026-08-15
SIH26017-PRJ-000120,1453,950,70.6,34.2,16.9,Partially Digitized,28.8,Pending,,Final Issued,72.7,2025-03-29
SIH26017-PRJ-000121,804,572,54.9,43.7,12.5,Not Digitized,45.2,Pending,,Final Issued,44.2,2021-10-06
SIH26017-PRJ-000122,2390,1426,58.9,38.0,11.4,Partially Digitized,82.4,Pending,49.3,Not Issued,13.6,2024-05-30
SIH26017-PRJ-000123,1973,1237,67.1,33.7,25.6,Partially Digitized,32.4,Pending,,Final Issued,62.8,2025-01-23
SIH26017-PRJ-000124,2559,1527,77.6,22.2,16.4,Partially Digitized,23.9,Clear,,Final Issued,61.4,2024-05-17
SIH26017-PRJ-000125,922,721,73.3,33.1,14.6,Fully Digitized,11.4,Pending,,Final Issued,75.9,2025-07-21
SIH26017-PRJ-000126,627,543,89.2,10.2,16.7,Not Digitized,5.0,Clear,52.9,Final Issued,77.0,2026-08-15
SIH26017-PRJ-000127,723,416,77.4,23.6,13.8,Not Digitized,72.1,Clear,,Not Issued,12.2,2024-11-09
SIH26017-PRJ-000128,17,14,67.4,31.4,22.9,Not Digitized,46.1,Pending,,Final Issued,41.2,2022-04-20
SIH26017-PRJ-000129,100,82,79.3,20.0,10.7,Partially Digitized,95.0,Clear,,Not Issued,10.8,2021-03-25
SIH26017-PRJ-000130,255,215,81.8,17.8,10.3,Fully Digitized,5.0,Clear,,Final Issued,90.4,2026-08-15
SIH26017-PRJ-000131,739,648,64.0,38.8,13.2,Partially Digitized,17.5,Pending,,Final Issued,78.7,2025-12-28
SIH26017-PRJ-000132,70,46,81.7,14.4,0.9,Partially Digitized,5.0,Clear,,Final Issued,87.7,2026-08-15
SIH26017-PRJ-000133,3997,2465,70.9,28.5,18.2,Partially Digitized,5.0,Pending,54.1,Final Issued,87.3,2026-08-15
SIH26017-PRJ-000134,3668,2104,64.2,36.7,19.9,Fully Digitized,5.0,Pending,56.9,Final Issued,68.1,2026-08-15
SIH26017-PRJ-000135,354,302,62.5,30.9,19.6,Partially Digitized,34.4,Pending,43.1,Final Issued,42.8,2025-09-07
SIH26017-PRJ-000136,432,269,74.0,19.7,23.3,Fully Digitized,5.0,Pending,,Final Issued,94.2,2026-08-15
SIH26017-PRJ-000137,135,103,72.1,27.5,17.4,Fully Digitized,5.0,Pending,,Final Issued,86.8,2026-08-15
SIH26017-PRJ-000138,73,68,93.3,0.8,9.4,Not Digitized,5.0,Clear,,Final Issued,85.8,2026-08-15
SIH26017-PRJ-000139,7,6,71.3,26.3,21.0,Partially Digitized,76.9,Pending,,Not Issued,26.2,2023-10-17
SIH26017-PRJ-000140,82,66,80.7,18.1,13.9,Partially Digitized,12.1,Clear,,Final Issued,66.9,2026-02-17
SIH26017-PRJ-000141,1934,1098,48.5,49.5,10.0,Partially Digitized,5.0,Pending,,Final Issued,56.6,2026-08-15
SIH26017-PRJ-000142,3016,1858,81.7,17.9,23.5,Partially Digitized,5.0,Clear,56.4,Final Issued,69.4,2026-08-15
SIH26017-PRJ-000143,247,214,79.5,24.6,8.4,Partially Digitized,5.0,Clear,,Final Issued,89.8,2026-08-15
SIH26017-PRJ-000144,380,241,92.3,8.6,12.5,Fully Digitized,5.0,Clear,,Final Issued,96.8,2026-08-15
SIH26017-PRJ-000145,2218,1362,60.3,36.8,22.0,Partially Digitized,25.8,Pending,42.3,Final Issued,54.4,2024-03-15
SIH26017-PRJ-000146,633,471,68.3,34.8,21.5,Partially Digitized,40.0,Pending,71.7,Draft Issued,35.7,2025-06-02
SIH26017-PRJ-000147,1424,1053,59.4,49.1,14.4,Partially Digitized,5.0,Pending,69.0,Final Issued,76.8,2026-08-15
SIH26017-PRJ-000148,64,63,94.7,8.7,9.3,Partially Digitized,5.0,Clear,,Final Issued,69.6,2026-08-15
SIH26017-PRJ-000149,1242,1136,54.0,49.8,31.6,Partially Digitized,55.3,Pending,71.5,Not Issued,28.0,2024-06-06
SIH26017-PRJ-000150,5076,3128,63.0,37.4,16.0,Partially Digitized,26.9,Pending,61.5,Final Issued,66.1,2025-04-09
SIH26017-PRJ-000151,100,63,78.8,19.3,19.9,Not Digitized,13.1,Clear,,Final Issued,67.0,2025-09-04
SIH26017-PRJ-000152,449,294,79.6,6.7,4.1,Not Digitized,71.6,Clear,,Not Issued,1.1,2018-06-01
SIH26017-PRJ-000153,2368,1390,54.9,40.6,5.5,Partially Digitized,28.8,Pending,,Final Issued,66.0,2024-09-01
SIH26017-PRJ-000154,12,9,61.6,34.7,22.6,Fully Digitized,59.1,Pending,,Not Issued,0.8,2024-03-07
SIH26017-PRJ-000155,2538,2157,52.8,36.7,15.9,Fully Digitized,5.0,Pending,,Final Issued,82.1,2026-08-15
SIH26017-PRJ-000156,155,96,64.9,27.9,26.0,Partially Digitized,5.0,Pending,,Final Issued,74.5,2026-08-15
SIH26017-PRJ-000157,219,128,73.1,29.5,30.1,Not Digitized,5.0,Pending,,Final Issued,76.9,2026-08-15
SIH26017-PRJ-000158,1269,1254,62.7,27.3,27.0,Partially Digitized,65.6,Pending,,Not Issued,1.0,2018-09-12
SIH26017-PRJ-000159,10,7,72.0,35.1,6.1,Fully Digitized,46.2,Pending,,Final Issued,37.4,2025-06-01
SIH26017-PRJ-000160,2064,1611,69.5,31.7,19.6,Partially Digitized,5.0,Pending,47.0,Final Issued,73.9,2026-08-15
SIH26017-PRJ-000161,77,43,84.3,17.2,3.2,Partially Digitized,5.0,Clear,,Final Issued,87.2,2026-08-15
SIH26017-PRJ-000162,1292,1282,75.3,21.9,7.9,Partially Digitized,60.0,Clear,49.2,Not Issued,36.3,2024-07-20
SIH26017-PRJ-000163,893,641,79.9,13.9,9.9,Not Digitized,5.0,Clear,50.4,Final Issued,83.9,2026-08-15
SIH26017-PRJ-000164,889,610,67.6,34.7,12.5,Partially Digitized,66.4,Pending,,Not Issued,9.9,2019-04-15
SIH26017-PRJ-000165,3803,3470,43.8,60.0,24.0,Partially Digitized,5.0,Pending,36.8,Final Issued,78.8,2026-08-15
SIH26017-PRJ-000166,42,25,70.1,30.1,12.3,Fully Digitized,34.5,Pending,,Final Issued,51.7,2023-09-29
SIH26017-PRJ-000167,206,123,67.2,34.9,24.7,Partially Digitized,71.2,Pending,,Draft Issued,34.8,2025-02-22
SIH26017-PRJ-000168,3905,2214,58.5,40.6,18.5,Partially Digitized,20.3,Pending,,Final Issued,71.7,2025-01-30
SIH26017-PRJ-000169,751,459,65.4,34.0,12.3,Not Digitized,57.1,Pending,,Final Issued,49.3,2022-10-30
SIH26017-PRJ-000170,3552,2381,66.3,33.2,27.1,Fully Digitized,45.9,Pending,50.9,Draft Issued,41.7,2025-03-17
SIH26017-PRJ-000171,342,315,69.8,24.1,20.4,Not Digitized,34.8,Pending,,Final Issued,54.3,2025-04-17
SIH26017-PRJ-000172,572,430,51.6,42.9,25.8,Partially Digitized,60.4,Pending,,Not Issued,22.3,2022-06-24
SIH26017-PRJ-000173,3716,3307,82.8,22.0,20.2,Fully Digitized,39.5,Clear,35.2,Final Issued,55.5,2025-09-20
SIH26017-PRJ-000174,45,43,75.9,21.9,22.6,Not Digitized,5.0,Clear,,Final Issued,81.1,2026-08-15
SIH26017-PRJ-000175,151,128,74.2,26.7,9.3,Fully Digitized,5.0,Pending,,Final Issued,63.8,2026-08-15
SIH26017-PRJ-000176,23,21,80.2,19.0,21.6,Partially Digitized,5.0,Clear,,Final Issued,71.0,2026-08-15
SIH26017-PRJ-000177,27,17,78.5,19.4,0.1,Not Digitized,19.0,Clear,,Final Issued,72.5,2025-10-22
SIH26017-PRJ-000178,134,115,71.9,25.0,4.1,Partially Digitized,59.2,Pending,,Not Issued,42.5,2024-06-28
SIH26017-PRJ-000179,115,107,81.2,13.3,15.2,Partially Digitized,5.0,Clear,,Final Issued,76.3,2026-08-15
SIH26017-PRJ-000180,51,32,82.7,9.3,20.7,Partially Digitized,63.0,Clear,,Not Issued,25.6,2019-06-08
SIH26017-PRJ-000181,156,142,66.0,33.5,28.2,Not Digitized,51.4,Pending,47.0,Not Issued,40.1,2024-10-25
SIH26017-PRJ-000182,206,176,72.8,20.3,3.0,Fully Digitized,5.0,Pending,,Final Issued,89.8,2026-08-15
SIH26017-PRJ-000183,247,155,77.9,26.7,3.4,Partially Digitized,25.7,Clear,,Final Issued,74.7,2026-02-17
SIH26017-PRJ-000184,5038,4500,67.8,36.6,23.2,Fully Digitized,42.2,Pending,54.5,Final Issued,59.7,2025-04-12
SIH26017-PRJ-000185,2062,1626,37.0,53.2,18.0,Partially Digitized,89.5,Encumbered,,Not Issued,0.9,2018-07-23
SIH26017-PRJ-000186,17,10,71.5,36.6,23.5,Partially Digitized,70.6,Pending,,Not Issued,23.7,2020-08-05
SIH26017-PRJ-000187,110,73,74.0,21.4,18.1,Partially Digitized,5.0,Pending,,Final Issued,75.3,2026-08-15
SIH26017-PRJ-000188,5835,3447,89.0,12.0,2.6,Partially Digitized,5.0,Clear,82.8,Final Issued,73.6,2026-08-15
SIH26017-PRJ-000189,2615,1846,67.5,33.3,20.0,Fully Digitized,5.0,Pending,61.4,Final Issued,50.2,2026-08-15
SIH26017-PRJ-000190,799,479,74.1,29.6,10.9,Fully Digitized,54.5,Pending,52.5,Not Issued,25.7,2021-07-10
SIH26017-PRJ-000191,85,49,75.6,22.7,15.6,Fully Digitized,5.0,Clear,,Final Issued,75.1,2026-08-15
SIH26017-PRJ-000192,1262,975,68.2,35.2,20.9,Not Digitized,5.0,Pending,53.3,Final Issued,78.5,2026-08-15
SIH26017-PRJ-000193,75,46,84.4,22.4,9.5,Partially Digitized,5.0,Clear,,Final Issued,81.1,2026-08-15
SIH26017-PRJ-000194,45,36,61.4,36.0,15.8,Fully Digitized,5.0,Pending,,Final Issued,71.7,2026-08-15
SIH26017-PRJ-000195,34,28,55.3,40.5,22.6,Fully Digitized,5.0,Pending,,Final Issued,73.2,2026-08-15
SIH26017-PRJ-000196,2911,1769,67.0,35.2,20.6,Fully Digitized,52.3,Pending,,Draft Issued,36.6,2024-05-30
SIH26017-PRJ-000197,2875,2140,53.4,45.3,24.0,Not Digitized,5.0,Pending,60.0,Final Issued,87.8,2026-08-15
SIH26017-PRJ-000198,130,116,63.2,42.9,17.9,Fully Digitized,65.5,Pending,,Not Issued,14.2,2022-06-27
SIH26017-PRJ-000199,4945,3883,41.2,54.5,19.3,Partially Digitized,71.7,Pending,41.0,Not Issued,17.1,2024-11-24
SIH26017-PRJ-000200,204,122,81.8,13.1,22.1,Not Digitized,15.4,Clear,,Final Issued,73.3,2025-12-09
SIH26017-PRJ-000201,1737,1277,69.3,32.9,12.3,Fully Digitized,26.1,Pending,,Final Issued,67.3,2025-07-30
SIH26017-PRJ-000202,33,19,70.2,27.0,13.1,Partially Digitized,5.0,Pending,,Final Issued,79.7,2026-08-15
SIH26017-PRJ-000203,4003,3556,56.2,46.8,9.5,Fully Digitized,40.5,Pending,59.9,Draft Issued,39.4,2025-04-10
SIH26017-PRJ-000204,661,462,56.9,46.6,15.1,Not Digitized,36.6,Pending,,Final Issued,43.4,2023-12-23
SIH26017-PRJ-000205,871,726,60.4,30.5,16.2,Not Digitized,69.5,Pending,,Not Issued,1.0,2024-04-18
SIH26017-PRJ-000206,8,6,71.3,27.6,22.5,Fully Digitized,39.5,Pending,,Final Issued,51.2,2023-05-03
SIH26017-PRJ-000207,2406,2131,69.2,34.6,13.0,Fully Digitized,63.8,Pending,52.7,Draft Issued,33.6,2021-09-12
SIH26017-PRJ-000208,3194,2505,76.6,25.6,20.6,Not Digitized,47.2,Clear,49.3,Draft Issued,47.8,2024-11-05
SIH26017-PRJ-000209,113,65,49.0,48.4,9.5,Partially Digitized,5.0,Pending,,Final Issued,73.5,2026-08-15
SIH26017-PRJ-000210,6000,4500,53.8,54.4,9.9,Partially Digitized,5.0,Pending,55.0,Final Issued,76.6,2026-08-15
SIH26017-PRJ-000211,524,450,100.0,0.5,12.8,Fully Digitized,5.0,Clear,,Final Issued,86.7,2026-08-15
