project_id,case_id,case_type,court_level,filing_date,status,stay_order_active_flag,expected_resolution_date,actual_resolution_date,impact_on_project,number_of_petitioners
SIH26017-PRJ-000036,SIH26017-PRJ-000036-CASE-01,Title Dispute,District Court,2020-04-18,Disposed-against,False,2021-02-12,2021-02-13,Medium,1
SIH26017-PRJ-000037,SIH26017-PRJ-000037-CASE-01,Compensation Quantum Dispute,High Court,2028-11-03,Pending,False,2030-06-26,,High,3
SIH26017-PRJ-000038,SIH26017-PRJ-000038-CASE-01,Land Acquisition Validity,District Court,2027-07-23,Pending,True,2028-05-18,,High,1
SIH26017-PRJ-000040,SIH26017-PRJ-000040-CASE-01,Compensation Quantum Dispute,High Court,2021-05-13,Disposed-in-favor,False,2023-01-03,2023-09-01,High,3
SIH26017-PRJ-000041,SIH26017-PRJ-000041-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-01-15,Disposed-in-favor,False,2022-08-23,2022-10-28,Medium,3
SIH26017-PRJ-000041,SIH26017-PRJ-000041-CASE-02,Environmental Challenge,LA Authority/Tribunal,2022-09-16,Pending,True,2023-04-24,,High,4
SIH26017-PRJ-000042,SIH26017-PRJ-000042-CASE-01,Title Dispute,District Court,2019-09-18,Pending,False,2020-07-14,,Medium,2
SIH26017-PRJ-000042,SIH26017-PRJ-000042-CASE-02,Environmental Challenge,LA Authority/Tribunal,2020-06-18,Pending,False,2021-01-24,,High,2
SIH26017-PRJ-000043,SIH26017-PRJ-000043-CASE-01,Title Dispute,District Court,2020-02-04,Disposed-in-favor,False,2020-11-30,2020-09-30,Low,4
SIH26017-PRJ-000047,SIH26017-PRJ-000047-CASE-01,Land Acquisition Validity,District Court,2023-02-20,Disposed-in-favor,False,2023-12-17,2023-11-30,High,8
SIH26017-PRJ-000049,SIH26017-PRJ-000049-CASE-01,Compensation Quantum Dispute,District Court,2016-06-03,Disposed-in-favor,False,2017-03-30,2018-03-20,Medium,4
SIH26017-PRJ-000050,SIH26017-PRJ-000050-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-06-14,Disposed-in-favor,False,2023-01-20,2022-12-15,Medium,5
SIH26017-PRJ-000050,SIH26017-PRJ-000050-CASE-02,Compensation Quantum Dispute,High Court,2022-11-03,Disposed-against,False,2024-06-25,2026-02-12,High,3
SIH26017-PRJ-000051,SIH26017-PRJ-000051-CASE-01,Environmental Challenge,High Court,2026-12-29,Pending,False,2028-08-20,,High,1
SIH26017-PRJ-000051,SIH26017-PRJ-000051-CASE-02,Others,Supreme Court,2026-11-27,Pending,False,2029-07-04,,High,7
SIH26017-PRJ-000053,SIH26017-PRJ-000053-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2021-01-25,Pending,False,2021-09-02,,Low,5
SIH26017-PRJ-000053,SIH26017-PRJ-000053-CASE-02,Title Dispute,LA Authority/Tribunal,2021-01-19,Pending,False,2021-08-27,,Low,2
SIH26017-PRJ-000054,SIH26017-PRJ-000054-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2019-12-16,Withdrawn,False,2020-07-23,2020-06-03,Medium,5
SIH26017-PRJ-000054,SIH26017-PRJ-000054-CASE-02,Title Dispute,District Court,2018-09-04,Withdrawn,False,2019-07-01,2019-01-18,Medium,1
SIH26017-PRJ-000054,SIH26017-PRJ-000054-CASE-03,Environmental Challenge,High Court,2017-08-28,Withdrawn,False,2019-04-20,2019-06-01,High,2
SIH26017-PRJ-000055,SIH26017-PRJ-000055-CASE-01,Compensation Quantum Dispute,District Court,2024-05-23,Pending,False,2025-03-19,,Medium,7
SIH26017-PRJ-000057,SIH26017-PRJ-000057-CASE-01,Land Acquisition Validity,District Court,2025-06-22,Pending,False,2026-04-18,,High,1
SIH26017-PRJ-000058,SIH26017-PRJ-000058-CASE-01,Title Dispute,High Court,2024-04-03,Disposed-in-favor,False,2025-11-24,2026-06-03,High,1
SIH26017-PRJ-000061,SIH26017-PRJ-000061-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2025-10-01,Disposed-in-favor,False,2026-05-09,2026-04-13,Low,7
SIH26017-PRJ-000062,SIH26017-PRJ-000062-CASE-01,Compensation Quantum Dispute,District Court,2022-08-16,Disposed-in-favor,False,2023-06-12,2023-08-10,Low,3
SIH26017-PRJ-000063,SIH26017-PRJ-000063-CASE-01,Title Dispute,High Court,2024-02-10,Disposed-against,False,2025-10-02,2024-11-04,High,3
SIH26017-PRJ-000063,SIH26017-PRJ-000063-CASE-02,Title Dispute,LA Authority/Tribunal,2023-07-03,Withdrawn,False,2024-02-08,2024-06-08,Medium,2
SIH26017-PRJ-000071,SIH26017-PRJ-000071-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2023-06-27,Withdrawn,False,2024-02-02,2024-03-06,Low,4
SIH26017-PRJ-000071,SIH26017-PRJ-000071-CASE-02,Title Dispute,District Court,2022-02-13,Disposed-in-favor,False,2022-12-10,2023-02-02,Medium,1
SIH26017-PRJ-000075,SIH26017-PRJ-000075-CASE-01,Public Interest Litigation,District Court,2020-12-16,Disposed-in-favor,False,2021-10-12,2021-12-19,Medium,23
SIH26017-PRJ-000076,SIH26017-PRJ-000076-CASE-01,Compensation Quantum Dispute,High Court,2021-05-26,Disposed-in-favor,False,2023-01-16,2024-02-26,High,7
SIH26017-PRJ-000077,SIH26017-PRJ-000077-CASE-01,Public Interest Litigation,District Court,2017-06-24,Pending,True,2018-04-20,,Medium,24
SIH26017-PRJ-000077,SIH26017-PRJ-000077-CASE-02,Compensation Quantum Dispute,District Court,2016-09-04,Disposed-in-favor,False,2017-07-01,2017-11-03,Low,1
SIH26017-PRJ-000078,SIH26017-PRJ-000078-CASE-01,Land Acquisition Validity,District Court,2026-10-23,Pending,False,2027-08-19,,High,2
SIH26017-PRJ-000079,SIH26017-PRJ-000079-CASE-01,Compensation Quantum Dispute,District Court,2018-04-04,Pending,False,2019-01-29,,Low,5
SIH26017-PRJ-000080,SIH26017-PRJ-000080-CASE-01,Others,LA Authority/Tribunal,2025-11-28,Pending,False,2026-07-06,,Medium,5
SIH26017-PRJ-000080,SIH26017-PRJ-000080-CASE-02,Compensation Quantum Dispute,District Court,2021-01-27,Disposed-in-favor,False,2021-11-23,2022-01-09,Low,3
SIH26017-PRJ-000081,SIH26017-PRJ-000081-CASE-01,Environmental Challenge,High Court,2021-06-12,Withdrawn,False,2023-02-02,2025-02-06,High,3
SIH26017-PRJ-000086,SIH26017-PRJ-000086-CASE-01,Public Interest Litigation,District Court,2024-04-17,Pending,False,2025-02-11,,Low,16
SIH26017-PRJ-000087,SIH26017-PRJ-000087-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-08-06,Pending,False,2023-03-14,,Medium,4
SIH26017-PRJ-000089,SIH26017-PRJ-000089-CASE-01,Compensation Quantum Dispute,High Court,2023-06-20,Pending,False,2025-02-09,,High,4
SIH26017-PRJ-000093,SIH26017-PRJ-000093-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2029-03-16,Pending,False,2029-10-22,,Low,3
SIH26017-PRJ-000094,SIH26017-PRJ-000094-CASE-01,Compensation Quantum Dispute,Supreme Court,2031-07-10,Pending,False,2034-02-14,,High,1
SIH26017-PRJ-000094,SIH26017-PRJ-000094-CASE-02,Compensation Quantum Dispute,Supreme Court,2029-07-12,Pending,False,2032-02-17,,High,2
SIH26017-PRJ-000095,SIH26017-PRJ-000095-CASE-01,Land Acquisition Validity,High Court,2023-10-01,Pending,False,2025-05-23,,High,5
SIH26017-PRJ-000096,SIH26017-PRJ-000096-CASE-01,Others,District Court,2019-06-13,Pending,False,2020-04-08,,Low,6
SIH26017-PRJ-000097,SIH26017-PRJ-000097-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2027-06-21,Pending,False,2028-01-27,,Low,1
SIH26017-PRJ-000098,SIH26017-PRJ-000098-CASE-01,Title Dispute,District Court,2024-02-13,Disposed-against,False,2024-12-09,2025-06-11,Medium,5
SIH26017-PRJ-000101,SIH26017-PRJ-000101-CASE-01,Compensation Quantum Dispute,High Court,2020-03-15,Disposed-in-favor,False,2021-11-05,2021-12-19,High,1
SIH26017-PRJ-000105,SIH26017-PRJ-000105-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2024-12-03,Pending,False,2025-07-11,,Low,1
SIH26017-PRJ-000106,SIH26017-PRJ-000106-CASE-01,Land Acquisition Validity,District Court,2021-12-18,Disposed-in-favor,False,2022-10-14,2022-08-24,High,6
SIH26017-PRJ-000107,SIH26017-PRJ-000107-CASE-01,Land Acquisition Validity,High Court,2023-10-29,Pending,False,2025-06-20,,High,5
SIH26017-PRJ-000108,SIH26017-PRJ-000108-CASE-01,Compensation Quantum Dispute,District Court,2028-09-14,Pending,False,2029-07-11,,Medium,1
SIH26017-PRJ-000109,SIH26017-PRJ-000109-CASE-01,Public Interest Litigation,District Court,2023-11-16,Disposed-against,False,2024-09-11,2024-11-08,Medium,18
SIH26017-PRJ-000109,SIH26017-PRJ-000109-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2023-05-30,Disposed-in-favor,False,2024-01-05,2023-09-09,Low,1
SIH26017-PRJ-000113,SIH26017-PRJ-000113-CASE-01,Others,LA Authority/Tribunal,2028-01-24,Pending,True,2028-08-31,,Low,5
SIH26017-PRJ-000115,SIH26017-PRJ-000115-CASE-01,Others,LA Authority/Tribunal,2018-09-26,Disposed-in-favor,False,2019-05-04,2019-06-06,Low,5
SIH26017-PRJ-000117,SIH26017-PRJ-000117-CASE-01,Environmental Challenge,High Court,2022-03-01,Disposed-in-favor,False,2023-10-22,2025-09-15,High,1
SIH26017-PRJ-000118,SIH26017-PRJ-000118-CASE-01,Environmental Challenge,High Court,2020-03-31,Disposed-against,False,2021-11-21,2021-06-14,High,2
SIH26017-PRJ-000120,SIH26017-PRJ-000120-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2027-05-04,Pending,False,2027-12-10,,Medium,18
SIH26017-PRJ-000120,SIH26017-PRJ-000120-CASE-02,Compensation Quantum Dispute,High Court,2026-01-12,Pending,False,2027-09-04,,High,7
SIH26017-PRJ-000121,SIH26017-PRJ-000121-CASE-01,Environmental Challenge,District Court,2024-02-12,Disposed-in-favor,False,2024-12-08,2025-06-05,High,2
SIH26017-PRJ-000121,SIH26017-PRJ-000121-CASE-02,Compensation Quantum Dispute,District Court,2020-05-09,Disposed-in-favor,False,2021-03-05,2021-06-01,Low,4
SIH26017-PRJ-000121,SIH26017-PRJ-000121-CASE-03,Title Dispute,High Court,2022-05-25,Disposed-against,False,2024-01-15,2024-03-19,High,1
SIH26017-PRJ-000121,SIH26017-PRJ-000121-CASE-04,Title Dispute,District Court,2018-08-27,Disposed-against,False,2019-06-23,2019-08-07,Low,5
SIH26017-PRJ-000122,SIH26017-PRJ-000122-CASE-01,Compensation Quantum Dispute,Supreme Court,2025-07-16,Pending,True,2028-02-21,,High,3
SIH26017-PRJ-000122,SIH26017-PRJ-000122-CASE-02,Title Dispute,High Court,2026-05-20,Pending,True,2028-01-10,,High,10
SIH26017-PRJ-000123,SIH26017-PRJ-000123-CASE-01,Public Interest Litigation,Supreme Court,2026-06-25,Pending,False,2029-01-30,,High,15
SIH26017-PRJ-000124,SIH26017-PRJ-000124-CASE-01,Compensation Quantum Dispute,District Court,2023-08-16,Disposed-against,False,2024-06-11,2025-02-25,Medium,1
SIH26017-PRJ-000125,SIH26017-PRJ-000125-CASE-01,Environmental Challenge,LA Authority/Tribunal,2023-02-20,Disposed-in-favor,False,2023-09-28,2024-01-16,High,1
SIH26017-PRJ-000125,SIH26017-PRJ-000125-CASE-02,Land Acquisition Validity,High Court,2023-07-25,Pending,False,2025-03-16,,High,2
SIH26017-PRJ-000125,SIH26017-PRJ-000125-CASE-03,Land Acquisition Validity,District Court,2022-10-17,Disposed-against,False,2023-08-13,2023-05-12,High,1
SIH26017-PRJ-000126,SIH26017-PRJ-000126-CASE-01,Public Interest Litigation,High Court,2019-08-24,Disposed-in-favor,False,2021-04-15,2021-05-28,High,18
SIH26017-PRJ-000127,SIH26017-PRJ-000127-CASE-01,Compensation Quantum Dispute,District Court,2030-03-01,Pending,True,2030-12-26,,Medium,2
SIH26017-PRJ-000128,SIH26017-PRJ-000128-CASE-01,Environmental Challenge,LA Authority/Tribunal,2021-06-06,Pending,True,2022-01-12,,High,4
SIH26017-PRJ-000133,SIH26017-PRJ-000133-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2024-03-03,Pending,False,2024-10-09,,Medium,1
SIH26017-PRJ-000134,SIH26017-PRJ-000134-CASE-01,Compensation Quantum Dispute,High Court,2022-05-04,Pending,True,2023-12-25,,High,3
SIH26017-PRJ-000134,SIH26017-PRJ-000134-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2022-06-12,Disposed-in-favor,False,2023-01-18,2023-09-19,Medium,5
SIH26017-PRJ-000134,SIH26017-PRJ-000134-CASE-03,Compensation Quantum Dispute,High Court,2021-03-06,Pending,False,2022-10-27,,High,2
SIH26017-PRJ-000139,SIH26017-PRJ-000139-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2024-08-11,Disposed-against,False,2025-03-19,2025-04-18,Low,4
SIH26017-PRJ-000141,SIH26017-PRJ-000141-CASE-01,Compensation Quantum Dispute,Supreme Court,2019-09-13,Pending,False,2022-04-20,,High,1
SIH26017-PRJ-000142,SIH26017-PRJ-000142-CASE-01,Title Dispute,LA Authority/Tribunal,2022-03-04,Disposed-in-favor,False,2022-10-10,2022-11-11,Medium,3
SIH26017-PRJ-000142,SIH26017-PRJ-000142-CASE-02,Public Interest Litigation,District Court,2021-09-20,Pending,False,2022-07-17,,Medium,28
SIH26017-PRJ-000144,SIH26017-PRJ-000144-CASE-01,Compensation Quantum Dispute,Supreme Court,2023-12-21,Pending,False,2026-07-28,,High,3
SIH26017-PRJ-000145,SIH26017-PRJ-000145-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2018-04-21,Withdrawn,False,2018-11-27,2018-08-25,Medium,12
SIH26017-PRJ-000147,SIH26017-PRJ-000147-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2021-06-27,Disposed-in-favor,False,2022-02-02,2022-01-29,Low,11
SIH26017-PRJ-000149,SIH26017-PRJ-000149-CASE-01,Title Dispute,High Court,2025-09-08,Pending,False,2027-05-01,,High,2
SIH26017-PRJ-000149,SIH26017-PRJ-000149-CASE-02,Compensation Quantum Dispute,Supreme Court,2026-07-29,Pending,False,2029-03-05,,High,5
SIH26017-PRJ-000149,SIH26017-PRJ-000149-CASE-03,Others,LA Authority/Tribunal,2029-12-01,Pending,False,2030-07-09,,Medium,3
SIH26017-PRJ-000154,SIH26017-PRJ-000154-CASE-01,Others,High Court,2024-01-30,Pending,False,2025-09-21,,High,6
SIH26017-PRJ-000155,SIH26017-PRJ-000155-CASE-01,Title Dispute,District Court,2019-01-25,Pending,False,2019-11-21,,Medium,4
SIH26017-PRJ-000156,SIH26017-PRJ-000156-CASE-01,Land Acquisition Validity,LA Authority/Tribunal,2024-09-12,Disposed-against,False,2025-04-20,2026-03-30,High,1
SIH26017-PRJ-000156,SIH26017-PRJ-000156-CASE-02,Land Acquisition Validity,District Court,2024-10-28,Disposed-in-favor,False,2025-08-24,2025-09-23,High,1
SIH26017-PRJ-000156,SIH26017-PRJ-000156-CASE-03,Title Dispute,District Court,2024-06-15,Pending,True,2025-04-11,,Low,7
SIH26017-PRJ-000156,SIH26017-PRJ-000156-CASE-04,Compensation Quantum Dispute,LA Authority/Tribunal,2024-12-24,Pending,False,2025-08-01,,Low,5
SIH26017-PRJ-000159,SIH26017-PRJ-000159-CASE-01,Compensation Quantum Dispute,District Court,2024-03-26,Disposed-against,False,2025-01-20,2024-11-11,Medium,5
SIH26017-PRJ-000159,SIH26017-PRJ-000159-CASE-02,Compensation Quantum Dispute,District Court,2026-03-03,Pending,False,2026-12-28,,Low,5
SIH26017-PRJ-000161,SIH26017-PRJ-000161-CASE-01,Title Dispute,High Court,2016-12-01,Disposed-in-favor,False,2018-07-24,2018-05-02,High,2
SIH26017-PRJ-000163,SIH26017-PRJ-000163-CASE-01,Compensation Quantum Dispute,District Court,2023-05-31,Withdrawn,False,2024-03-26,2024-01-06,Medium,1
SIH26017-PRJ-000165,SIH26017-PRJ-000165-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2024-07-12,Disposed-in-favor,False,2025-02-17,2025-09-03,Medium,1
SIH26017-PRJ-000165,SIH26017-PRJ-000165-CASE-02,Environmental Challenge,High Court,2024-04-05,Disposed-in-favor,False,2025-11-26,2025-11-30,High,1
SIH26017-PRJ-000169,SIH26017-PRJ-000169-CASE-01,Land Acquisition Validity,Supreme Court,2021-10-07,Disposed-in-favor,False,2024-05-14,2026-05-20,High,2
SIH26017-PRJ-000171,SIH26017-PRJ-000171-CASE-01,Public Interest Litigation,District Court,2027-01-14,Pending,False,2027-11-10,,Low,23
SIH26017-PRJ-000172,SIH26017-PRJ-000172-CASE-01,Compensation Quantum Dispute,High Court,2022-06-08,Disposed-against,False,2024-01-29,2024-04-05,High,1
SIH26017-PRJ-000172,SIH26017-PRJ-000172-CASE-02,Compensation Quantum Dispute,District Court,2023-04-10,Disposed-against,False,2024-02-04,2024-01-19,Medium,3
SIH26017-PRJ-000173,SIH26017-PRJ-000173-CASE-01,Environmental Challenge,District Court,2024-01-15,Pending,False,2024-11-10,,High,4
SIH26017-PRJ-000173,SIH26017-PRJ-000173-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2025-01-23,Disposed-in-favor,False,2025-08-31,2025-07-01,Medium,3
SIH26017-PRJ-000174,SIH26017-PRJ-000174-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-04-16,Disposed-in-favor,False,2022-11-22,2023-05-09,Medium,5
SIH26017-PRJ-000174,SIH26017-PRJ-000174-CASE-02,Compensation Quantum Dispute,High Court,2019-05-18,Pending,True,2021-01-07,,High,3
SIH26017-PRJ-000175,SIH26017-PRJ-000175-CASE-01,Compensation Quantum Dispute,District Court,2020-02-24,Disposed-in-favor,False,2020-12-20,2020-12-28,Medium,3
SIH26017-PRJ-000176,SIH26017-PRJ-000176-CASE-01,Land Acquisition Validity,LA Authority/Tribunal,2017-11-02,Disposed-in-favor,False,2018-06-10,2018-06-01,High,1
SIH26017-PRJ-000178,SIH26017-PRJ-000178-CASE-01,Title Dispute,Supreme Court,2028-03-09,Pending,False,2030-10-15,,High,3
SIH26017-PRJ-000178,SIH26017-PRJ-000178-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2025-04-11,Pending,False,2025-11-17,,Low,2
SIH26017-PRJ-000178,SIH26017-PRJ-000178-CASE-03,Public Interest Litigation,High Court,2028-03-22,Pending,False,2029-11-12,,High,19
SIH26017-PRJ-000181,SIH26017-PRJ-000181-CASE-01,Compensation Quantum Dispute,Supreme Court,2026-06-29,Pending,False,2029-02-03,,High,5
SIH26017-PRJ-000184,SIH26017-PRJ-000184-CASE-01,Compensation Quantum Dispute,Supreme Court,2026-05-17,Pending,False,2028-12-22,,High,3
SIH26017-PRJ-000184,SIH26017-PRJ-000184-CASE-02,Compensation Quantum Dispute,District Court,2024-03-03,Disposed-in-favor,False,2024-12-28,2025-10-29,Medium,4
SIH26017-PRJ-000185,SIH26017-PRJ-000185-CASE-01,Environmental Challenge,District Court,2019-04-01,Disposed-in-favor,False,2020-01-26,2020-03-21,High,4
SIH26017-PRJ-000185,SIH26017-PRJ-000185-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2022-02-10,Withdrawn,False,2022-09-18,2022-11-03,Medium,3
SIH26017-PRJ-000185,SIH26017-PRJ-000185-CASE-03,Compensation Quantum Dispute,District Court,2020-07-13,Disposed-in-favor,False,2021-05-09,2021-08-03,Medium,2
SIH26017-PRJ-000186,SIH26017-PRJ-000186-CASE-01,Public Interest Litigation,High Court,2023-11-08,Disposed-in-favor,False,2025-06-30,2025-10-22,High,24
SIH26017-PRJ-000186,SIH26017-PRJ-000186-CASE-02,Compensation Quantum Dispute,High Court,2019-12-14,Pending,False,2021-08-05,,High,4
SIH26017-PRJ-000188,SIH26017-PRJ-000188-CASE-01,Environmental Challenge,LA Authority/Tribunal,2025-01-06,Disposed-in-favor,False,2025-08-14,2025-08-05,High,2
SIH26017-PRJ-000190,SIH26017-PRJ-000190-CASE-01,Title Dispute,District Court,2021-05-16,Pending,False,2022-03-12,,Low,2
SIH26017-PRJ-000191,SIH26017-PRJ-000191-CASE-01,Land Acquisition Validity,LA Authority/Tribunal,2022-09-14,Disposed-against,False,2023-04-22,2023-08-27,High,6
SIH26017-PRJ-000195,SIH26017-PRJ-000195-CASE-01,Title Dispute,District Court,2023-09-22,Disposed-in-favor,False,2024-07-18,2025-05-22,Medium,2
SIH26017-PRJ-000198,SIH26017-PRJ-000198-CASE-01,Compensation Quantum Dispute,District Court,2023-10-26,Pending,False,2024-08-21,,Medium,5
SIH26017-PRJ-000199,SIH26017-PRJ-000199-CASE-01,Public Interest Litigation,District Court,2024-06-20,Disposed-in-favor,False,2025-04-16,2025-03-16,Medium,24
SIH26017-PRJ-000200,SIH26017-PRJ-000200-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2026-05-06,Pending,False,2026-12-12,,Low,2
SIH26017-PRJ-000200,SIH26017-PRJ-000200-CASE-02,Compensation Quantum Dispute,District Court,2026-03-19,Pending,False,2027-01-13,,Medium,2
SIH26017-PRJ-000200,SIH26017-PRJ-000200-CASE-03,Compensation Quantum Dispute,High Court,2026-02-11,Pending,False,2027-10-04,,High,2
SIH26017-PRJ-000200,SIH26017-PRJ-000200-CASE-04,Environmental Challenge,LA Authority/Tribunal,2024-02-07,Disposed-in-favor,False,2024-09-14,2024-11-29,High,2
SIH26017-PRJ-000202,SIH26017-PRJ-000202-CASE-01,Land Acquisition Validity,LA Authority/Tribunal,2023-08-29,Pending,False,2024-04-05,,High,3
SIH26017-PRJ-000205,SIH26017-PRJ-000205-CASE-01,Compensation Quantum Dispute,District Court,2025-10-02,Disposed-against,False,2026-07-29,2026-08-06,Medium,2
SIH26017-PRJ-000206,SIH26017-PRJ-000206-CASE-01,Compensation Quantum Dispute,High Court,2024-09-26,Disposed-in-favor,False,2026-05-19,2025-10-05,High,3
SIH26017-PRJ-000208,SIH26017-PRJ-000208-CASE-01,Environmental Challenge,District Court,2023-07-12,Disposed-against,False,2024-05-07,2024-09-25,High,3
SIH26017-PRJ-000208,SIH26017-PRJ-000208-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2026-08-28,Pending,True,2027-04-05,,Low,3
SIH26017-PRJ-000210,SIH26017-PRJ-000210-CASE-01,Public Interest Litigation,District Court,2018-08-06,Disposed-against,False,2019-06-02,2019-02-12,Medium,16
SIH26017-PRJ-000212,SIH26017-PRJ-000212-CASE-01,Compensation Quantum Dispute,District Court,2020-04-30,Disposed-in-favor,False,2021-02-24,2021-04-11,Medium,1
SIH26017-PRJ-000213,SIH26017-PRJ-000213-CASE-01,Public Interest Litigation,High Court,2023-01-19,Disposed-in-favor,False,2024-09-10,2024-06-13,High,17
SIH26017-PRJ-000215,SIH26017-PRJ-000215-CASE-01,Compensation Quantum Dispute,District Court,2022-04-07,Withdrawn,False,2023-02-01,2022-09-09,Low,4
SIH26017-PRJ-000215,SIH26017-PRJ-000215-CASE-02,Compensation Quantum Dispute,District Court,2021-03-21,Pending,False,2022-01-15,,Medium,5
SIH26017-PRJ-000218,SIH26017-PRJ-000218-CASE-01,Environmental Challenge,LA Authority/Tribunal,2021-10-01,Disposed-in-favor,False,2022-05-09,2022-02-10,High,2
