project_id,actual_land_acquisition_completion_date,project_status_current,land_acquisition_delay_days,land_acquisition_delay_category,resolution_known_date,outcome_as_of_date
SIH26017-PRJ-000106,2023-08-07,Completed,61.0,Minor Delay (<=6mo),2023-08-07,2026-08-15
SIH26017-PRJ-000107,,Stalled,,Stalled-Abandoned,2023-09-25,2026-08-15
SIH26017-PRJ-000108,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000109,2024-02-09,Completed,9.0,On-Time,2024-02-09,2026-08-15
SIH26017-PRJ-000110,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000111,2024-08-12,Completed,-4.0,On-Time,2024-08-12,2026-08-15
SIH26017-PRJ-000112,2017-11-28,Completed,0.0,On-Time,2017-11-28,2026-08-15
SIH26017-PRJ-000113,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000114,2024-10-19,Completed,107.0,Minor Delay (<=6mo),2024-10-19,2026-08-15
SIH26017-PRJ-000115,2020-11-23,Completed,65.0,Minor Delay (<=6mo),2020-11-23,2026-08-15
SIH26017-PRJ-000116,2020-04-07,Completed,4.0,On-Time,2020-04-07,2026-08-15
SIH26017-PRJ-000117,,Stalled,,Stalled-Abandoned,2022-11-12,2026-08-15
SIH26017-PRJ-000118,2025-10-18,Completed,156.0,Minor Delay (<=6mo),2025-10-18,2026-08-15
SIH26017-PRJ-000119,2025-12-14,Completed,1.0,On-Time,2025-12-14,2026-08-15
SIH26017-PRJ-000120,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000121,,Stalled,,Stalled-Abandoned,2021-01-11,2026-08-15
SIH26017-PRJ-000122,,Stalled,,Stalled-Abandoned,2025-12-20,2026-08-15
SIH26017-PRJ-000123,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000124,,Stalled,,Stalled-Abandoned,2022-07-26,2026-08-15
SIH26017-PRJ-000125,,Stalled,,Stalled-Abandoned,2021-03-30,2026-08-15
SIH26017-PRJ-000126,2022-05-12,Completed,23.0,On-Time,2022-05-12,2026-08-15
SIH26017-PRJ-000127,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000128,,Stalled,,Stalled-Abandoned,2019-01-26,2026-08-15
SIH26017-PRJ-000129,,Stalled,,Stalled-Abandoned,2021-01-19,2026-08-15
SIH26017-PRJ-000130,2021-11-12,Completed,-24.0,On-Time,2021-11-12,2026-08-15
SIH26017-PRJ-000131,,Stalled,,Stalled-Abandoned,2026-07-27,2026-08-15
SIH26017-PRJ-000132,2018-06-09,Completed,-3.0,On-Time,2018-06-09,2026-08-15
SIH26017-PRJ-000133,2024-09-02,Completed,141.0,Minor Delay (<=6mo),2024-09-02,2026-08-15
SIH26017-PRJ-000134,2023-01-03,Completed,55.0,Minor Delay (<=6mo),2023-01-03,2026-08-15
SIH26017-PRJ-000135,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000136,2022-01-12,Completed,-28.0,On-Time,2022-01-12,2026-08-15
SIH26017-PRJ-000137,2026-04-23,Completed,109.0,Minor Delay (<=6mo),2026-04-23,2026-08-15
SIH26017-PRJ-000138,2021-03-04,Completed,-10.0,On-Time,2021-03-04,2026-08-15
SIH26017-PRJ-000139,,Stalled,,Stalled-Abandoned,2023-10-29,2026-08-15
SIH26017-PRJ-000140,,Stalled,,Stalled-Abandoned,2025-07-28,2026-08-15
SIH26017-PRJ-000141,2022-03-25,Completed,60.0,Minor Delay (<=6mo),2022-03-25,2026-08-15
SIH26017-PRJ-000142,2025-02-16,Completed,35.0,Minor Delay (<=6mo),2025-02-16,2026-08-15
SIH26017-PRJ-000143,2018-11-16,Completed,-28.0,On-Time,2018-11-16,2026-08-15
SIH26017-PRJ-000144,2025-01-21,Completed,-9.0,On-Time,2025-01-21,2026-08-15
SIH26017-PRJ-000145,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000146,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000147,2023-12-07,Completed,122.0,Minor Delay (<=6mo),2023-12-07,2026-08-15
SIH26017-PRJ-000148,2025-09-05,Completed,-19.0,On-Time,2025-09-05,2026-08-15
SIH26017-PRJ-000149,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000150,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000151,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000152,,Stalled,,Stalled-Abandoned,2018-07-30,2026-08-15
SIH26017-PRJ-000153,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000154,,Stalled,,Stalled-Abandoned,2024-11-25,2026-08-15
SIH26017-PRJ-000155,2023-11-19,Completed,221.0,Major Delay (6-18mo),2023-11-19,2026-08-15
SIH26017-PRJ-000156,2026-01-22,Completed,55.0,Minor Delay (<=6mo),2026-01-22,2026-08-15
SIH26017-PRJ-000157,2024-09-22,Completed,257.0,Major Delay (6-18mo),2024-09-22,2026-08-15
SIH26017-PRJ-000158,,Stalled,,Stalled-Abandoned,2018-11-09,2026-08-15
SIH26017-PRJ-000159,,Stalled,,Stalled-Abandoned,2025-11-19,2026-08-15
SIH26017-PRJ-000160,2022-08-26,Completed,180.0,Minor Delay (<=6mo),2022-08-26,2026-08-15
SIH26017-PRJ-000161,2017-09-05,Completed,0.0,On-Time,2017-09-05,2026-08-15
SIH26017-PRJ-000162,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000163,2024-05-25,Completed,-7.0,On-Time,2024-05-25,2026-08-15
SIH26017-PRJ-000164,,Stalled,,Stalled-Abandoned,2019-01-02,2026-08-15
SIH26017-PRJ-000165,2025-11-14,Completed,84.0,Minor Delay (<=6mo),2025-11-14,2026-08-15
SIH26017-PRJ-000166,,Stalled,,Stalled-Abandoned,2022-07-26,2026-08-15
SIH26017-PRJ-000167,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000168,,Stalled,,Stalled-Abandoned,2026-01-12,2026-08-15
SIH26017-PRJ-000169,,Stalled,,Stalled-Abandoned,2021-01-19,2026-08-15
SIH26017-PRJ-000170,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000171,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000172,,Stalled,,Stalled-Abandoned,2025-01-12,2026-08-15
SIH26017-PRJ-000173,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000174,2024-01-22,Completed,63.0,Minor Delay (<=6mo),2024-01-22,2026-08-15
SIH26017-PRJ-000175,2023-11-26,Completed,73.0,Minor Delay (<=6mo),2023-11-26,2026-08-15
SIH26017-PRJ-000176,2022-07-15,Completed,6.0,On-Time,2022-07-15,2026-08-15
SIH26017-PRJ-000177,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000178,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000179,2023-04-26,Completed,50.0,Minor Delay (<=6mo),2023-04-26,2026-08-15
SIH26017-PRJ-000180,,Stalled,,Stalled-Abandoned,2018-09-17,2026-08-15
SIH26017-PRJ-000181,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000182,2022-08-10,Completed,-19.0,On-Time,2022-08-10,2026-08-15
SIH26017-PRJ-000183,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000184,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000185,,Stalled,,Stalled-Abandoned,2018-09-04,2026-08-15
SIH26017-PRJ-000186,,Stalled,,Stalled-Abandoned,2019-10-17,2026-08-15
SIH26017-PRJ-000187,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000188,2026-01-14,Completed,169.0,Minor Delay (<=6mo),2026-01-14,2026-08-15
SIH26017-PRJ-000189,2022-10-02,Completed,1.0,On-Time,2022-10-02,2026-08-15
SIH26017-PRJ-000190,,Stalled,,Stalled-Abandoned,2020-08-08,2026-08-15
SIH26017-PRJ-000191,2025-01-20,Completed,-7.0,On-Time,2025-01-20,2026-08-15
SIH26017-PRJ-000192,2020-11-18,Completed,33.0,Minor Delay (<=6mo),2020-11-18,2026-08-15
SIH26017-PRJ-000193,2026-04-20,Completed,-8.0,On-Time,2026-04-20,2026-08-15
SIH26017-PRJ-000194,2020-11-10,Completed,22.0,On-Time,2020-11-10,2026-08-15
SIH26017-PRJ-000195,2025-03-23,Completed,8.0,On-Time,2025-03-23,2026-08-15
SIH26017-PRJ-000196,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000197,2024-01-31,Completed,136.0,Minor Delay (<=6mo),2024-01-31,2026-08-15
SIH26017-PRJ-000198,,Stalled,,Stalled-Abandoned,2022-12-29,2026-08-15
SIH26017-PRJ-000199,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000200,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000201,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000202,2026-02-23,Completed,99.0,Minor Delay (<=6mo),2026-02-23,2026-08-15
SIH26017-PRJ-000203,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000204,,Stalled,,Stalled-Abandoned,2023-08-30,2026-08-15
SIH26017-PRJ-000205,,Stalled,,Stalled-Abandoned,2025-01-09,2026-08-15
SIH26017-PRJ-000206,,Stalled,,Stalled-Abandoned,2023-09-11,2026-08-15
SIH26017-PRJ-000207,,Stalled,,Stalled-Abandoned,2022-09-03,2026-08-15
SIH26017-PRJ-000208,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000209,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000210,2023-01-08,Completed,265.0,Major Delay (6-18mo),2023-01-08,2026-08-15
SIH26017-PRJ-000211,2017-12-16,Completed,-15.0,On-Time,2017-12-16,2026-08-15
SIH26017-PRJ-000212,,Stalled,,Stalled-Abandoned,2019-02-03,2026-08-15
SIH26017-PRJ-000213,2025-02-23,Completed,31.0,Minor Delay (<=6mo),2025-02-23,2026-08-15
SIH26017-PRJ-000214,2019-05-02,Completed,87.0,Minor Delay (<=6mo),2019-05-02,2026-08-15
SIH26017-PRJ-000215,,Stalled,,Stalled-Abandoned,2022-07-24,2026-08-15
SIH26017-PRJ-000216,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000217,2023-12-03,Completed,13.0,On-Time,2023-12-03,2026-08-15
SIH26017-PRJ-000218,,Stalled,,Stalled-Abandoned,2023-02-24,2026-08-15
SIH26017-PRJ-000219,2026-07-25,Completed,215.0,Major Delay (6-18mo),2026-07-25,2026-08-15
SIH26017-PRJ-000220,2023-07-31,Completed,14.0,On-Time,2023-07-31,2026-08-15
SIH26017-PRJ-000221,2025-09-06,Completed,52.0,Minor Delay (<=6mo),2025-09-06,2026-08-15
SIH26017-PRJ-000222,2023-10-08,Completed,130.0,Minor Delay (<=6mo),2023-10-08,2026-08-15
SIH26017-PRJ-000223,,Stalled,,Stalled-Abandoned,2021-07-28,2026-08-15
SIH26017-PRJ-000224,2021-06-23,Completed,56.0,Minor Delay (<=6mo),2021-06-23,2026-08-15
SIH26017-PRJ-000225,2018-05-10,Completed,8.0,On-Time,2018-05-10,2026-08-15
SIH26017-PRJ-000226,2022-12-16,Completed,-14.0,On-Time,2022-12-16,2026-08-15
SIH26017-PRJ-000227,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000228,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000229,,Stalled,,Stalled-Abandoned,2024-03-15,2026-08-15
SIH26017-PRJ-000230,,Stalled,,Stalled-Abandoned,2020-12-13,2026-08-15
SIH26017-PRJ-000231,2025-11-21,Completed,102.0,Minor Delay (<=6mo),2025-11-21,2026-08-15
SIH26017-PRJ-000232,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000233,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000234,2023-11-18,Completed,63.0,Minor Delay (<=6mo),2023-11-18,2026-08-15
SIH26017-PRJ-000235,,Stalled,,Stalled-Abandoned,2025-09-24,2026-08-15
SIH26017-PRJ-000236,,Stalled,,Stalled-Abandoned,2026-05-03,2026-08-15
SIH26017-PRJ-000237,2018-02-26,Completed,28.0,On-Time,2018-02-26,2026-08-15
SIH26017-PRJ-000238,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000239,2024-06-10,Completed,112.0,Minor Delay (<=6mo),2024-06-10,2026-08-15
SIH26017-PRJ-000240,2023-10-11,Completed,152.0,Minor Delay (<=6mo),2023-10-11,2026-08-15
SIH26017-PRJ-000241,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000242,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000243,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000244,2022-02-16,Completed,111.0,Minor Delay (<=6mo),2022-02-16,2026-08-15
SIH26017-PRJ-000245,2025-06-21,Completed,217.0,Major Delay (6-18mo),2025-06-21,2026-08-15
SIH26017-PRJ-000246,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000247,2019-12-31,Completed,58.0,Minor Delay (<=6mo),2019-12-31,2026-08-15
SIH26017-PRJ-000248,2021-07-07,Completed,201.0,Major Delay (6-18mo),2021-07-07,2026-08-15
SIH26017-PRJ-000249,2022-04-02,Completed,11.0,On-Time,2022-04-02,2026-08-15
SIH26017-PRJ-000250,2024-08-28,Completed,187.0,Major Delay (6-18mo),2024-08-28,2026-08-15
SIH26017-PRJ-000251,2019-11-27,Completed,9.0,On-Time,2019-11-27,2026-08-15
SIH26017-PRJ-000252,2021-06-02,Completed,2.0,On-Time,2021-06-02,2026-08-15
SIH26017-PRJ-000253,,Stalled,,Stalled-Abandoned,2016-12-28,2026-08-15
SIH26017-PRJ-000254,2025-04-15,Completed,67.0,Minor Delay (<=6mo),2025-04-15,2026-08-15
SIH26017-PRJ-000255,,Stalled,,Stalled-Abandoned,2024-05-29,2026-08-15
SIH26017-PRJ-000256,2025-09-16,Completed,33.0,Minor Delay (<=6mo),2025-09-16,2026-08-15
SIH26017-PRJ-000257,2026-06-12,Completed,-17.0,On-Time,2026-06-12,2026-08-15
SIH26017-PRJ-000258,2019-10-13,Completed,14.0,On-Time,2019-10-13,2026-08-15
SIH26017-PRJ-000259,2023-06-01,Completed,17.0,On-Time,2023-06-01,2026-08-15
SIH26017-PRJ-000260,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000261,2021-12-01,Completed,45.0,Minor Delay (<=6mo),2021-12-01,2026-08-15
SIH26017-PRJ-000262,2019-11-07,Completed,65.0,Minor Delay (<=6mo),2019-11-07,2026-08-15
SIH26017-PRJ-000263,2023-01-11,Completed,-31.0,On-Time,2023-01-11,2026-08-15
SIH26017-PRJ-000264,,Stalled,,Stalled-Abandoned,2024-10-26,2026-08-15
SIH26017-PRJ-000265,2022-01-16,Completed,11.0,On-Time,2022-01-16,2026-08-15
SIH26017-PRJ-000266,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000267,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000268,,Stalled,,Stalled-Abandoned,2018-03-27,2026-08-15
SIH26017-PRJ-000269,,Stalled,,Stalled-Abandoned,2024-11-04,2026-08-15
SIH26017-PRJ-000270,,Stalled,,Stalled-Abandoned,2025-02-20,2026-08-15
SIH26017-PRJ-000271,2022-10-06,Completed,214.0,Major Delay (6-18mo),2022-10-06,2026-08-15
SIH26017-PRJ-000272,2024-05-11,Completed,251.0,Major Delay (6-18mo),2024-05-11,2026-08-15
SIH26017-PRJ-000273,2025-10-06,Completed,12.0,On-Time,2025-10-06,2026-08-15
SIH26017-PRJ-000274,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000275,,Stalled,,Stalled-Abandoned,2018-12-09,2026-08-15
SIH26017-PRJ-000276,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000277,2025-08-21,Completed,42.0,Minor Delay (<=6mo),2025-08-21,2026-08-15
SIH26017-PRJ-000278,2023-02-12,Completed,139.0,Minor Delay (<=6mo),2023-02-12,2026-08-15
SIH26017-PRJ-000279,,Stalled,,Stalled-Abandoned,2023-08-12,2026-08-15
SIH26017-PRJ-000280,2023-09-13,Completed,-8.0,On-Time,2023-09-13,2026-08-15
SIH26017-PRJ-000281,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000282,,Stalled,,Stalled-Abandoned,2022-09-04,2026-08-15
SIH26017-PRJ-000283,,Stalled,,Stalled-Abandoned,2023-11-26,2026-08-15
SIH26017-PRJ-000284,2021-03-26,Completed,46.0,Minor Delay (<=6mo),2021-03-26,2026-08-15
SIH26017-PRJ-000285,2025-05-20,Completed,18.0,On-Time,2025-05-20,2026-08-15
SIH26017-PRJ-000286,2016-10-22,Completed,-34.0,On-Time,2016-10-22,2026-08-15
SIH26017-PRJ-000287,2025-02-23,Completed,69.0,Minor Delay (<=6mo),2025-02-23,2026-08-15
SIH26017-PRJ-000288,,Stalled,,Stalled-Abandoned,2017-02-24,2026-08-15
SIH26017-PRJ-000289,2022-07-27,Completed,31.0,Minor Delay (<=6mo),2022-07-27,2026-08-15
SIH26017-PRJ-000290,,Stalled,,Stalled-Abandoned,2024-11-16,2026-08-15
SIH26017-PRJ-000291,2020-08-07,Completed,29.0,On-Time,2020-08-07,2026-08-15
SIH26017-PRJ-000292,,Stalled,,Stalled-Abandoned,2022-01-26,2026-08-15
SIH26017-PRJ-000293,2024-06-01,Completed,4.0,On-Time,2024-06-01,2026-08-15
SIH26017-PRJ-000294,,Stalled,,Stalled-Abandoned,2021-08-30,2026-08-15
SIH26017-PRJ-000295,,Stalled,,Stalled-Abandoned,2024-07-21,2026-08-15
SIH26017-PRJ-000296,2020-11-25,Completed,-6.0,On-Time,2020-11-25,2026-08-15
SIH26017-PRJ-000297,,Stalled,,Stalled-Abandoned,2022-04-20,2026-08-15
SIH26017-PRJ-000298,2025-07-14,Completed,89.0,Minor Delay (<=6mo),2025-07-14,2026-08-15
SIH26017-PRJ-000299,2023-02-26,Completed,9.0,On-Time,2023-02-26,2026-08-15
SIH26017-PRJ-000300,2018-06-20,Completed,29.0,On-Time,2018-06-20,2026-08-15
SIH26017-PRJ-000301,2021-10-21,Completed,47.0,Minor Delay (<=6mo),2021-10-21,2026-08-15
SIH26017-PRJ-000302,,Stalled,,Stalled-Abandoned,2024-07-26,2026-08-15
SIH26017-PRJ-000303,2025-01-24,Completed,9.0,On-Time,2025-01-24,2026-08-15
SIH26017-PRJ-000304,2023-03-05,Completed,-23.0,On-Time,2023-03-05,2026-08-15
SIH26017-PRJ-000305,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000306,2021-12-08,Completed,14.0,On-Time,2021-12-08,2026-08-15
SIH26017-PRJ-000307,2020-10-01,Completed,2.0,On-Time,2020-10-01,2026-08-15
SIH26017-PRJ-000308,2022-11-04,Completed,-26.0,On-Time,2022-11-04,2026-08-15
